keen eyes that look all 79
keep arms for their own 74
keep asking and asking and 52
keep asking for more and 166
keep back for their own 40
keep back her tears and 59
keep back his tears and 52
keep body and soul and 47
keep busy with other things 47
keep calm and wait for 57
keep clean and pure all 57
keep coming and coming and 156
keep cows and pigs and 50
keep dirt and dust out 165
keep dust and dirt off 42
keep dust and dirt out 427
keep faith with their own 125
keep faith with those who 867
keep from being left out 46
keep from being seen and 49
keep from doing just that 179
keep from doing what they 99
keep from going over and 50
keep from his wife his 40
keep from singing when she 43
keep giving and giving and 46
keep good for more than 59
keep hand and heart and 69
keep hold and will not 60
keep hoping that some day 53
keep hoping things will get 40
keep many too poor for 61
keep neck and neck with 47
keep open and will not 55
keep other men from death 44
keep pace not only with 130
keep pace with life and 54
keep pace with more than 58
keep pace with their new 44
keep pace with their own 491
keep pace with these new 169
keep pace with those for 53
keep pace with those that 65
keep pace with those who 168
keep pace with time and 74
keep pace with what has 47
keep pace with what was 200
keep pace with your own 52
keep pure and holy both 562
keep rain and snow off 47
keep rain and snow out 101
keep rats and mice out 57
keep saying that over and 191
keep saying things like that 448
keep saying this over and 62
keep saying you will for 118
keep seeing each other and 40
keep such things from each 54
keep their ears open and 193
keep their ears open for 309
keep their head down and 95
keep their men from going 64
keep their own laws and 199
keep their pet vice going 42
keep their poet among them 41
keep those who have yet 94
keep time and tell you 60
keep time and tune with 75
keep trying and trying and 94
keep warm and stop eating 71
keep warm and well fed 642
keep well and live long 49
keep well for more than 126
keep what had been won 61
keep what has been won 75
keep what they have and 632
keep what they have for 54
keep what they have got 506
keep what they have than 47
keep what they have won 54
keep what they were doing 70
keep what you have and 389
keep what you have for 118
keep what you have got 332
keep young and keep one 42
keep young men from going 49
keep your big nose out 106
keep your car from being 42
keep your dog safe and 44
keep your ears open and 668
keep your ears open any 73
keep your ears open for 810
keep your eye open and 57
keep your eye open for 478
keep your eye upon him 197
keep your eye upon that 73
keep your head clear and 113
keep your head cool and 124
keep your head down and 1786
keep your head down for 145
keep your head high and 93
keep your head warm and 53
keep your head when all 2496
keep your head when you 53
keep your job open for 49
kept asking and asking and 49
kept asking for more and 244
kept asking her what she 139
kept asking her what was 119
kept asking her when she 48
kept asking him over and 67
kept asking him what was 141
kept asking them what they 43
kept busy for more than 57
kept busy going from one 65
kept busy not only with 54
kept busy with other things 54
kept busy with their own 92
kept busy with work and 59
kept clean and pure and 93
kept clean and ready for 148
kept clean and tidy and 202
kept clean and warm and 46
kept clean and well fed 169
kept clean with soap and 163
kept coming and coming and 373
kept coming and there was 42
kept cows and pigs and 48
kept crying and crying and 59
kept down for more than 42
kept faith with their own 41
kept faith with those who 270
kept free and open for 78
kept from doing what they 57
kept from his loom with 181
kept from his wife and 114
kept from his work for 46
kept giving him more and 43
kept hoping and hoping that 45
kept hoping that some day 97
kept making him open them 53
kept more and more out 206
kept more for show than 387
kept more than busy with 51
kept neck and neck with 165
kept only for those who 88
kept only with those who 44
kept open and free for 114
kept open and safe for 45
kept open and used for 53
kept open for more than 175
kept open for those who 76
kept open not less than 123
kept pace with other things 48
kept pace with their own 93
kept pace with these new 44
kept pace with those for 118
kept pace with those that 65
kept pace with those who 77
kept pace with your zeal 93
kept rearing its ugly head 145
kept rising and rising and 46
kept saying how much she 97
kept saying how much they 43
kept saying that over and 207
kept saying that there was 232
kept saying them over and 50
kept saying they were going 104
kept saying they were not 74
kept saying things like that 211
kept saying this over and 130
kept seeing each other for 42
kept their ears open and 53
kept their ears open for 208
kept their own cows and 128
kept their own laws and 80
kept there for more than 229
kept these things from our 40
kept till god send him 51
kept till his form was 45
kept time with foot and 48
kept trying and trying and 87
kept warm and well fed 167
kept waving his arms and 61
kept when they were not 72
kept wiping her eyes and 46
kept wiping her eyes with 74
kept wiping his brow with 91
