kg every 111 kg every 62
king lords 45 king party 130
king house 46 king could 63
king shall 40 king class 65
king could 44 king shall 41
king under 83 king which 44
king would 153 king could 50
king might 47 king mother 1464
king shall 40 king would 109
king court 168 king house 132
king party 84 king would 88
king queen 60 king court 549
king kingdom 100 king nation 197
king people 75 king round 67
king royal 116 king would 154
king people 92 king party 51
king named 68 king never 58
king allow 74 king either 114
king grant 64 king never 191
king easily 49 king about 47
king judge 52 king knows 86
king force 59 king royal 295
