kg or less implies that 141
king at once ordered his 65
king at once ordered that 89
king in their tyranny and 70
king in vain excused his 57
king of good fellows and 55
king of great britain and 3998
king of great britain being 59
king of great britain can 74
king of great britain did 71
king of great britain for 250
king of great britain had 567
king of great britain has 416
king of great britain hath 80
king of great britain may 52
king of great britain that 42
king of great britain was 992
king of great britain who 69
king of great britain with 90
king of many islands and 61
king of syria escaped out 109
king of syria gathered all 132
king to ally himself with 55
king to levy tonnage and 53
king to take counsel with 40
king to take measures for 86
king to whom incense had 74
king we must observe two 41
