sacraments have been instituted by 42
safeguards have been introduced to 63
scientists have been accustomed to 51
scientists have been encouraged to 58
scientists have been fascinated by 200
scientists have been influenced by 81
scientists have been interested in 841
scientists have been successful in 168
scientists have great difficulty in 46
scientists were also interested in 51
scientists were more interested in 121
scientists were very interested in 43
sculptures have been attributed to 48
sculptures have been discovered in 69
securities have been registered in 302
sensualist will find sensuality in 96
shortcomings have been identified in 94
specialists have been interested in 45
spectators those deep impressions of 42
spectators were more interested in 44
statements from such department or 75
statements have been attributed to 100
strategies have been considered in 59
strategies have been considered to 53
strategies have been formulated to 69
strategies have been identified as 357
strategies have been identified by 110
strategies have been identified in 173
strategies have been identified to 118
strategies have been influenced by 64
strategies have been introduced in 59
strategies have been introduced to 95
strategies have been successful in 324
strategies have been undertaken to 47
structures have been attributed to 105
structures have been calculated by 42
structures have been classified as 88
structures have been considered as 99
structures have been considered in 93
structures have been considered to 67
structures have been designated as 40
structures have been determined at 71
structures have been determined by 446
structures have been determined in 229
structures have been determined to 82
structures have been discovered in 205
structures have been documented in 72
structures have been elucidated by 62
structures have been fabricated by 89
structures have been fabricated in 44
structures have been identified as 634
structures have been identified at 97
structures have been identified by 132
structures have been identified in 1117
structures have been identified on 109
structures have been implicated as 57
structures have been implicated in 288
structures have been influenced by 64
structures have been introduced in 66
structures have been introduced to 45
structures have been postulated to 42
structures have been recognized in 103
structures have been strengthened to 55
subdivided into four categories of 43
subdivided into such categories as 191
subdivided into three categories of 224
subsidized health plan maintained by 300
subspecies have been recognized in 56
substances have been classified as 209
substances have been considered as 43
substances have been designated as 48
substances have been determined by 146
substances have been determined in 50
substances have been discovered in 459
substances have been discovered to 58
substances have been identified as 942
substances have been identified by 61
substances have been identified in 1359
substances have been implicated as 231
substances have been implicated in 341
substrates have been identified in 57
successors were more interested in 97
suggestions from those interested in 47
suggestions have been invaluable in 149
suggestions have been invaluable to 88
supervision work along specialized or 143
supporters were more interested in 71
