sad she 56 sad for 49
sang and 51 sang but 48
sat with 41 sat and 71
sat and 42 sat and 62
sat and 49 sat and 198
sat and 84 sat and 92
sat and 53 saw and 44
saw and 55 saw that 42
saw and 75 saw man 63
saw that 598 saw men 54
saw him 196 saw her 168
saw her 87 saw her 74
saw her 51 saw her 72
saw her 50 saw her 77
saw her 40 saw her 45
saw her 105 saw that 82
saw her 57 saw and 84
saw her 43 saw and 52
saw him 85 saw him 60
saw him 47 saw him 79
saw him 144 saw for 54
saw him 48 saw him 68
saw him 62 saw him 59
saw him 64 saw that 118
saw dead 50 saw him 121
saw him 74 saw and 131
saw her 44 saw ago 88
saw him 76 saw for 56
saw with 40 saw and 95
saw and 87 saw death 56
saw his 40 saw them 51
saw was 60 saw was 107
saw had 68 saw was 53
saw and 75 saw did 70
saw had 611 saw was 1561
saw was 57 saw had 40
saw was 82 saw was 74
saw had 53 saw was 133
saw was 74 saw had 57
saw for 43 saw was 70
saw was 327 saw was 104
saw lay 84 saw had 55
saw had 69 saw had 47
saw was 162 saw had 131
saw was 52 saw had 48
saw had 73 saw was 139
saw was 96 saw was 623
saw was 51 saw was 124
saw was 52 saw had 44
saw was 42 saw was 56
saw was 245 saw was 48
saw was 434 saw was 90
saw was 40 saw are 45
saw had 122 saw was 149
saw him 45 saw was 43
saw was 40 saw them 72
saw them 41 saw them 59
saw them 65 saw with 70
saw and 47 saw him 43
saw that 143 saw out 40
saw was 48 saw was 188
saw was 693 say was 67
say you 84 say that 48
say all 86 say and 73
say this 44 say was 71
say her 124 say not 54
say are 132 say that 115
say are 57 say are 84
say are 49 say are 50
say are 59 say are 41
say are 80 say things 51
say are 56 say are 88
say are 170 say who 106
say things 78 say are 42
say are 40 say are 40
say can 55 say was 74
say and 68 say who 59
say are 137 say has 74
say has 46 say she 64
say can 59 say has 49
say was 65 say this 53
say heat 50 say had 48
say was 144 say was 46
say had 667 say has 102
say was 934 say has 85
say are 52 say had 182
say war 51 say and 50
say was 84 say was 74
say was 56 say are 68
say had 73 say was 114
say had 77 say has 81
say was 311 say had 40
say was 63 say was 152
say was 54 say had 48
say was 57 say had 313
say has 139 say was 308
say was 56 say with 44
say are 49 say are 127
say had 55 say was 46
say was 113 say was 100
say was 82 say was 40
say was 114 say was 53
say are 74 say are 78
say was 60 say and 95
say are 72 say was 114
say are 65 say was 43
say was 120 say his 180
say are 42 say that 160
say you 117 say and 160
say has 59 say had 47
say has 46 say are 95
say can 47 say has 246
say was 64 say has 72
say are 112 say was 52
say are 41 say are 74
say has 40 say was 57
say was 49 say are 167
say are 98 say has 138
say has 79 say and 77
say are 99 say her 70
say him 87 say had 120
say was 174 say her 44
say was 47 say has 98
say was 53 say for 47
say any 60 say and 51
say that 1366 say them 55
say they 95 say this 69
say out 40 say all 52
say for 66 say was 49
say was 50 say has 48
say was 43 say has 80
say has 47 say was 42
say can 57 say has 271
say was 139 say was 49
say was 197 say was 74
say was 45 say that 193
say was 121 say has 53
