sea cook looked at what 50
sea from dublin to give 110
sea from flooding the land 61
sea from whence he came 54
sea from whence it came 165
sea having struck the side 43
sea here seemed to have 42
sea once washed the base 68
sea once washed the foot 40
sea salt preheat the oven 232
sea salt should be used 87
sing songs around the piano 111
sing there through the spring 47
so ably treated it from 48
so also should be their 51
so away through the town 77
so busy whether at work 102
so care should be used 301
so dark inside the wolf 57
so down through the ages 105
so down through the years 52
so even before he came 44
so fast before the wind 45
so forth should be kept 44
so forth should be made 43
so forth should be used 66
so forth through the list 43
so give notice of their 44
so great appears to have 72
so great begins to rage 131
so great desire to know 41
so great desire to show 44
so great indeed as from 40
so great plenty of good 205
so great regard to their 180
so great riches is come 1557
so great riches is made 63
so great stress is laid 93
so hard across the face 416
so hard across the mouth 40
so hard bested as those 40
so hard ridden by many 78
so have plenty of time 60
so high aspire as bold 46
so just before he died 43
so just before he left 43
so just before he went 60
so learn something of their 54
so leave plenty of time 114
so less likely to have 43
so many around me want 129
so many beacons to warn 42
so many before me have 63
so many before us have 78
so many blocks of wood 109
so many bodies in such 41
so many breeds of dogs 49
so many cattle to their 56
so many causes at work 77
so many changes as late 53
so many changes at home 40
so many changes at once 107
so many changes in such 83
so many changes in their 195
so many changes in your 55
so many changes of form 49
so many changes of mood 41
so many changes of name 42
so many changes of plan 56
so many changes to make 61
so many claims as from 72
so many claims on their 45
so many copies of such 100
so many copies of their 76
so many dangers at your 45
so many dangers by land 54
so many dangers to have 42
so many dangers to take 43
so many desire the taking 112
so many devils in hell 60
so many dozens of eggs 56
so many errors of fact 241
so many facets of life 595
so many facets of their 62
so many fields at once 106
so many fields of life 53
so many fields of work 43
so many fiends in their 43
so many flakes of snow 51
so many forces at play 69
so many forces at work 271
so many fronts at once 331
so many graces of fate 50
so many grains of corn 102
so many grains of dust 302
so many grains of gold 770
so many grains of pure 60
so many grains of rice 93
so many grains of salt 102
so many grains of sand 1236
so many grains of wheat 77
so many guests at once 94
so many horses at once 49
so many images of past 70
so many inches of rain 134
so many inches or feet 100
so many issues at once 53
so many joints in wrong 43
so many layers of meaning 362
so many leagues in length 58
so many leagues of land 42
so many legions in arms 67
so many levels at once 289
so many levels of life 47
so many levels of meaning 394
so many loaves of bread 379
so many manner of ways 54
so many mothers of young 48
so many myriads of ages 256
so many myriads of years 54
so many nations in arms 50
so many offers of help 58
so many orders on hand 42
so many orders to give 180
so many ounces of bread 47
so many ounces of gold 746
so many papers to sign 98
so many periods of time 43
so many phases of life 276
so many pieces of bark 90
so many pieces of bread 50
so many pieces of cloth 127
so many pieces of gold 436
so many pieces of such 220
so many pieces of wood 146
so many pieces of work 71
so many places at once 1815
so many places in india 49
so many places in such 82
so many places of their 41
so many places to fill 49
so many places to find 48
so many places to hide 304
so many places to look 138
so many places to play 69
so many places to stay 56
so many points as will 40
so many points at least 53
so many points at once 232
so many points in such 55
