see material concerned with sex 109
set emission standards for new 192
set minimum standards for all 245
set minimum standards for new 43
she becomes convinced that her 91
she becomes convinced that she 150
she finally announced that she 68
she finally concluded that she 113
she finally confessed that she 129
she finally confesses that she 41
she finally convinced him that 69
she frankly confessed that she 85
she herself requested that her 47
she plainly perceived she had 95
she proudly announced that she 109
she quickly concluded that she 94
she quickly dismissed that idea 46
she quickly explained that she 44
she quietly stretched out her 65
she refused indemnity for her 135
she released faculties that had 72
six hundred threescore and six 924
six percent indicated that they 103
six thousand effective men was 82
