sables can not abide that 46
sacred and one wails for 42
sacred awe that dares not 47
sacred earth with which she 51
sacred few who could not 135
sacred than any party can 67
sacred than that which they 52
sacred that they could not 144
sacred that they would not 44
sacred tie that binds man 48
saddle his own horse and 40
saddle off his horse and 135
saddle was hung about with 71
saddle with both hands and 78
safest for all weather and 43
safest for both mother and 43
safety and then chase him 103
safety does not alter our 48
safety for both mother and 187
safety net for people who 218
safety net for people with 42
safety net for women and 40
safety off his rifle and 41
safety that they could not 49
safety that they would not 47
sailed all that night and 44
sailed for that place with 47
sailed with his bride for 79
sailed with his father and 59
sailed with his father for 96
sailed with his fleet and 74
sailed with his fleet for 175
sailed with his mother and 62
sailed with his prize for 42
sailed with two ships for 77
sailor was our first and 79
sailor who was telling this 52
saints who had lived and 98
salary are you looking for 353
salary did not allow him 46
salary for his first year 60
salary for six months and 59
salary was not large and 58
salary was too small and 53
salary was too small for 136
salary you are looking for 73
salmon and raw flesh and 63
salmon for this season had 46
saloon with long sofas for 70
salute each and every one 53
sample and for males and 47
sample did not allow for 43
sample did not reveal any 42
sample does not allow for 90
sample for this study are 46
sample for this study was 1328
sample mean and median are 61
sample mean and median for 52
sample was set aside for 52
sample was then dried and 44
sample was then mixed with 91
sample was too small and 234
sample was too small for 536
sampling for this study was 141
savage does not preach his 51
savage joy with which they 79
savage old man would bring 41
savage one who knows how 52
savage who can amuse his 48
savage who was poising his 70
savage with his thirst for 96
scalps they had taken and 50
scalps they had taken two 104
scarce any things which can 132
scarce that they could not 122
scared that she could not 346
scared that she would not 306
scared that they could not 176
scared that they would not 372
scared that you would not 78
scenes and men where war 67
scenes does not arise out 46
scenes one may often see 71
scheme big with fraud and 59
scheme did not allow for 63
scheme did not deter him 63
scheme does not allow for 230
scheme does not cover all 60
scheme does not imply that 170
scheme how one might seal 65
scheme was one which had 93
scheme was too large and 90
school age are cared for 125
school age who could not 45
school and are looking for 107
school and had never had 49
school and has never had 42
school and her father was 68
school and her first year 51
school and her mother had 123
school and her mother was 105
school and his father had 60
school and his father was 100
school and his first year 67
school and his mother had 161
school and his mother was 133
