sadden the soul were everywhere 59
safety in health care facilities 58
safety we have well considered 66
scarce to have been sufficient 129
scenes of their early associations 46
school or some other institution 71
scored an even more impressive 46
second of these three categories 41
second or third hand information 79
second or third rate importance 54
section by such other investment 50
section to have been registered 72
section we draw some conclusions 72
section we have only considered 66
secure at least their neutrality 46
secure the other from depredation 59
seemed no very high compliment 45
seemed of much less importance 58
seemed so much more appropriate 57
seemed so much more attractive 68
seemed so much more interested 48
seemed so much more profitable 43
seemed to break down completely 58
seemed to come from everywhere 2540
seemed to come more frequently 84
seemed to feel great confidence 93
seemed to feel more confidence 40
seemed to feel some explanation 73
seemed to find great difficulty 90
seemed to find some consolation 42
seemed to find some difficulty 544
seemed to gain more confidence 63
seemed to grow more attractive 50
seemed to grow more determined 47
seemed to grow more formidable 97
seemed to grow more oppressive 83
seemed to grow more pronounced 181
seemed to have been absolutely 112
seemed to have been accidental 44
seemed to have been acquainted 65
seemed to have been adequately 64
seemed to have been anticipating 51
seemed to have been appreciated 53
seemed to have been approached 46
seemed to have been calculated 62
seemed to have been captivated 51
seemed to have been carelessly 64
seemed to have been completely 1484
seemed to have been compounded 95
seemed to have been compressed 143
seemed to have been conditioned 73
seemed to have been considered 362
seemed to have been constantly 92
seemed to have been controlled 50
seemed to have been cultivated 246
seemed to have been decisively 76
seemed to have been definitely 173
seemed to have been demolished 45
seemed to have been designated 152
seemed to have been determined 410
seemed to have been devastated 69
seemed to have been diminished 70
seemed to have been discovered 499
seemed to have been dissipated 152
seemed to have been distracted 42
seemed to have been eavesdropping 62
seemed to have been eliminated 380
seemed to have been encouraged 258
seemed to have been entertaining 47
seemed to have been eradicated 101
seemed to have been essentially 43
seemed to have been everywhere 469
seemed to have been extinguished 513
seemed to have been fascinated 87
seemed to have been forewarned 42
seemed to have been formulated 58
seemed to have been frequently 50
seemed to have been frightened 132
seemed to have been frustrated 97
seemed to have been groundless 53
seemed to have been hopelessly 75
seemed to have been identified 74
seemed to have been immediately 48
seemed to have been implicated 40
seemed to have been impossible 41
seemed to have been imprisoned 105
seemed to have been influenced 837
seemed to have been instigated 66
seemed to have been instituted 50
seemed to have been instructed 143
seemed to have been interested 417
seemed to have been introduced 202
seemed to have been lowlanders 74
seemed to have been maintained 87
seemed to have been multiplied 54
seemed to have been originally 485
seemed to have been overlooked 780
seemed to have been overturned 86
seemed to have been penetrated 47
seemed to have been positively 49
seemed to have been preoccupied 93
seemed to have been prescribed 44
seemed to have been productive 49
seemed to have been profoundly 50
seemed to have been recklessly 60
seemed to have been recognized 185
seemed to have been reconciled 50
seemed to have been reinforced 116
seemed to have been relatively 206
seemed to have been remarkable 59
seemed to have been remarkably 87
seemed to have been restricted 57
seemed to have been sacrificed 191
seemed to have been sculptured 52
seemed to have been stabilized 110
seemed to have been stimulated 127
seemed to have been strengthened 209
seemed to have been successful 1050
seemed to have been sufficient 121
seemed to have been superseded 181
seemed to have been supplanted 60
seemed to have been suppressed 141
