sea floor and its subsequent 190
so badly off for commanders 42
so badly that she miscarried 43
so close that its coexistence 53
so close was this dependence 47
so drunk that her assailants 50
so happy that his conscience 50
so keeps not that difference 110
so large that each inhabitant 45
so large that they completely 138
so large that they constitute 110
so large that they contribute 62
so large that they frequently 46
so large that they overflowed 56
so large that they overshadow 54
so large that you understood 41
so maybe you can understand 45
so moved with his discourses 50
so often that they eventually 65
so quiet was its atmosphere 99
so rapid was his calculation 41
so rigid and our procedural 70
so small that each individual 54
so small that his destruction 182
so small that they constitute 56
so small that they contribute 41
so small that they frequently 53
so small that this difference 57
so strong that they completely 56
so strong was her attachment 45
so strong was his attachment 77
so willing that his volubility 46
