safe that 114 safe that 51
said her 42 said and 78
said and 79 said and 55
said nor 73 said and 140
said with 54 said that 44
said for 79 said being 53
said that 157 said and 606
said are 45 said her 53
said out 81 said not 391
said was 57 said her 47
said him 82 said her 55
said her 59 said him 70
said her 53 said him 54
said not 41 said with 41
said him 44 said not 61
said for 63 said not 86
said for 42 sake and 63
sake its 47 salt than 52
salt are 70 same with 125
same and 89 same and 134
same for 86 same her 47
same her 61 same his 71
same any 177 same are 195
same that 42 same got 51
same and 121 same may 48
same that 125 same with 97
same each 116 same are 94
same are 48 same and 51
same was 74 same and 245
same that 51 same her 66
same off 116 same and 61
same and 43 same with 41
same with 42 same and 74
same was 47 same her 45
same and 183 same are 47
same that 167 same with 210
same its 45 same not 59
same for 120 same for 42
same with 107 same and 96
same for 79 same that 112
same with 805 same and 235
same that 93 same with 70
same air 59 same any 85
same that 56 same with 73
same and 47 same any 46
same that 85 same him 75
same them 63 same and 126
same that 43 sand with 75
sand with 43 sank and 67
sank with 61 save men 99
save day 50 saying that 53
saying not 111 saying not 50
saying and 91 saying not 48
says you 64 scan man 61
seeing her 58 seeing her 97
seek for 41 seek ten 147
seem than 157 seem can 93
seen him 68 seen you 146
seen nor 40 seen not 129
seen and 55 seen not 56
seen with 50 sees near 41
sees them 45 send for 107
sent and 123 sent and 44
shear are 183 ship and 46
ship her 53 ship and 89
shot and 281 shot with 13992
shot and 93 shot and 53
shot and 51 shot and 225
show all 98 shut she 54
shut she 50 sick her 50
side out 95 side you 222
side with 45 side out 452
side and 88 side with 40
side out 254 side out 92
single him 69 single both 48
single for 76 single with 50
single for 40 single out 307
singly and 41 sink and 68
site with 46 size one 160
skin and 232 skin with 40
skin with 54 slag this 59
slam his 91 slim than 42
soar and 63 sobs his 116
soft her 67 soft and 51
soft and 80 soft and 58
soft are 75 soft are 51
soft and 44 sold with 41
sole this 55 sole things 48
solo with 119 some than 83
some its 59 some and 65
some any 46 some any 217
some for 51 some and 40
some and 48 some that 49
some six 96 some and 152
some out 61 some for 47
some and 59 some not 157
some this 44 some his 53
some has 46 some was 69
some for 42 some who 41
some and 53 some her 60
some that 436 some that 419
some that 216 some and 72
some than 84 some men 86
some men 76 some she 99
some are 71 some than 305
some its 89 some than 95
some than 43 some than 46
some with 52 some them 107
some out 40 some his 40
some his 46 some lying 44
some them 61 some both 43
some than 138 some was 78
some than 44 some has 41
some and 43 some things 175
some act 188 some that 150
some that 154 some with 42
some why 181 some they 51
some than 58 some that 126
some that 103 some ice 51
some for 65 some way 40
some with 60 some than 46
some are 63 some and 119
some for 44 some than 105
some out 48 some than 143
soon and 51 soon for 90
soon for 103 soon for 115
soon and 95 soon and 168
soon was 41 soon out 40
soon was 44 soon they 49
sort and 117 soul and 48
soul out 63 soul than 50
soul for 54 soul for 123
soul his 42 sour and 42
south and 53 south and 163
speak and 40 speak and 154
speak with 48 speak and 50
speak than 94 speak than 98
speak with 46 speak fear 172
speak and 78 speak with 50
speak and 122 speak with 81
speak and 43 speak with 49
speak and 92 speak with 40
speak than 42 speak and 54
speak fear 125 speak and 173
speak way 145 spin and 220
spin and 102 spring and 137
spun and 247 spun with 44
spun out 50 spun her 43
spun out 48 spun out 131
spun his 74 spun for 72
spun out 43 spun off 191
spun out 357 spun and 79
star and 50 stay for 84
stay for 639 steal being 118
steam him 54 step out 137
step that 129 step that 113
step out 56 step that 107
step that 190 step that 1100
step that 981 step that 798
step that 1278 step for 129
step that 469 step that 99
step that 211 step out 96
step that 124 step that 311
step that 380 step that 457
step she 43 stop and 128
such him 47 such has 44
such and 90 such does 55
such you 1832 such air 41
such not 64 such not 56
such nor 60 such are 58
such and 40 such and 90
such men 46 such and 46
such one 43 such than 50
such can 57 such for 54
such for 63 such that 424
such that 117 such than 41
such him 56 such both 60
such with 42 such and 123
such are 136 such may 88
such with 75 such and 75
such are 137 such may 46
such and 61 such are 52
such that 83 such par 229
such and 88 such are 57
such things 46 such that 66
such out 56 such that 81
such that 47 such things 60
such are 479 suit out 299
suit out 190 sure him 49
sure her 49 sure him 96
swam out 41 swinging all 62
swung her 45 swung out 45
