saddled their nest in the 53
saddles were flung on the 96
sadness came over me as 356
sadness took hold of me 62
sailors away from the sea 43
sailors cast away on an 69
sailors fell into the sea 42
sailors home from the sea 128
sailors sent forth by the 43
sailors taking part in the 43
sailors took part in the 112
sailors very idle at sea 91
sailors went back to the 61
sailors were lost in the 49
sailors were said to be 48
sailors were sent to the 94
saintly life need in no 48
sallied forth early in the 68
sallies were made by the 266
salvage made prior to the 151
salvage some part of the 231
samples from deep in the 47
samples from four of the 68
samples from many of the 101
samples from most of the 187
samples from some of the 365
samples from three of the 101
samples were able to be 43
samples were held at the 81
samples were held in the 92
samples were kept at the 95
samples were kept in an 121
samples were kept in the 439
samples were left in the 165
samples were made at the 62
samples were made by the 191
samples were made in the 183
samples were made up in 56
samples were made up of 147
samples were made up to 123
samples were sent to an 47
samples were sent to the 1143
samples were used as the 149
samples were used in the 808
samples will have to be 507
samples will need to be 292
samples will tend to be 150
sanction their union by the 85
sanction will have to be 74
sandals died away in the 63
sandals used only by the 61
sandals were left at the 46
sandals were made of the 51
sandals were worn by the 52
sappers were busy in the 82
satisfy only part of the 82
satisfy only some of the 94
satisfy some need of the 145
satisfy their need to be 196
satisfy their young king in 60
satisfy your mind as to 76
satisfy your need to be 61
savages came down to the 51
savages from taking to the 57
savages have more of the 51
savages know nothing of the 60
savages soon fading in the 92
savages taking hold of the 70
savages went west of the 52
savages were seen on the 84
savanna belt south of the 113
savored much more of the 109
scamper three boys to the 64
scarlet coat only as an 67
scenario will have to be 72
scenery from some of the 41
scenery from what he is 75
scented like those of the 99
schemes date back to the 54
schemes dating back to the 51
schemes form part of the 66
schemes have been in the 57
schemes have come to be 52
schemes laid down by the 52
schemes laid down in the 53
schemes like those of the 60
schemes were part of the 63
schemes were said to be 61
schemes were used in the 96
schemes will have to be 735
schemes will need to be 177
scholar once said to me 80
schooling will have to be 174
schools also need to be 73
schools also tend to be 133
schools date back to the 113
schools dating back to the 77
schools during most of the 97
schools form part of the 143
schools from many of the 41
schools from some of the 49
schools from those of the 60
schools gave rise to the 76
schools have been at the 76
schools have been in the 340
schools have been of the 48
schools have been on the 87
schools have come to be 300
schools have come to the 118
schools have done in the 75
schools have gone on to 45
schools have gone to the 66
schools have made in the 68
schools have made to the 52
schools have many of the 60
schools have much to do 59
schools have nothing to do 89
schools have some of the 76
schools just prior to the 42
schools leave much to be 126
schools left much to be 162
schools like those in the 81
schools like those of the 180
schools must play in the 106
schools owed much to the 45
schools take care of the 71
schools take part in the 92
schools taking part in the 394
schools there were in the 108
schools there were to be 43
schools there will be no 83
schools took part in the 407
schools went back to the 60
schools were able to do 83
schools were also to be 203
schools were born in the 73
schools were felt to be 69
schools were free to the 60
schools were held at the 80
schools were held in the 478
schools were held to be 122
schools were kept in the 93
schools were left in the 62
schools were left to the 134
schools were made by the 96
schools were made in the 60
schools were made up of 95
schools were meant to be 81
schools were only to be 50
schools were open in the 66
schools were open to the 230
schools were paid by the 77
schools were part of an 56
schools were part of the 559
schools were said to be 385
schools were seen as an 69
schools were seen as the 207
schools were seen by the 42
schools were seen to be 113
schools were sent to the 108
schools were some of the 126
schools were soon to be 46
schools were such as to 65
schools were those of the 157
schools were trying to do 82
schools were used as the 65
schools were used by the 56
schools were used in the 129
schools will cease to be 48
schools will have on the 43
schools will have to be 1329
schools will have to do 67
schools will need to be 435
schools will only be the 44
schools will tend to be 92
science during most of the 51
science from those of the 45
science from what it is 61
science gave birth to the 99
science gave rise to the 98
science have been in the 126
science have come to be 113
science have come to the 117
science have done in the 56
science have nothing to do 168
science having nothing to do 41
science lays hold of the 47
science leads only to the 42
science must come to the 53
science must rest on the 68
science must turn to the 72
science only when it is 124
science owed much to the 55
science owes more to the 76
science owes much to the 152
science there must be an 57
science were laid in the 116
science were made by the 64
science were made in the 96
science were part of the 48
science were seen to be 70
science will cease to be 49
science will come to an 43
science will come to the 60
science will give us the 71
science will have to be 647
science will help us to 97
science will live up to 46
science will need to be 147
science will rise to the 46
scooted over next to me 47
scourging when last at my 77
scraped away down to the 49
scraped away most of the 109
scraped away much of the 44
scraped away some of the 281
scraped their feet on the 54
scratch away some of the 58
scratch their heads at the 80
scratch your name on the 49
screech owls take up the 329
screening test such as the 340
screening tool such as the 246
screening will have to be 45
screening will need to be 42
screens were used in the 51
screens will have to be 54
scripts were used in the 50
scripts will have to be 51
scripts will need to be 51
scrubby wood left on the 49
searches were made at the 68
searches were made by the 95
searches were made in the 223
searches were made of the 80
searches were made on the 54
searches will have to be 44
seasonal farm work in the 78
seconds just prior to the 49
seconds were left in the 84
seconds were left on the 77
sections dating back to the 41
sections form part of the 52
sections from some of the 97
sections from those of the 51
sections have nothing to do 61
sections laid open in the 62
sections like those of the 61
sections list some of the 145
sections show some of the 70
sections were made at the 75
sections were made by the 88
sections were made in the 224
sections were made of the 482
sections were made on the 41
sections were made up of 98
sections were part of the 66
sections were sent to the 62
sections were used as the 52
sections were used in the 208
sections will have to be 467
sections will look at the 213
sections will need to be 139
sections will take up the 65
sections will tend to be 43
sectors also tend to be 48
sectors will have to be 364
sectors will need to be 83
secured cash upon it to 77
secured five seats in the 52
secured from many of the 49
secured from most of the 86
secured from some of the 179
secured full play to the 76
secured only when it is 108
secured such debt in the 175
secured such love it is 43
secured their feet in the 68
secured their hold on the 181
secured their seats in the 44
secured very much in the 41
secured when there is no 80
sedition died away in the 41
seduced away from it by 101
seedlings were kept in the 123
seedlings were ready to be 40
seedlings were used in the 46
seedlings will have to be 92
seedlings will need to be 72
seemingly have nothing to do 280
seemingly having nothing to do 69
seemingly nothing more to be 41
segment give rise to the 41
segment giving rise to the 65
segment will have to be 136
segment will need to be 54
selecting only some of the 113
selecting seed corn in the 52
selects only some of the 142
selfish talk seem to me 78
semiarid areas such as the 54
sensors were used in the 75
sensors will have to be 80
sensors will need to be 49
sensory areas such as the 46
seraphs flew over to me 41
sergeant came over to me 45
sergeant went back to the 79
sergeant went over to the 53
sermons have come to us 41
sermons have much of the 46
sermons were full of the 94
sermons were said to be 129
sermons were wont to be 46
servant came back to the 69
servant ever ready to do 45
servant girl came to the 80
servant girl came up to 45
servant girl held up the 53
servant took hold of me 176
servant went back to the 165
servant went down to the 52
servant will show it to 73
servers will have to be 87
servers will need to be 127
service areas such as the 162
service dating back to the 166
service during most of the 126
service during much of the 57
service even when it is 110
service ever held in the 178
service fees paid by the 60
service from here to the 72
service from most of the 52
service from some of the 118
service from there to the 50
service from those of the 48
service gave rise to the 59
service giving rise to the 51
service have been in the 86
service have come to be 58
service having been in the 49
service jobs tend to be 149
service just prior to the 60
service laid down by the 120
service laid down in the 129
service left much to be 159
service left nothing to be 47
service mark used by the 250
service must ever be at 48
service only when it is 137
service over most of the 44
service road leading to the 117
