sac of an old hernia 74
sad as if thou hadst 44
sad as is our feeling 74
sad as it may sound 80
sad it is that people 78
sad thing is that people 106
sad thing is that while 121
sad to be all alone 47
sang as he had never 116
sang as he has never 57
sang at the san carlo 54
sang it to his notes 49
sap of the box elder 40
sat at an oak table 61
sat at my old place 47
sat at my own table 66
sat at the bar alone 54
sat at the bar nursing 161
sat at the bar sipping 138
sat at the bar talking 98
sat at the bar until 51
sat at the bar waiting 96
sat at the bar where 41
sat at the bar while 108
sat at the big round 113
sat at the big table 640
sat at the deal table 53
sat at the far right 66
sat at the far table 47
sat at the head table 3355
sat at the long table 1732
sat at the long white 44
sat at the low table 128
sat at the oak table 168
sat at the old table 50
sat at the red light 61
sat at the top table 278
sat by in her widow 75
sat by it all night 74
sat by me all night 45
sat by me and asked 50
sat by the bed holding 154
sat by the bed until 57
sat by the bed where 61
sat by the bed while 49
sat by the long ropes 59
sat in an arm chair 260
sat in an easy chair 2541
sat in an old chair 126
sat in an old leather 42
sat in an old rocking 215
sat in it for hours 103
sat in my car waiting 70
sat in my easy chair 143
sat in my old chair 55
sat in on her class 41
sat in on his class 125
sat in on one meeting 102
sat in on that meeting 145
sat in on this meeting 97
sat in or her lawns 43
sat in the arm chair 122
sat in the big black 40
sat in the big chair 1293
sat in the big drawing 59
sat in the big leather 449
sat in the big rocking 205
sat in the big rooms 99
sat in the big throne 84
sat in the cab while 46
sat in the car after 86
sat in the car alone 51
sat in the car feeling 45
sat in the car looking 294
sat in the car smoking 55
sat in the car staring 163
sat in the car talking 148
sat in the car thinking 247
sat in the car under 57
sat in the car until 308
sat in the car waiting 588
sat in the car while 1775
sat in the dim light 1217
sat in the easy chair 1223
sat in the far right 56
sat in the hot water 106
sat in the long drawing 46
sat in the long grass 203
sat in the low chair 147
sat in the old chair 108
sat in the old house 57
sat in the old leather 117
sat in the old place 41
sat in the old rocking 248
sat in the one chair 140
sat in the red chair 81
sat in the red leather 160
sat in the red plush 89
sat in the seat right 111
sat in the seat where 103
sat in the seat which 41
sat in the sun after 44
sat in the sun smoking 67
sat in the sun talking 47
sat in the sun under 87
sat in the sun until 141
sat in the sun while 93
sat in the tub until 58
sat in the two front 80
sat in the van waiting 40
sat in the vip lounge 40
sat in the wet grass 62
sat me on his knees 79
sat on an easy chair 158
sat on an elm bough 61
sat on an end table 209
sat on an old bench 138
sat on an old chair 106
sat on an old couch 45
sat on an old stone 122
sat on an old stump 64
sat on in her chair 80
sat on in his chair 88
sat on it and began 89
sat on it and cried 54
sat on it and leaned 54
sat on my bed feeling 89
sat on my bed looking 84
sat on my bed staring 57
sat on my bed thinking 145
sat on my bed while 121
sat on my lap while 145
sat on the bar stool 396
sat on the bed after 91
sat on the bed again 671
sat on the bed close 61
sat on the bed feeling 223
sat on the bed holding 338
sat on the bed hugging 57
sat on the bed looking 445
sat on the bed naked 74
sat on the bed playing 56
sat on the bed pulling 45
sat on the bed sipping 45
sat on the bed smiling 42
sat on the bed smoking 126
sat on the bed staring 277
sat on the bed talking 173
sat on the bed thinking 377
sat on the bed until 175
sat on the bed waiting 194
sat on the bed where 194
sat on the bed which 69
sat on the bed while 889
sat on the big chair 49
sat on the big couch 60
sat on the big leather 90
sat on the big table 106
sat on the bus bench 65
sat on the dry grass 67
sat on the earth floor 158
sat on the easy chair 124
sat on the end stool 52
sat on the end table 304
sat on the far right 161
sat on the gym floor 55
sat on the log bench 46
sat on the long bench 327
sat on the long couch 67
sat on the long front 40
sat on the long porch 51
sat on the low bench 130
sat on the low brick 68
sat on the low chair 65
sat on the low couch 49
sat on the low stone 284
sat on the low stool 301
sat on the low table 117
sat on the mud floor 125
sat on the old bench 97
sat on the old couch 152
sat on the old leather 85
sat on the old porch 109
sat on the old stone 70
sat on the one chair 207
sat on the rear bench 45
sat on the red leather 101
sat on the red plush 169
sat on the seat under 79
sat on the seat where 59
sat on the seat which 57
sat on the sun porch 96
sat on the top board 45
sat on the top floor 68
sat on the top porch 139
sat on the top shelf 239
sat on the top stair 313
sat on the top stone 48
sat on the two sides 58
sat on the wet grass 112
sat the king and queen 361
sat to eat and drink 128
sat up as she spoke 60
sat up at six months 54
sat up in bed after 62
sat up in bed again 186
sat up in bed feeling 145
sat up in bed gasping 48
sat up in bed holding 85
sat up in bed looking 239
sat up in bed quaking 82
sat up in bed quite 50
sat up in bed rubbing 92
sat up in bed shaking 45
sat up in bed sipping 57
sat up in bed smoking 43
sat up in bed staring 132
sat up in bed talking 84
sat up in bed thinking 81
sat up in bed until 99
sat up in bed waiting 44
sat up in bed while 127
sat up in bed writing 87
sat up in her chair 2076
sat up in her place 66
sat up in his cabin 147
sat up in his chair 6105
sat up in his night 119
sat up in his place 47
sat up in his sleep 43
sat up in his study 77
sat up on her couch 212
sat up on her elbow 195
sat up on her heels 374
sat up on her knees 568
sat up on his bench 64
sat up on his chair 93
sat up on his couch 394
sat up on his elbow 267
sat up on his heels 242
sat up on his knees 363
sat up on one elbow 927
sat up so she could 135
sat up to all hours 136
sat up to our knees 89
sat up to see where 44
saw as he had never 59
saw as he was walking 60
saw as the real cause 41
saw as the real issue 45
saw by the dim light 837
saw in it that which 56
saw in the air above 57
saw in the dim light 3055
saw in the long parks 55
saw in the new order 230
saw in the new party 121
saw in the new world 1051
saw in the old woman 127
saw in the old world 47
saw in the real world 217
saw in the sky above 113
saw in the two faces 149
saw it as his calling 40
saw it as his first 111
saw it as his moral 47
saw it as his right 57
saw it at his house 45
saw it at its worst 132
saw it at that point 42
saw it at this point 42
saw it by long looking 72
saw it in her dreams 52
saw it in her hands 42
saw it in her looks 229
saw it in his dreams 143
saw it in his father 92
saw it in his hands 154
saw it in his mother 40
saw it in his studio 59
saw it in his vision 121
saw it in its first 101
saw it in its glory 218
saw it in its place 76
saw it in its prime 110
saw it in our faces 44
saw it in our hands 42
saw it in that light 1964
saw it in that state 63
saw it in this light 1249
saw it in this state 74
saw it in use again 43
saw it on all sides 53
saw it on his first 66
saw it on his table 45
saw it on his visit 42
saw it on its mother 101
saw it on that first 57
saw it the day after 67
saw me in that state 67
saw me in this state 315
saw me the day after 53
saw on an old tower 56
saw the king and queen 1221
saw the thing was really 106
saw to it that after 154
saw to it that black 104
saw to it that books 51
saw to it that david 74
saw to it that every 2479
saw to it that first 42
saw to it that funds 73
saw to it that george 90
saw to it that henry 67
saw to it that james 45
saw to it that japan 42
saw to it that jesus 50
saw to it that labor 51
saw to it that large 71
saw to it that local 157
saw to it that louis 62
saw to it that money 249
saw to it that music 88
saw to it that nearly 88
saw to it that never 55
saw to it that order 84
saw to it that others 173
saw to it that people 377
saw to it that peter 49
saw to it that russia 45
saw to it that sarah 45
saw to it that small 43
saw to it that state 131
