sack the cup was found 122
safe as they are today 355
safe as yet and sound 77
safe by day and night 82
safe in her own hands 53
safe in her own house 154
safe in his own hands 135
safe in his own house 736
safe in his own keeping 270
safe in his own kingdom 121
safe in his own place 41
safe in its own hands 46
safe in our own homes 140
safe in this new world 46
safe so that they could 44
safe to get too close 111
safe to his own house 58
safe to say that about 443
safe to say that after 499
safe to say that anything 154
safe to say that china 99
safe to say that eight 122
safe to say that either 276
safe to say that every 3312
safe to say that fewer 60
safe to say that fifty 78
safe to say that fully 471
safe to say that given 79
safe to say that human 235
safe to say that japan 235
safe to say that jesus 97
safe to say that large 131
safe to say that local 53
safe to say that major 77
safe to say that money 55
safe to say that nearly 712
safe to say that never 1073
safe to say that people 336
safe to say that russia 54
safe to say that since 427
safe to say that social 104
safe to say that thirty 101
safe to say that though 109
safe to say that today 408
safe to say that under 1092
safe to say that until 405
safe to say that where 449
safe to say that while 1514
safe to say that within 462
safe to say that women 215
safe to say they never 60
safe to say they would 91
safe to say you would 46
safe to use and which 46
safe to use this method 68
saga in its own right 161
saga of men and women 110
sage in his own right 146
said an old man sitting 67
said as how you would 50
said as she was about 144
said as she was getting 109
said as she was putting 47
said as she was walking 70
said as they all stood 105
said as they both stood 78
said as they sat round 61
said as with one voice 61
said at his own table 213
said by men and women 70
said by one who knows 79
said by one who ought 71
said by one who spoke 45
said do not say anything 61
said he and his father 189
said he and his mother 119
said he and his party 57
said he and his people 137
said he and his staff 148
said he can not avoid 46
said he can not stand 43
said he did and would 49
said he did not admit 57
said he did not agree 1228
said he did not allow 133
said he did not appear 101
said he did not begin 47
said he did not belong 262
said he did not blame 820
said he did not bother 120
said he did not carry 100
said he did not catch 48
said he did not claim 66
said he did not count 62
said he did not dance 64
said he did not doubt 921
said he did not drink 402
said he did not drive 44
said he did not either 378
said he did not enjoy 177
said he did not exist 85
said he did not fancy 130
said he did not favor 245
said he did not fight 55
said he did not fully 113
said he did not marry 56
said he did not offer 69
said he did not often 251
said he did not paint 64
said he did not quite 542
said he did not really 1735
said he did not share 200
said he did not shoot 102
said he did not sleep 291
said he did not smoke 606
said he did not sound 44
said he did not spend 71
said he did not stand 78
said he did not start 80
said he did not touch 132
said he did not trust 1755
said he did not value 117
said he did not visit 40
said he did not watch 40
said he did not worry 141
said he did not write 325
said he does not agree 46
said he does not really 77
said he got his first 50
said he got his start 89
said he had and would 46
said he had had about 75
said he had had quite 74
said he had his first 51
said he had his hands 50
said he had long known 110
said he had long since 110
said he had not acted 54
said he had not anything 59
said he had not asked 331
said he had not cared 48
said he had not dared 64
said he had not drink 53
said he had not drunk 47
said he had not earned 48
said he had not either 158
said he had not found 428
said he had not fully 93
said he had not given 494
said he had not known 1410
said he had not liked 137
said he had not lived 65
said he had not moved 40
said he had not quite 82
said he had not really 316
said he had not shown 103
said he had not slept 746
said he had not spent 56
said he had not taken 437
said he had not tried 117
said he had not voted 42
said he had not where 66
said he had read about 769
said he had read every 49
said he had that evening 70
said he had that morning 56
said he had two wives 42
said he put his hands 42
said he saw his father 62
said he saw his mother 162
said he was all right 3779
said he was being taken 52
said he was going about 144
said he was going after 210
said he was going crazy 46
said he was going fishing 352
said he was going hunting 221
said he was going right 286
said he was going round 92
said he was going where 76
said he was her father 431
said he was her lover 57
said he was her uncle 73
said he was his father 241
said he was his mother 48
said he was not about 444
said he was not after 45
said he was not alone 90
said he was not armed 64
said he was not aware 2092
said he was not bound 194
said he was not calling 55
said he was not crazy 59
said he was not drunk 182
said he was not either 63
said he was not equal 111
said he was not feeling 1394
said he was not fully 55
said he was not getting 289
said he was not given 72
said he was not gonna 395
said he was not happy 495
said he was not holding 40
said he was not hungry 1410
said he was not kidding 77
said he was not known 53
said he was not letting 47
said he was not looking 319
said he was not playing 107
said he was not proud 78
said he was not putting 52
said he was not quite 589
said he was not really 646
said he was not right 151
said he was not running 198
said he was not seeking 121
said he was not selling 44
said he was not smart 48
said he was not sorry 261
said he was not speaking 179
said he was not staying 94
said he was not strong 148
said he was not talking 225
said he was not telling 81
said he was not thinking 216
said he was not tired 206
said he was not under 59
said he was not upset 63
said he was not willing 365
said he was not working 162
said he was not worthy 545
said he was not writing 49
said he was now quite 44
said he was now willing 44
said he was now working 61
said he was out hunting 41
said he was out looking 61
said he was real sorry 62
said he was too close 83
said he was too drunk 155
said he was too proud 86
said he was too short 81
said he was too small 235
said he was too smart 54
said he was too tired 2358
said he was too upset 85
said he who had first 133
said he with his usual 66
said if any one would 49
said if she had known 379
said if she had lived 41
said if they had known 484
said in any real sense 94
said in her low voice 289
said in her own sweet 52
said in her own tongue 137
said in her own voice 167
said in her own words 117
said in her thin voice 63
said in her weak voice 58
said in his big voice 85
said in his dry voice 166
said in his easy drawl 51
said in his low voice 249
said in his old voice 66
said in his one prose 49
said in his own house 120
said in his own tongue 383
said in his own voice 627
said in his own words 503
said in his thin voice 154
said in his weak voice 85
said in our day about 68
said in our own tongue 47
said in that low voice 177
said is that they appear 42
said is that they belong 47
said is that they exist 58
said is that they would 86
said it did not agree 51
said it did not appear 345
said it did not apply 199
said it did not belong 330
said it did not bother 569
said it did not change 44
said it did not count 94
said it did not exist 250
said it did not match 43
said it did not occur 79
said it did not please 43
said it did not really 467
said it did not sound 1167
said it did not taste 99
said it did not worry 62
said it does not appear 53
said it does not exist 56
said it she was sorry 69
said it than she burst 76
said it that she would 50
said it was all about 286
said it was all false 139
said it was all fancy 48
said it was all fixed 84
said it was all quite 73
said it was all right 30210
said it was all stuff 45
said it was all taken 55
said it was and asked 43
said it was but right 41
said it was her father 202
said it was her fault 562
said it was her first 412
said it was her liver 60
said it was her mother 351
said it was her right 65
said it was his child 52
said it was his father 718
said it was his fault 1422
said it was his first 458
said it was his habit 96
said it was his house 171
said it was his lucky 57
said it was his money 75
said it was his mother 567
said it was his place 55
said it was his right 328
said it was long since 69
said it was not about 556
said it was not anything 521
said it was not aware 45
said it was not bound 42
said it was not every 46
said it was not fitting 242
said it was not funny 143
said it was not getting 44
said it was not healthy 122
said it was not known 163
said it was not large 51
said it was not legal 67
said it was not money 50
said it was not nearly 174
said it was not often 159
said it was not quite 951
said it was not really 823
said it was not right 4077
said it was not stealing 42
said it was not strong 102
said it was not theirs 119
said it was not until 469
said it was not usual 316
said it was not within 114
said it was not working 210
said it was not yours 85
said it was one which 92
said it was our blood 42
said it was our fault 141
said it was ten miles 46
said it was that which 50
said it was too close 353
said it was too dirty 52
said it was too large 187
said it was too light 62
said it was too noisy 80
said it was too risky 337
said it was too rough 149
said it was too short 203
said it was too small 536
said it was too strong 95
said it was too sweet 52
said it was too tight 112
said it was too tough 54
said it was two hours 103
said it was two miles 53
said it with his tongue 47
said it with his usual 74
said king and his heirs 96
said me and him would 43
said my old one would 62
said no one had asked 42
said of all his works 74
said of any and every 44
said of each and every 138
said of her son david 50
said of her that every 80
said of her that though 45
said of him that after 110
said of him that cupid 135
said of him that every 70
said of him that never 161
said of him that since 112
said of him that though 247
said of him that while 802
said of him who would 40
said of him with quiet 74
said of his new guest 40
said of his own father 135
said of his own people 57
said of his own poetry 61
said of his own works 91
said of his own writing 113
said of men and women 64
said of them that while 136
said or did all night 61
said or did has faded 43
said or did now would 46
said or did that might 56
said or did that night 96
said or did that would 116
said or did was right 425
said or sung this psalm 65
said so that all could 136
said so that she could 88
said so that they could 72
said so that they might 51
said so with his usual 58
said the day was rather 44
said the dead had souls 75
said the dry and husky 80
said the earth was round 321
said the god you serve 43
said the head was stuck 45
said the jew was pushing 65
said the law and order 45
said the man and woman 107
said the man that wrote 43
said the man who could 118
said the man who drove 44
said the man who lived 44
said the man who owned 167
said the man who spoke 169
said the man who stood 139
said the man who would 119
said the man who wrote 64
said the men and women 93
said the men had shown 81
said the new law would 78
said the old man after 297
said the old man again 322
said the old man could 47
said the old man drily 142
said the old man dryly 171
said the old man hotly 47
said the old man looking 110
said the old man never 40
said the old man raising 43
said the old man rather 49
said the old man sadly 379
said the old man shaking 51
said the old man smiling 146
said the old man turning 103
said the old man weakly 40
said the old man would 100
said the one old woman 76
said the one who spoke 89
said the rat that could 138
said the sky was falling 50
said the sun was shining 103
said the war was about 40
said to all who would 112
said to any one about 47
said to ask you about 129
said to each and every 89
said to god with saint 94
said to her one evening 1261
said to her one morning 771
said to her one night 566
said to her own mother 41
said to her she would 74
said to her son jacob 173
said to her that evening 197
said to her that first 102
said to her that morning 301
said to her that night 473
said to her that since 101
said to her that would 50
said to her this morning 247
said to him and about 65
said to him and asked 58
said to him and could 111
said to him one evening 1151
said to him one morning 837
said to him one night 814
said to him that after 55
said to him that evening 300
said to him that first 61
said to him that morning 969
said to him that night 1294
said to him that people 75
said to him that since 118
said to him that though 55
said to him that which 80
said to him that while 76
said to him that would 76
said to him this evening 74
said to him this morning 618
said to him two hours 44
said to him with feeling 46
said to him with warmth 47
said to his old mother 40
said to his own mother 62
said to his own people 105
said to his son after 44
said to his son david 72
said to his son jacob 50
said to his son while 66
said to let you sleep 291
said to men and women 93
said to one that spake 51
said to one who asked 85
said to one who stood 67
said to read and write 49
said to them and about 53
said to them one evening 67
said to them one night 46
said to them that night 45
said to them that since 56
said to them that stood 107
said to them they would 51
said to you and others 64
said to you that evening 74
said to you that first 89
said to you that night 710
said to you this evening 217
said to you this morning 1402
said to you was quite 49
said we can not allow 52
said we can not change 45
said we can not serve 59
said we can not trust 46
said we did not really 75
said we had not given 62
sail in her for either 40
sail on all his ships 45
sail to try his speed 41
saith to all that truly 56
sake be not too hasty 47
sake do not let anything 40
sake do not say anything 388
sake do not you start 40
sake if not for yours 186
sake of all she makes 59
sake of all that lives 264
sake of being near water 62
sake of doing that which 109
sake of each and every 79
sake of her own pride 104
sake of her own white 126
sake of him who loved 66
sake of him who loves 61
sake of him who wrote 50
sake of his dead father 41
sake of his dear child 47
sake of his old father 60
sake of his own glory 419
sake of his own honor 338
sake of his own inner 41
sake of his own moral 55
sake of his own people 149
sake of his own power 88
sake of his own pride 147
sake of his son jesus 260
sake of its own beauty 163
sake of its own glory 48
sake of its own grace 45
sake of its own growth 40
sake of its own people 93
sake of its own power 52
sake of law and order 1222
sake of men and women 69
sake of men who could 64
sake of one she loved 57
sake of one who cares 61
sake of one who loves 62
sake of our own honor 93
sake of our own lives 57
sake of our own people 64
sake of our own souls 206
sake of that for which 66
sake of that one woman 62
sake of them that shall 293
sake of you and yours 72
sake to see you first 46
sake we are being slain 81
sale at all pet shops 211
sale of all and every 41
sale of all his books 58
sale of all his goods 100
sale of all his stock 93
sale of all its stock 45
sale of each and every 55
sale of hay and straw 183
sale of his old house 48
sale of his own books 72
sale of his own goods 202
sale of his own stock 55
sale of his own works 77
sale of its own bonds 248
sale of its own goods 61
sale of its own opium 48
sale of its own stock 301
sale of meat and dairy 48
sale of meat and hides 111
sale of men and women 155
sale of oil and scrap 95
sale of sex for money 88
sale of this old house 90
sale or one year after 82
sale so that they could 52
sale so that they would 43
sale to pay his debts 71
salt of her own blood 61
salt of his own blood 63
same as any and every 45
same as for all others 70
same as for any acute 64
same as for any child 113
same as for any major 129
same as men and women 64
same as men for equal 46
same as one that would 48
same as our own people 72
same as set out above 52
same as she did every 71
same as she was every 47
same as that for acute 228
same as that for adult 130
same as that for blood 81
same as that for creating 128
same as that for drawing 44
same as that for every 116
same as that for finding 256
same as that for first 63
same as that for group 50
same as that for human 64
same as that for killing 67
same as that for large 46
same as that for light 63
same as that for linear 68
same as that for major 42
same as that for males 76
same as that for people 65
same as that for plane 50
same as that for shock 52
same as that for small 146
same as that for solid 57
same as that for state 94
same as that for steady 67
same as that for steel 121
same as that for table 202
same as that for teaching 47
same as that for testing 123
same as that for theorem 105
same as that for total 245
same as that for water 451
same as that for which 1563
same as that for white 128
same as that for women 97
same as that for writing 58
same as that now known 76
same as that with which 2450
same as they are about 48
same as they are found 62
same as they are today 3142
same as they are under 97
same as they did under 86
same as they had known 105
same as they may judge 72
same at each age level 51
same at that age twice 89
same by day and night 59
same if they had never 66
same if you had known 44
same in air and water 49
same in all and every 97
same in all her music 45
same in all her parts 49
same in all his works 40
same in all its forms 117
same in all its parts 653
same in any two cases 700
same in any two human 52
same in any two lists 73
same in any two minds 70
same in any two parts 61
same in any two people 74
same in each age group 67
same in each and every 253
same in her own right 274
same in his own house 40
same in his own right 129
same in his own words 40
same in man and darby 47
same in man and woman 76
same in men and women 1009
same in our own lives 63
same so that they could 68
same thing and are often 83
same thing are not equal 136
same thing can not exist 112
same thing did not occur 78
same thing does not appear 51
same thing does not apply 180
same thing does not exist 79
same thing does not occur 156
same thing each and every 46
same thing for all people 56
same thing may not occur 44
same thing she was thinking 53
same thing that they would 54
same thing that was loved 116
same thing that you would 130
same thing they are equal 68
same thing with all kinds 44
same thing with her mother 83
same thing with his father 63
same thing with his mother 83
same thing with his right 43
same thing with our lives 47
same thing with that which 204
same to any two people 167
same to each and every 78
same to him and others 115
same to them that would 45
same to use and enjoy 55
same to you and yours 104
same to you with knobs 54
sand so that they could 62
sand so that they would 46
sand the men she could 90
sank to her seat again 65
sate on that low bench 51
sate so easy and light 42
save at his own bidding 45
save by his own fault 196
save in his own house 106
save it for use later 53
save on his own terms 252
save the man she loved 869
save the man she loves 253
save the man who wrote 126
save the men and women 237
save the one for which 226
save the one that rises 40
save the tip that holds 48
saving by that they cause 109
saving it and then reopen 50
saving it for his after 67
saving of all our lives 42
saving of men and women 40
saving of our own lives 42
saving of our own souls 188
saving the man she loved 87
saving the man she loves 47
saving to all and every 49
saving up for him after 58
saying he and his people 42
saying he can not stand 41
