so kept himself alive with 54
so making default shall for 46
so many blessings which you 181
so many country towns and 49
so many crooked turns and 44
so many curtain calls that 109
so many details about eating 42
so many details about her 42
so many details about his 68
so many diverse forms that 45
so many diverse races and 64
so many elderly people are 205
so many factors which are 161
so many factors which can 117
so many factors which may 106
so many familiar faces and 58
so many features which are 51
so many fetters which had 41
so many fictions given out 40
so many foreign words and 63
so many friends about them 106
so many hundred miles for 67
so many married women are 53
so many meaningful people and 40
so many natives naked and 78
so many obscure terms for 58
so many offices about him 47
so many perfect bones and 48
so many persons could not 49
so many persons would not 43
so many pleasant hours had 41
so many pleasant hours with 82
so many precious lives and 60
so many reliefs after one 43
so many similar cases that 84
so many stories about her 167
so many stories about him 234
so many stories about his 136
so many stories about how 123
so many stories about that 123
so many stories about them 109
so many stories about this 130
so many stories about you 97
so many sunbeams playing with 57
so many surviving wives who 41
so many thousand heroes has 48
so many thousand lives are 46
so many thousand miles for 47
so many thousand miles off 89
so many thousand sighs did 161
so many thousand souls and 49
so many thousand stars this 41
so many thousand times that 87
so many thousand votes are 48
so many visible signs that 44
so many wrecked ships and 68
so many writers since his 49
so much alarmed about her 99
so much altered since our 56
so much altered since that 43
so much altered since you 48
so much ancient blood and 85
so much anxiety about her 80
so much anxiety about his 66
so much anxiety about our 40
so much because people are 76
so much because wages are 90
so much british blood and 43
so much concern about this 43
so much gallant blood has 118
so much national pride and 49
so much natural beauty and 162
so much natural grace and 40
so much popular favor that 53
so much precious blood and 68
so much reduced below that 67
so much success could not 41
so much towards teaching and 54
so much trouble about any 72
so much trouble about her 122
so much trouble about him 138
so much trouble about his 74
so much trouble about one 97
so much trouble about that 114
so much trouble about them 185
so much trouble about this 233
so much trouble after all 57
so much trouble breathing that 140
so much trouble getting her 54
so much trouble getting his 48
so much trouble getting out 40
so much trouble given him 86
so much trouble keeping his 40
so much trouble right now 58
so much trouble taken that 160
so much trouble would not 43
so much worried about her 53
so much worried about his 53
so much written about and 125
so much written about him 85
so much written about that 219
so much written about them 100
so much written about this 55
so talk between women and 43
so their parents would not 161
so very dreadful after all 149
so very worried about you 56
so well enables grave and 103
so well secured would not 51
so were several others who 84
so years following world war 56
