sea at an alarming rate 48
sea at the golden gate 52
sea at the moment when 155
sea by an english ship 94
sea by the latter part 63
sea in an english ship 63
sea in the arctic ocean 189
sea in the eastern part 78
sea in the latter part 69
sea in the little boat 59
sea in the middle ages 102
sea in the persian gulf 134
sea in the remote past 85
sea in the second half 58
sea in the torrid zone 89
sea is the actual port 82
sea of the arctic ocean 56
sea of the lagoon having 46
sea of the persian gulf 48
sea on the athenian side 41
sea on the eastern side 493
sea on the further side 103
sea on the outgoing tide 56
sea on the return trip 54
sea on the voyage from 72
sea on the voyage home 83
sea to the persian gulf 208
sea to the remote rock 43
sea up the persian gulf 100
sea via the persian gulf 61
sing at the albert hall 62
sing it my chains fall 42
sing to the clover deep 188
so as he became like 47
so as it became clear 51
so as it should seem 69
so as the formal part 60
so as the learned only 130
so as the matter duly 41
so as the soviet union 52
so as the vulgar sort 141
so as to absorb more 207
so as to absorb some 179
so as to absorb their 52
so as to absorb these 101
so as to accept only 103
so as to accept their 97
so as to accord more 206
so as to adjust their 305
so as to affect even 117
so as to affect many 100
so as to affect only 372
so as to affect other 305
so as to affect such 73
so as to affect their 919
so as to affect third 145
so as to affect those 215
so as to affect what 57
so as to affect your 45
so as to affirm nothing 43
so as to affirm their 74
so as to affirm what 61
so as to afford fair 43
so as to afford free 513
so as to afford full 552
so as to afford good 313
so as to afford great 88
so as to afford means 113
so as to afford more 722
so as to afford ready 156
so as to afford room 782
so as to afford safe 147
so as to afford some 1856
so as to afford such 179
so as to afford their 66
so as to afford those 47
so as to afford time 298
so as to afford very 115
so as to alight upon 51
so as to almost fill 54
so as to almost form 85
so as to always have 689
so as to always keep 195
so as to answer some 130
so as to answer such 141
so as to answer their 471
so as to answer these 259
so as to answer your 96
so as to appease their 103
so as to arouse pity 65
so as to arouse their 374
so as to arrange their 61
so as to arrest their 234
so as to arrive back 59
so as to arrive during 46
so as to arrive early 310
so as to arrive from 66
so as to arrive here 196
so as to arrive home 50
so as to arrive just 83
so as to arrive more 134
so as to arrive over 165
so as to arrive there 1809
so as to arrive upon 59
so as to arrive when 61
so as to assert their 322
so as to assess their 779
so as to assess what 48
so as to assist their 226
so as to assist those 153
so as to assist your 54
so as to assume more 110
so as to assume their 163
so as to assure full 220
so as to assure good 201
so as to assure more 91
so as to assure peace 71
so as to assure some 67
so as to assure their 1271
so as to attach these 41
so as to attack from 298
so as to attack their 51
so as to attack these 80
so as to attain full 60
so as to attain high 66
so as to attain more 196
so as to attain self 186
so as to attain some 212
so as to attain such 143
so as to attain their 758
so as to attain these 299
so as to attain those 48
so as to attain what 47
so as to awaken their 129
so as to banish care 59
so as to become able 171
so as to become even 284
so as to become free 293
so as to become full 69
so as to become good 279
so as to become hard 52
so as to become less 842
so as to become like 706
so as to become mere 76
so as to become more 5980
so as to become most 90
so as to become much 167
so as to become nothing 47
so as to become once 79
so as to become part 2220
so as to become past 124
so as to become rich 165
so as to become self 559
so as to become such 79
so as to become their 177
so as to become true 61
so as to become used 75
so as to become very 790
so as to become well 391
so as to become what 419
so as to become wise 49
so as to behave like 105
so as to bestow upon 97
so as to betray their 217
so as to better cope 174
so as to better help 49
so as to better meet 859
so as to better show 136
so as to better suit 153
so as to better take 114
so as to better their 317
so as to border upon 62
so as to borrow from 45
so as to bridge over 452
so as to bruise some 44
so as to choose among 42
so as to choose their 43
so as to choose those 82
so as to clearly show 133
so as to compel their 162
so as to conceal from 932
so as to conceal most 160
so as to conceal their 2154
so as to conceal what 233
so as to conceal your 74
so as to confer upon 1803
so as to convey away 43
so as to convey ideas 61
so as to convey into 53
so as to convey meaning 463
so as to convey more 204
so as to convey other 74
so as to convey some 209
so as to convey their 479
so as to convey truth 57
so as to convey what 82
so as to decide upon 321
so as to decide what 870
so as to decide when 45
so as to deduce from 339
so as to deepen their 190
so as to defend their 576
so as to define adam 61
so as to define more 325
so as to define their 186
so as to define what 195
so as to demand more 113
so as to demand nothing 52
so as to denote only 43
so as to depart from 206
so as to depend upon 478
so as to derive from 1400
so as to derive full 46
so as to derive meaning 97
so as to derive more 144
so as to derive some 287
so as to derive their 48
so as to desire their 165
so as to desist from 95
so as to detach from 77
so as to detach some 60
so as to detect early 109
so as to detect their 46
so as to detect those 120
so as to deviate from 252
so as to devise means 49
so as to devote more 393
so as to devote their 155
so as to differ from 479
so as to dilute their 83
so as to direct more 51
so as to direct their 739
so as to divert more 125
so as to divert part 54
so as to divert some 57
so as to divert their 452
so as to divide into 167
so as to divide some 53
so as to divide their 108
so as to divide these 54
so as to divide your 57
so as to double their 183
so as to efface from 50
so as to effect more 153
so as to effect some 88
so as to effect such 77
so as to effect their 580
so as to effect what 145
so as to elicit from 567
so as to elicit more 157
so as to elicit some 97
so as to elicit their 384
so as to embody some 86
so as to emerge from 519
