sad face 67 sang over 107
sap hard 46 saw there 55
saw more 232 saw from 86
say been 40 say means 52
say meant 64 say want 51
say were 62 say want 71
see other 111 see have 40
see other 167 see more 111
see their 179 see more 49
see were 53 see means 66
see there 49 see less 115
see more 554 see what 57
set kill 113 set more 53
set nail 85 sex rage 88
she have 44 she want 64
she arms 366 she back 43
she arms 48 she time 76
she high 45 she room 67
she sees 63 she more 47
she room 42 she good 120
she mind 132 she birth 54
she once 93 she over 313
she heard 73 she heart 44
she mind 57 she other 110
she over 51 she knew 42
she meant 103 she were 43
she more 65 she died 98
she york 72 she aunt 49
she great 45 she late 88
she eyes 41 she more 41
she been 92 she were 66
she mouth 92 she other 41
she else 85 she knew 80
she more 135 she youth 61
she well 54 she less 113
she fell 43 she arms 336
she hand 1206 she neck 40
she hand 79 she self 90
she coat 57 she come 54
she well 64 she ends 48
she been 105 she more 322
she some 50 she coming 56
she fell 52 she tears 56
she said 138 she went 47
she neck 60 she mouth 41
she over 40 she hair 116
she mouth 237 she neck 185
she over 1458 she were 155
sings ills 84 six been 45
six free 47 son time 40
