sea almost out of sight 44
sea battle off the coast 152
sea bottom near the shore 47
sea bottom off the coast 105
sea otters off the coast 89
sing better than he could 46
sing masses for the souls 166
so abrupt and so total 45
so abrupt that it could 57
so absurd that he could 103
so absurd that he would 43
so absurd that it could 284
so absurd that it might 47
so absurd that it seems 86
so absurd that it would 302
so absurd that we could 46
so active that he could 131
so active that it would 43
so adroit that he could 62
so afraid and so alone 46
so afraid that he could 187
so afraid that he might 325
so afraid that he would 888
so afraid that it might 112
so afraid that it would 199
so afraid that we might 56
so afraid that we would 142
so allows you to create 44
so alluring that it might 61
so amazed that he could 253
so anxious for the spread 44
so anxious not to appear 70
so anxious that he could 196
so anxious that he would 114
so anxious that the world 43
so anxious was he about 178
so ardent that he could 43
so arranging that he would 83
so barren and so dearly 45
so barren that it could 156
so barren that it would 49
so before going to sleep 82
so before you do anything 68
so better than by sending 47
so bitter and so sweet 68
so bitter that he could 158
so bitter that he would 72
so bitter that it could 151
so bitter that it makes 67
so bitter that it would 149
so bitter that the whole 155
so bitter that we could 45
so bitter was the feeling 568
so bogged that he could 47
so boldly that he would 42
so bright and no place 61
so bright and so close 42
so bright and the heather 59
so bright and the night 56
so bright and the world 58
so bright for the glory 45
so bright that at first 95
so bright that he could 671
so bright that he might 45
so bright that it could 417
so bright that it hurts 117
so bright that it looks 69
so bright that it makes 64
so bright that it might 56
so bright that it seems 98
so bright that it shone 124
so bright that it would 219
so bright that the glare 45
so bright that the light 272
so bright that the people 67
so bright that the roses 44
so bright that the stars 90
so bright that the whole 219
so bright that we could 314
so bright was the light 114
so broken that he could 149
so broken that he never 41
so broken that it could 82
so broken that it would 65
so broken that we could 62
so broken that we durst 57
so brutal that it would 50
so called for the color 59
so called for the first 440
so called for the reason 250
so called for the shape 42
so caused him to burst 117
so changed for the worse 143
so changed that at first 49
so changed that he could 249
so changed that he would 109
so changed that it could 150
so changed that it seems 65
so changed that it would 408
so changed that we could 42
so changed that we would 50
so charming that he could 82
so charming that he stood 49
so charming that it would 76
so cheaply and so easily 44
so cheaply that he could 42
so cheaply that it could 75
so cheaply that it would 151
so chilly out of doors 68
so choice that the shape 51
so choked that he could 148
so choked with the feeling 69
so choose and so serve 56
so chosen that it gives 44
so chosen that it would 77
so chosen that the angles 56
so chosen that the change 41
so chosen that the curve 52
so chosen that the final 54
so chosen that the first 162
so chosen that the force 40
so chosen that the light 42
so chosen that the lines 63
so chosen that the point 49
so chosen that the power 102
so chosen that the total 320
so chosen that the value 93
so chosen that the whole 190
