sadness and anger about the 135
sailors that were sworn to 61
sailors who were about to 50
sailors who were willing to 116
sailors who were working on 53
sallied out next morning to 86
saluted with great pride as 46
salutes and other marks of 41
samples are also given in 67
samples are also shown in 146
samples are very close to 108
samples had been taken at 59
samples had been taken in 79
samples had been taken to 41
samples has been found to 152
samples has been given by 43
samples has been shown to 178
samples per hour could be 51
samples that fall within the 55
samples that were found to 69
samples that were taken at 46
samples that were taken in 64
sanction for these rules of 74
sanction had been given by 142
sanction had been given to 310
sanction has been given by 228
sanction has been given to 899
sarcasm and other forms of 60
satires that fate loves to 60
satisfy all their wants at 111
savages and wild beasts of 44
savages use only nouns or 254
savages who live nearer the 68
savages who were about to 56
scandal had been given to 134
scandal that took place in 80
scenario that took place in 47
scenery and great works of 57
scenery are vast ranges of 67
schemes and means which he 68
schemes and other forms of 279
schemes and other types of 55
schemes are also based on 51
schemes are also known as 49
schemes for bringing about the 43
schemes for making money as 43
schemes for making money by 42
schemes had been drawn up 169
schemes had been tried in 42
schemes that were seething in 183
scholar with deep lines in 67
schooling and other forms of 433
schooling and other types of 163
schooling has been found to 107
schooling has been shown to 110
schools and other forms of 688
schools and other kinds of 160
schools and other parts of 120
schools and other sites of 61
schools and other types of 408
schools and their place in 88
schools and were willing to 55
schools and young people in 46
schools and youth clubs in 72
schools are also found in 66
schools are also known as 46
schools are also under the 41
schools are more willing to 54
schools are taking steps to 48
schools are those where the 81
schools are well aware of 109
schools are well known to 47
schools for three months in 46
schools for young people in 46
schools for young people of 70
schools for young women in 112
schools had been added to 104
schools had been asked to 51
schools had been based on 41
schools had been built by 115
schools had been built in 282
schools had been built to 49
schools had been given the 55
schools had been under the 87
schools had come under the 51
schools has been based on 96
schools has been built up 134
schools has been found to 178
schools has been shown by 44
schools has been shown to 93
schools may have fixed in 85
schools that come under the 78
schools that fall within the 41
schools that have begun to 50
schools that have sprung up 201
schools that have tried it 41
schools that have tried to 94
schools that there would be 64
schools that took place in 61
schools that were built in 61
schools that were springing up 352
schools that were under the 57
schools that were willing to 101
schools who were asked to 46
schools who were willing to 68
schools with high rates of 269
schools you will apply to 70
sciatica and other forms of 83
science and have begun to 52
science and other forms of 741
science and other kinds of 135
science and other modes of 94
science and other parts of 43
science and other types of 87
science are giving place to 47
science are well known to 46
science can only repeat it 204
science can shed light on 75
science can throw light on 83
science doth make known the 59
science had been known to 51
science had just begun to 56
science has also given us 48
science has been added to 83
science has been based on 204
science has been built on 71
science has been built up 765
science has been found to 108
science has been given by 71
science has been given to 73
science has been known to 49
science has been shown to 164
science has been taken to 44
science has been taken up 49
science has ever given to 52
science has just begun to 111
science has made known to 84
science has made since the 73
science has only begun to 211
science than those which we 45
science than what treats of 66
science that lays claim to 85
science that took place in 99
science thou dost boast so 40
science who were willing to 107
science with other forms of 46
scooted out from under the 267
scraped out from under the 48
scratch and blue spurt of 1355
screening for early signs of 113
screening has been found to 94
screening has been shown to 427
scripts for such films as 97
scurrying out from under the 41
searched for some place to 46
searched for some sense of 56
searched for some trace of 194
searched for some words of 41
searched was there cause of 95
searches and other forms of 43
seasonal and other forms of 49
seasonal and other types of 58
seconds and three fifths by 85
seconds has been found to 59
seconds has been shown to 55
secrets and other forms of 79
secrets and other types of 42
secrets that must never be 47
secrets that will never be 50
sections and other parts of 72
sections are also found in 87
sections are also given in 61
sections are also shown in 79
sections are much easier to 48
sections are very close to 50
sections for bond shall be 43
sections had been added to 56
sections has been based on 71
sections has been found to 49
sections has been shown to 49
sectors but also within the 45
sectors with high rates of 110
secured are left under the 77
secured him from every thing 120
secured his lost prize to 53
secures that great right to 46
seedlings and young trees in 59
seedlings and young trees of 67
seedlings and young trees to 51
seedlings has been found to 41
seedlings has been shown to 46
seedlings that were grown in 46
seekers who face harsh or 89
segment has been added to 46
