sad dogs make sour faces 94
sad heart must ever mourn 75
sang from morn till night 589
sat down upon some steps 51
sat from morn till night 76
sat over their wine after 59
saw coming down from heaven 96
saw from afar their father 40
saw seen take took taken 45
saw their flag flying above 60
saw there were five people 100
saw there were other words 62
saw there were some loose 53
saw three boys spring aloft 77
saw your face last night 95
saw your show last night 109
say cats have nine lives 45
say much more here about 56
say there have been times 81
say there were more people 62
say these very same words 47
say those very same words 41
say very much here about 86
say very much more about 199
say what will take place 53
say when your turn comes 91
seal must have open water 47
see also body mass index 74
see also congo free state 69
see also south korea korean 97
see into their very souls 91
see just what took place 45
see life from their point 110
see nothing there worth thinking 43
see over there will drive 52
see rising amid these trees 69
see some very nice people 49
see there were some noble 40
see these three great works 76
see very well from where 64
see what else there might 109
see what harm there could 77
see what harm there would 105
see what lady best stood 43
see what paths their naked 41
see what paul says about 48
see what their fate would 46
see what these young people 40
see what will come after 44
see what will take place 311
see what worth there might 50
see what your face looks 40
see what your life would 47
see what your page looks 59
see your face ever again 67
see your face here again 176
see your ugly face again 263
set down many years after 41
set down many years later 83
set down nothing here which 52
set down only such hints 44
set forth from rock ferry 50
set forth only those facts 152
set forth some ideas about 59
set forth such other facts 185
set forth their ideas about 47
set forth upon their first 97
set free from their bonds 83
set free from their salts 87
set home upon their hearts 47
set sail from port royal 63
set such fine upon every 49
set upon their feet again 84
set upon their legs again 215
she also having been twice 91
she also knew there would 46
she bare these unto jacob 45
she been nine years growing 158
she came back down again 65
she came back from italy 74
she came back from lunch 207
she came back from paris 118
she came back from washing 66
she came back home after 71
she came back last night 93
she came down from above 65
she came down from heaven 79
she came down from under 86
she came down next morning 71
she came from good stock 56
she came home from class 44
she came home from teaching 96
she came home last night 466
she came into kent again 159
she came into some money 87
she came into their lives 48
she came into view again 54
she came into view walking 59
she died five days after 40
she died five days later 157
she died five years after 59
she died five years later 302
she died four days after 90
she died four days later 142
she died four years after 80
she died four years later 326
she died many years later 137
she died nine years later 77
she died some time after 68
she died some years after 63
she died some years later 306
she died three days after 124
she died three days later 357
she died three years after 104
she died three years later 1071
she died very soon after 120
she died worth four times 77
she ever feel safe again 129
she fell back into sleep 66
she fell down some steps 51
she fell into their hands 196
she felt even more alone 68
she felt like crying again 88
she felt must have shown 91
she felt sure there would 57
she felt very good about 134
she felt very much alone 1008
she have been wrong about 150
she having made full proof 45
she heard from other people 44
she heard these last words 77
she heard those last words 61
she kept very good hours 48
she knew even less about 272
she knew full well would 105
she knew just what would 73
she knew much more about 352
she knew nothing else about 375
she knew nothing more about 132
she knew nothing more until 75
she knew there were others 81
she knew there were people 147
she knew there were still 125
she knew there were strong 75
she knew there were times 94
she knew very much about 51
