sage empties their minds but 52
said everything over again with 44
said malcolm told susan that 64
said plainly some words that 48
said several years later that 92
said studies have shown that 43
sale usually fell below his 75
same article also noted that 140
same complex ideas which they 108
same example also shows that 133
same fervent glow which they 80
same general rule holds for 60
same location from which they 109
same passions give action and 54
same pattern also holds for 82
same persons having pains and 63
same position from which they 189
same position from which you 45
same problem upon which all 42
same problem will arise for 52
same problem will arise with 63
same process took place with 151
same quarter from which they 40
same question many times and 66
same question three times and 52
same relation also holds for 62
same remarks will apply with 74
same research also found that 121
same research also shows that 144
same results were found for 288
same results were found with 165
same revenue more money can 80
same sources from which they 50
same species from growing shy 45
same studies also found that 40
same studies have found that 89
same studies have shown that 443
same subject must serve our 51
same warlike form which had 50
same windows from which they 93
same workers also found that 112
same workers have shown that 180
save germany from civil war 65
save herself from falling she 52
save himself from falling and 58
save himself from falling off 127
save himself much labor and 49
scan studies have shown that 47
seek support from others who 69
seem darkest when really they 52
sees depends upon where one 53
sent colonel ethan allen and 73
sent overseas during world war 96
ship between heavy goods and 48
shop windows were small and 43
show natural good taste and 109
side effects from drugs and 88
side effects like nausea and 182
side effects were nausea and 43
side effects were noted and 104
side effects were noted with 153
side effects were worse than 65
side effects when taken with 199
side streets were lined with 122
silk stockings hanging about his 140
single cottage just shows its 54
single intruding pain which can 51
single neurons during sleep and 52
single persons living alone and 51
sins against good taste and 80
size between these herbs and 41
skin between their front and 79
skin between their outer toes 185
skin scrapings from anything that 44
slot machine into which one 42
soft tissues have healed and 41
soil samples were taken and 128
soil samples were taken for 217
soil samples were taken with 73
sole grounds upon which they 73
some antique gems which are 52
some aspects like waves and 44
some benefit from forcing him 131
some buildings these parts are 63
some comfort from finding that 45
some comfort from knowing that 515
some comfort from learning that 120
some comical songs which our 51
some complex case which had 52
some control over price and 174
some control over wages and 59
some control over where they 108
some creature more noble than 55
some critics have found his 42
some critics have found them 40
some critics have noted that 350
some critics have taken this 40
some cuticle from knees and 43
some european ship which had 63
some fifteen years after her 96
some fifteen years after his 370
some fifteen years after its 165
some fifteen years after that 193
some fifteen years after they 46
some fifteen years after this 85
some fifteen years later and 132
some fifteen years later for 47
some fifteen years later than 142
some fifteen years later that 298
some fifteen years later was 76
some fifteen years later with 68
some fifteen years older than 670
some foreign body which has 112
some foreign body which hit 44
some friends were waiting for 80
some general ideas about how 237
some hundred years after his 239
some hundred years later than 97
some islands were lower than 42
some language from which both 51
some letters from people who 58
some measures were taken for 86
some message from thence was 65
some moments here thrust him 67
some pinches have taken them 49
some position from which she 50
some producing high notes and 43
some quality time alone with 126
some reports have shown that 212
some seventy years after his 130
some seventy years after its 121
some seventy years later than 74
some seventy years later that 47
some sixteen years after his 67
some sixteen years after its 60
some sixteen years older than 77
some studies have found that 6361
some studies have found this 49
some studies have noted that 129
some studies have shown that 13117
some studies have shown this 71
some support from people who 43
some surveys have found that 144
some surveys have shown that 192
some tangible body which hath 44
some teachers have found that 218
some thirteen years after his 108
some thirteen years older than 93
some thousand more lamps and 44
some unknown good which they 66
some workers have found that 500
some workers have noted that 88
some workers have shown that 194
some workmen were digging for 41
some writers have noted that 155
some writers have taken this 43
some writers have urged that 226
sons against their father and 91
soon divides into right and 64
soon excited wild alarm and 58
soon realized their error and 53
soon resumed their civil and 76
soul peevish ever since with 65
spring forward when anything was 126
stay between four walls and 44
stay quietly here while you 43
stay together even though they 57
step towards bringing about this 42
step towards your mother with 44
stinging needles have given way 40
stop herself from begging him 44
stop herself from calling out 57
stop herself from kissing him 40
stop herself from reaching for 59
stop herself from reaching out 242
stop herself from telling him 74
stop herself from thinking that 143
stop herself from wanting him 41
stop himself from calling out 53
stop himself from kissing her 136
stop himself from panting with 79
stop himself from pulling her 97
stop himself from putting his 42
stop himself from reaching for 170
stop himself from reaching out 274
stop himself from telling her 62
stop himself from thinking that 85
stop himself from wanting her 65
such effects were found for 86
such enemies only after they 58
such insults from words they 43
such payment into court being 60
such persons even though they 40
such romance clung about them 55
such studies have found that 206
such studies have shown that 998
such variance from usage was 94
sums exceeding those which had 197
