sad and earnest horror at 82
sad and lonely enough to 80
sad and sudden demise of 210
sang and danced around the 412
sang and danced before the 289
sang and danced before us 40
sang and danced through the 134
sang and played guitar in 80
sang and played guitar on 87
sang its homely strain to 67
sang with something beyond the 46
sang with united voices the 114
sat and hugged myself in 57
sat and looked across the 103
sat and looked around at 72
sat and looked around the 153
sat and looked through the 100
sat and smoked around the 41
sat and stared across the 100
sat and stared through the 108
sat and talked around the 56
sat and talked through the 62
sat any greater number of 75
saw and hammer busily at 42
saw but little chance of 238
saw fit without regard to 55
saw has passed through the 70
saw her already standing in 47
saw her brother standing in 44
saw her clearly through the 42
saw her glance toward the 80
saw her kneeling before the 45
saw her master standing by 101
saw her redden through the 66
saw her safely lodged in 87
saw her sister standing in 73
saw her standing across the 52
saw her standing before me 67
saw her standing before the 158
saw her standing behind the 90
saw her standing beside the 185
saw her vanish through the 50
saw her victim through the 59
saw him busily engaged in 87
saw him glance toward the 151
saw him hurrying through the 45
saw him safely across the 47
saw him safely through the 51
saw him standing across the 89
saw him standing before me 120
saw him standing before the 209
saw him standing behind the 161
saw him standing beside the 214
saw him stride across the 63
saw him stride through the 50
saw him striding across the 105
saw him striding through the 51
saw him trudging through the 53
saw him vanish through the 47
saw his answer standing at 43
saw his brother standing in 54
saw his figure darken the 59
saw his master through the 52
saw men behave better on 103
saw one another before in 128
saw one female pursuing the 57
saw one person standing up 44
saw that something needed to 68
saw them safely across the 60
saw them safely landed in 45
saw them safely locked up 42
saw them safely through the 72
saw them standing before the 43
saw them vanish behind the 57
saw this volume through the 46
saw two ravens fighting on 72
saw you standing before me 71
say its decree should be 57
say that actual injury is 245
say that another exists in 70
say that another person is 83
say that carbon dioxide is 42
say that england trades in 41
say that english should be 86
say that english sounds to 99
say that fiscal policy is 99
say that higher levels of 48
say that judges should be 52
say that nature teaches me 41
say that negroes should be 96
say that newton proved it 57
say that nobody should be 100
say that public opinion in 298
say that public opinion is 776
say that public policy is 53
say that pupils should be 42
say that sexual desire is 54
say that someone should be 42
say that someone wanted to 109
