safe companion and an easy 136
safe condition for the use 202
said abruptly that he had 48
said bitterly that he had 85
said bitterly that he was 57
said bitterly that it was 105
said candidly that he had 56
said casually that he had 86
said casually that he was 51
said contract for the use 47
said damascus was an old 55
said fifteenth day of may 69
said gloomily that he did 42
said honestly that he did 70
said invention and in and 56
said inwardly that he was 140
said laughingly that he had 46
said likewise that he had 61
said modestly that he had 67
said modestly that he was 51
said modestly that it was 61
said mortgage are by this 102
said outright that he did 41
said outright that he had 51
said outright that he was 86
said outright that it was 67
said politely that he had 51
said politely that he was 83
said politely that it was 94
said premises for the sum 67
said premises for the use 45
said premises for the year 98
said princess and of his 53
said property for the sum 124
said publicly that he did 163
said publicly that he had 318
said publicly that he was 364
said publicly that it was 210
said recently that he did 41
said recently that he had 147
said recently that he was 101
said recently that it was 90
said reminded her of her 40
said reminded him of his 80
said reminded him of one 100
said somebody got to get 74
said straight out to him 44
said tearfully that it was 67
said terrible things to each 76
said terrible things to her 195
said terrible things to him 116
said terrible things to you 55
said testator and at his 84
said testator and of each 120
said testator had in his 46
said trustees for the use 133
said twentieth day of may 94
said whatever was on her 84
said whatever was on his 91
said yourself that he had 46
said yourself that he was 184
said yourself that it was 303
said yourself that no one 143
said yourself that the red 52
said yourself you do not 258
saith likewise that he hath 77
same altitude are to each 238
same altitude are to one 81
same answered for my bed 57
same argument can be put 134
same argument may be put 77
same argument that he had 118
same attitude that he had 100
same attitude that he has 47
same authority that he had 100
same authority with the law 88
same calendar year as that 71
same capacity that he had 45
same category with the man 45
same category with the mean 118
same category with the not 47
same category with the old 45
same category with the two 75
same ceremony that he had 43
same concerns led to his 49
same condition now as they 44
same condition that he was 165
same condition that it had 146
same condition that it was 605
same contempt for me that 56
same contempt for the man 57
same direction all the way 110
same direction and do not 110
same direction and the two 41
same direction but do not 60
same direction for as long 50
same direction for the two 99
same direction that he had 91
same direction that he was 114
same direction that it had 111
same direction that it has 77
same direction that it was 143
same direction that the car 43
same direction that the earth 352
same direction that the sun 252
same direction that we are 74
same direction that we had 80
same direction with the sun 170
same direction with the two 107
same distance all the way 63
same distance that it was 48
same doctrine that he did 94
same doctrine that he had 43
same elements are in both 65
same elements that the new 44
same enthusiasm that he had 175
same facility that he can 52
same facility that he did 55
same fondness for the sex 51
same impunity that he now 47
same industry that he did 67
same interest that he had 50
same ligament that the head 48
same masterly way as his 82
same mistakes that he had 42
same original path as that 43
same problems that he had 58
same problems that we are 78
same problems that we had 62
same proceeding may be had 72
same property that he had 64
same quantity that it was 45
same questions may be put 55
same questions put to him 126
same questions that he had 135
same questions that we ask 71
same security for the due 83
same sensation that he had 60
same sentence may at one 41
same situation but do not 52
same situation that he had 50
same situation that he was 153
same situation that we are 85
same situation that we had 65
same situation winging the air 65
same situation with my own 51
same specific heat at all 42
same strategy that he had 70
same sufferings that we are 46
same symptoms may be due 42
same thickness all the way 301
same treatment that he had 91
same velocity that it had 74
sank westward and the sun 52
save mischief and the meal 123
save yourself that we may 125
saying bitterly that it was 63
saying publicly that he had 40
saying publicly that he was 52
saying whatever was on her 40
saying whatever was on his 62
sect worships god in its 49
seek solutions that do not 54
seem conscious that he was 49
seem obsessed with the idea 125
seem possible for the earth 48
seem possible that he can 94
seem possible that he had 273
seem possible that he may 41
seem possible that he was 336
seem possible that in any 46
seem possible that in this 64
seem possible that it can 138
seem possible that it had 90
seem possible that it has 48
seem possible that it was 343
seem possible that the man 116
seem possible that the two 161
seem possible that we are 95
seem possible that we can 153
seem possible that we had 61
seem probable that he did 70
seem probable that he had 159
seem probable that he was 303
seem probable that in this 107
seem probable that it can 109
seem probable that it had 55
seem probable that it has 58
seem probable that it was 489
seem probable that the new 62
seem probable that the two 207
seem probable that we are 45
seem probable that we can 59
seem probable that we may 45
seem surprising that he did 68
seem surprising that he had 45
seem surprising that he was 62
seem surprising that it has 72
seem surprising that it was 101
seem surprising that no one 53
seem surprising that so few 75
