sac into which the food 44
sat down again at once 484
sat down again he said 251
sat down again in their 168
sat down again on their 53
sat down again to copy 55
sat down again to gaze 40
sat down again to look 91
sat down again to play 174
sat down again to rest 181
sat down again to their 81
sat down again to think 211
sat down again to turn 138
sat down again to wait 360
sat down again to work 388
sat down alone to think 91
sat down beneath the tree 348
sat down round the fire 509
sat down round the iron 44
sat down under an awning 125
sat down under the awning 351
sat down under the bush 46
sat down under the great 125
sat down under the huge 72
sat down under the lamp 61
sat down under the moat 59
sat down under the palm 42
sat down under the pine 89
sat down under the rock 53
sat down under the same 92
sat down under the shed 54
sat down under the tree 2729
sat down under the wall 153
sat down where we used 56
sat down where we were 76
sat down while he went 49
sat down while my aunt 69
sat down while the other 60
sat from march to july 45
sat gazing about the room 46
sat there about an hour 127
sat there holding my breath 42
sat there holding my hand 59
sat there looking at those 52
sat there nearly an hour 220
sat there nursing my knee 84
sat there smoking my pipe 40
sat there staring at nothing 98
sat there thinking it over 41
sat there thinking of nothing 44
sat there thinking of what 83
sat there under the tree 78
sat there until he came 40
sat there until the dawn 59
saw blue lines of heaving 44
saw four times as many 58
saw from thence the land 85
saw great reason to think 74
saw great store of fish 45
saw great store of very 81
saw many signs of land 66
saw more signs of gold 54
saw moving above the tall 105
saw none either of those 92
saw none neater or more 99
saw nothing could be done 178
saw nothing until we came 48
saw nothing worthy of note 117
saw nothing would be done 48
saw other signs of land 59
saw some crack or hole 45
saw some fifty of those 62
saw some miles of open 107
saw some people he knew 57
saw some people on land 136
saw some reason to think 41
saw some signs of life 57
saw some white thing hanging 77
saw such light as made 122
saw their danger in time 72
saw their point of view 179
saw their tents on fire 52
saw there might be some 436
saw there would be snow 108
saw three pairs of eyes 63
saw three pairs of feet 54
saw three times as many 68
saw were about as tall 47
saw were about the size 41
saw what could be done 714
saw what could be made 130
saw what might be done 101
saw what might be made 47
saw what would be their 44
saw when alone is more 53
saw your father the other 50
saw your mother the other 88
saw your niece do more 102
saw your people at work 45
say along about the last 55
say four times as much 40
say from china to peru 50
say from right to left 493
say from which of these 69
say good morning or good 373
say good morning to their 58
say good morning to your 193
say good night or good 53
say good night to miss 61
say good night to their 192
say good night to your 343
say here casts the least 45
say just about the same 129
say just where the line 107
say more about it here 1104
say more about it when 77
say more about the case 112
say more about the kind 50
say more about the meaning 135
say more about the need 99
say more about the other 95
say more about the role 452
say more about the theory 96
say more about the ways 40
say more about the work 47
say much about it here 291
say much about it when 63
say much about the book 49
say much about the case 41
say much about the fact 53
say much about the form 43
say much about the kind 68
say much about the life 57
say much about the other 155
say much about the rest 40
say much about the role 97
say much about the third 84
say much about the work 45
say much while we were 91
say next while the other 59
say nothing about it here 213
say nothing about it just 58
say nothing about it lest 41
say nothing about it there 50
say nothing about it till 434
say nothing about it when 136
say nothing about it worth 57
say nothing about my book 137
say nothing about my having 60
say nothing about the body 45
say nothing about the book 109
say nothing about the case 85
say nothing about the cost 90
say nothing about the fact 839
say nothing about the fate 40
say nothing about the form 92
say nothing about the game 60
say nothing about the girl 80
say nothing about the good 64
say nothing about the great 162
say nothing about the kind 53
say nothing about the last 40
say nothing about the laws 92
say nothing about the length 46
say nothing about the loss 86
say nothing about the many 123
say nothing about the meaning 162
say nothing about the more 247
say nothing about the most 53
say nothing about the need 48
say nothing about the next 54
say nothing about the other 359
say nothing about the part 55
say nothing about the past 222
say nothing about the rate 64
say nothing about the rest 204
say nothing about the risk 49
say nothing about the role 73
say nothing about the size 98
say nothing about the soil 62
say nothing about the time 482
say nothing about the true 62
say nothing about the truth 98
say nothing about the type 56
say nothing about the very 92
say nothing about the word 83
say nothing about the work 58
say nothing about the young 42
say nothing could be done 43
say nothing could be more 161
say nothing thereof to their 83
say some smart thing upon 45
say such words as these 164
say such words as those 47
say there might be some 115
say there would be less 42
say there would be more 195
say there would be much 42
say there would be some 110
say these words to your 43
say three times as much 134
say three times is true 168
say three words in your 73
say upon which of these 66
say what comes to mind 449
say what comes to your 68
say what could be done 304
say what could be said 343
say what might be done 123
say what might be said 195
say what ought to have 188
say what shall be done 1388
say what would be best 56
say what would be done 251
say what would be good 67
say what would be left 48
say will change my mind 356
say will change the fact 41
say will serve to clear 45
say your father is very 68
seas have pined in their 69
seas were combing in upon 40
seas were grown so great 49
seas were running so high 149
seat cost twice as much 99
seat from front to back 297
seat from which the late 55
seat from which to view 226
sec what could be done 127
see alan would he have 46
see also hours of work 89
see also point of view 253
see also table on page 59
see also times of india 45
see also treaty of rome 173
see also under the heading 61
see also under the name 67
see best pleasing to their 48
see case study on page 51
see five times as many 55
see four yards of good 96
see friar bacon as soon 55
see from close at hand 52
see from right to left 102
see from where it came 61
see from where we were 284
see good reason to deny 47
see good reason to think 88
see great works in their 186
see jack holding the luck 116
see just about the same 43
see just cause of hate 249
see many forms of life 69
see many people in their 56
see more about the tree 46
see much change in their 43
see much danger in making 55
see much point in even 47
see much point in hanging 40
see much point in having 53
see much point in living 143
