sack of something fell upon 48
safe in something much more 131
safe or sacred from their 114
safe to assume from what 59
safe to assume there were 57
safe to assume there will 71
said he always knew when 59
said he hardly knew what 99
said he learned more from 87
said he looked just like 560
said he looked like john 45
said he looked more like 373
said he needed more time 265
said he needed some help 80
said he needed some time 171
said he seemed very angry 140
said he should also want 43
said he should come back 202
said he should come down 129
said he should come home 40
said he should have been 1011
said he should have come 59
said he should have died 43
said he should have done 244
said he should have felt 106
said he should have gone 159
said he should have left 48
said he should have made 83
said he should have much 106
said he should have seen 56
said he should have sent 95
said he should have some 162
said he should have told 52
said he should have used 64
said he should like much 53
said he should like very 104
said he should stay half 149
said he should take care 194
said he should take some 40
said he should very much 101
said he should wait till 49
said he thought some other 56
said he thought there must 104
said he thought there were 693
said he wanted more time 191
said he wanted nothing more 372
said he wanted some time 80
said he wanted very much 144
said he wished there were 168
said he wished very much 279
said it looked just like 470
said it looked like rain 117
said it looked like some 58
said it looked like there 70
said it looked more like 598
said it looked very much 62
said it seemed more like 52
said it should have been 1062
said it should have done 65
said it tasted just like 117
said my wisdom came from 174
said or should have said 122
said the beatles were more 54
said the blessing over bread 53
said the devils were taking 60
said the french were coming 47
said the grapes were sour 129
said the kansas city star 61
said the little pink sloth 86
said the lively young lady 70
said the office like other 52
said the police were coming 72
said the police were there 93
said the second young lady 69
said the spirit will take 222
said to answer very well 244
said to become free from 42
said to depend more upon 49
said to depend upon four 41
said to depend upon their 79
said to derive from their 135
said to derive from these 49
said to derive from three 54
said to derive their name 367
said to differ from other 241
said to differ from their 64
said to differ from those 400
said to flower only once 65
said to follow from such 69
said to follow from these 43
said to happen even here 40
said to myself there must 58
said to regard even their 59
said to render their most 76
said to result from such 114
said to result from their 131
said to result from what 74
said to suffer from lack 121
said to suffer from some 102
said to suffer less from 50
said to suffer more from 44
said to suffer much from 59
said we looked more like 86
said we should come back 211
said we should come down 47
said we should find some 50
said we should have been 160
said we should have done 61
said we should have gone 67
said we should have some 101
said we should have told 55
said we should lose nothing 58
said we should make sure 45
said we should stay away 43
said we should take care 41
said we should turn back 45
sail an english ship upon 66
sake of another when there 61
sake of escaping from their 94
sake of escaping some other 40
sake of securing some great 113
sake of something else more 238
sake of thrusting into their 76
sake to forbear firing into 127
sake to retire back into 100
sale at prices ranging from 273
sale in stores were flat 109
sale of assets held more 73
sale of liquor have been 54
sale of native wild game 57
sale of output will only 50
sale of public land were 53
sale of rights have been 115
sale the seller must give 330
same as aisles having seats 61
same as specie when paid 67
same is hardly less true 59
same is pretty much true 52
same no matter from what 173
same no matter what form 62
same no matter what kind 292
same no matter what name 42
same no matter what other 50
same no matter what part 76
same no matter what size 256
same no matter what sort 56
