sac and fuses with the 56
sad and happy all at 80
sad and sorry for the 95
sad and sweet loth to 57
sad poem right out of 72
sang song after song as 40
sang song after song in 66
sang song after song of 41
sang song after song to 55
sat all night long in 80
sat all night with the 61
sat and cried for the 43
sat and drank with the 40
sat and gazed out at 42
sat and gazed out of 111
sat and gazed out the 77
sat and tried not to 81
sat and voted with the 200
sat day after day at 130
sat day after day by 58
sat day after day in 743
sat day after day on 148
sat for hours with my 64
sat for hours with the 193
sat her horse with the 110
sat his horse with an 85
sat his horse with the 215
sat off again for the 43
sat one morning near the 51
sat out world war ii 161
sat row after row of 40
sat she could see the 298
sat that evening with the 71
sat they could hear the 41
sat they could see the 218
sat with bowed head as 74
sat with bowed head in 127
sat with sissy near me 90
sat year after year in 40
saw all about him in 108
saw all about him the 211
saw all about them the 42
saw all could read in 41
saw all round him the 63
saw and lived with the 70
saw and loved her in 82
saw and spoke with as 95
saw and spoke with the 487
saw and still see it 47
saw and still see the 127
saw any human being so 55
saw any reason for the 66
saw any reason for us 74
saw any reason not to 44
saw any reason why he 63
saw any reason why the 159
saw are truer than the 1015
saw bob enter with the 46
saw day after day in 47
saw death staring him in 116
saw death staring them in 52
saw far above him the 49
saw far below him the 85
saw far below them the 55
saw her again for the 170
saw her again that he 83
saw her dancing with the 68
saw her drive off in 58
saw her every day at 88
saw her every day in 72
saw her every day of 41
saw her father and the 156
saw her father for the 187
saw her father lying in 42
saw her father lying on 88
saw her getting off the 44
saw her getting out of 557
saw her looking out at 49
saw her looking out of 130
saw her looking out the 105
saw her mother and the 102
saw her mother for the 116
saw her mother lying in 66
saw her mother lying on 103
saw her playing with the 51
saw her reaching for the 44
saw her seated with the 123
saw her sitting near the 49
saw her sitting with the 71
saw her smile for the 125
saw her staring out the 71
saw her talking with the 42
saw her waiting for me 87
saw her waiting for the 62
saw her walking out of 80
saw her walking with the 47
saw her weeping and the 163
saw him after one of 52
saw him after that he 57
saw him again and he 259
saw him again but the 119
saw him again for the 287
saw him again near the 57
saw him again with the 101
saw him alive for the 46
saw him alive was at 51
saw him alone for an 54
saw him beaten with an 54
saw him catch and eat 58
saw him chase them so 72
saw him climb out of 122
saw him dancing with the 72
saw him drive off in 126
saw him drive off to 61
saw him drive out of 90
saw him enter one of 99
saw him enter that no 45
saw him every day at 177
saw him every day in 196
saw him every day of 223
saw him every two or 48
saw him getting off the 87
saw him getting out of 295
saw him hurry aft in 59
saw him looking out of 183
saw him looking out the 70
saw him often and he 60
saw him often going up 48
saw him playing with the 187
saw him reaching for the 87
saw him running for the 48
saw him running out of 85
saw him running with the 41
saw him sitting near the 106
saw him sitting out on 50
saw him sitting with the 105
saw him smile for the 126
saw him speaking with the 43
saw him staring out the 59
saw him start for the 68
saw him talking with the 178
saw him today and he 80
saw him today for the 79
saw him waiting for me 144
saw him waiting for the 55
saw him walking out of 103
saw him walking with the 54
saw him working with the 53
saw his bride for the 65
saw his child for the 60
saw his father and the 163
saw his father die in 47
saw his father for the 360
saw his father lying on 101
saw his father with the 40
saw his glory and the 426
saw his hopes for the 40
saw his mother and the 1062
saw his mother die of 104
saw his mother for the 255
saw his mother lying on 97
saw his mother with the 44
saw his plans for the 46
saw his smile and the 41
saw his sword lie on 70
saw his train get up 70
saw how small was the 116
saw how strong was the 99
saw its first use in 49
saw not which way to 370
saw one squaw lying on 74
saw row after row of 475
saw she could not be 80
saw she would not be 124
saw she would not do 86
saw that after all he 49
saw that after all the 151
saw that could not be 320
saw that david was in 47
saw that either his or 62
saw that either that or 69
saw that every act of 69
saw that every man in 64
saw that every one in 76
saw that every one of 418
saw that every use of 46
saw that first day in 42
saw that jesus was the 85
saw that moses was so 289
saw that nearly all of 78
saw that nearly all the 266
saw that night was the 86
saw that others did the 49
saw that which set my 40
saw that would not be 40
saw that would not do 299
saw that would saw as 95
saw them driving out in 130
saw them every day at 43
saw them every day in 67
saw them getting out of 138
saw them hanged for it 64
saw them march out of 45
saw them rather than as 83
saw them start all up 332
saw them start for the 44
saw them walking arm in 55
saw they could get no 50
saw they could not be 318
saw they could not do 108
saw they would not be 121
saw they would not go 46
saw this could not be 77
saw this morning for the 46
saw this morning had on 62
saw this morning was the 78
saw this woman with the 67
saw this would not do 187
saw two white men in 46
saw with alarm that he 119
saw with alarm that it 58
saw with alarm that the 1083
saw with every one of 57
saw with grief that he 86
saw with grief that the 99
saw with shock that he 138
saw you dancing with the 116
saw you drive off in 43
saw you getting off the 55
saw you getting out of 187
saw you looking out of 44
saw you playing with the 55
saw you running out of 53
saw you talking with the 112
saw you walking out of 76
say all roads lead to 126
say and could say it 118
say and knowing how to 60
say and knows how to 492
say and prove that it 51
say and repeat that the 46
say and unsay things at 97
say and would not be 85
say and would say it 41
say and write that the 136
say any longer that he 45
say any longer that the 86
say are coeval with the 51
say for short that the 44
say his father was in 121
say how large was the 68
say how often and to 43
say how sorry she is 123
say nor imply that the 62
say not later than the 74
say one rather than the 45
say she could not be 217
say she could not do 223
say she could not go 263
say she knows how to 49
say she might not be 70
say she ought not to 119
say she would not be 1223
say she would not do 162
say she would not go 173
say she would try to 51
say that about all my 47
say that about all of 153
say that about all the 177
say that about any of 119
say that about one in 58
say that about one of 63
say that after all he 163
say that after all it 264
say that after all the 461
say that after all we 143
say that after death the 90
say that after one of 49
say that after this the 42
say that after two or 56
say that anything can be 322
say that anything that is 604
say that brown was the 116
say that china has no 66
say that civil war is 168
say that could not be 412
say that damian and the 63
say that dante was the 105
say that dreams are the 58
say that eight out of 107
say that either one is 123
say that either one of 266
say that either one or 118
say that either they or 59
say that either this is 45
say that either you or 82
say that every act is 45
say that every act of 312
say that every being is 68
say that every bit of 130
say that every boy in 68
say that every day he 84
say that every day is 146
say that every day of 75
say that every day the 41
say that every day we 51
say that every man in 321
say that every man is 1053
say that every man of 192
say that every one in 170
say that every one is 509
say that every one of 3089
say that every poem is 54
say that every set of 75
say that every year the 62
say that faced with the 96
say that forms and the 46
say that getting rid of 92
say that grass was the 41
say that homer and the 147
say that homer was the 73
say that human being is 144
say that israel and the 50
say that israel had no 49
say that japan and the 53
say that japan has no 62
