sac of the chick embryo 1076
sac to the nasal cavity 208
sad as he could desire 64
sang in the local church 97
sap of the sugar maples 48
sat at an upper window 160
sat at the front window 174
sat at the horse guards 40
sat at the piazza coffee 58
sat at the round tables 50
sat at the round wooden 47
sat at the small tables 92
sat at the small wooden 103
sat at the table across 907
sat at the table before 226
sat at the table behind 183
sat at the table beside 483
sat at the table chatting 53
sat at the table devoting 40
sat at the table drinking 1764
sat at the table enjoying 93
sat at the table inside 42
sat at the table munching 49
sat at the table nearest 184
sat at the table radiant 42
sat at the table studying 102
sat at the table watching 498
sat at the table without 336
sat by the canal watching 49
sat by the front window 248
sat by the glowing embers 51
sat by the shore tootling 50
sat by the train window 45
sat in an empty office 48
sat in an outer circle 40
sat in an outer office 76
sat in my outer office 45
sat in my place without 47
sat in on board meetings 91
sat in on staff meetings 107
sat in the alley behind 59
sat in the bench corner 55
sat in the black section 64
sat in the chair across 1904
sat in the chair before 558
sat in the chair behind 700
sat in the chair beside 2206
sat in the chair nearest 585
sat in the chair watching 94
sat in the chair without 66
sat in the choir stalls 221
sat in the dress circle 155
sat in the empty office 57
sat in the exact center 165
sat in the exact middle 46
sat in the folding chairs 75
sat in the front beside 186
sat in the front garden 49
sat in the front office 117
sat in the front parlor 387
sat in the front section 91
sat in the front stalls 44
sat in the front window 177
sat in the grass beside 135
sat in the grass watching 43
sat in the hotel coffee 41
sat in the hotel garden 46
sat in the house before 74
sat in the house laughing 93
sat in the house watching 57
sat in the inner circle 75
sat in the inner office 71
sat in the large school 96
sat in the leather chairs 86
sat in the lounge drinking 178
sat in the lounge watching 43
sat in the night before 271
sat in the oaken stalls 58
sat in the oriel window 42
sat in the outer circle 49
sat in the outer office 699
sat in the press section 95
sat in the rocking chairs 146
sat in the royal palace 120
sat in the shade beside 131
sat in the shade drinking 140
sat in the shade watching 95
sat in the small garden 74
sat in the small office 190
sat in the small parlor 118
sat in the smoking section 227
sat in the state senate 332
sat in the stern beside 51
sat in the stern sheets 572
sat in the stern steering 222
sat in the straw behind 65
sat in the sunny garden 54
sat in the theater watching 45
sat in the train station 55
sat in the white section 179
sat in the white wicker 90
sat on as though turned 62
sat on the bench across 259
sat on the bench before 286
sat on the bench behind 255
sat on the bench beside 1652
sat on the bench inside 100
sat on the bench nearest 54
sat on the bench watching 178
sat on the bench without 65
sat on the broad window 109
sat on the chair across 247
sat on the chair before 59
sat on the chair behind 103
sat on the chair beside 679
sat on the chair nearest 163
sat on the couch across 466
sat on the couch before 74
sat on the couch behind 92
sat on the couch beside 1222
sat on the couch drinking 216
sat on the couch watching 568
sat on the couch without 58
sat on the court martial 144
sat on the divan beside 63
sat on the dusty ground 92
sat on the fence watching 105
sat on the floor across 207
sat on the floor amidst 119
sat on the floor around 859
sat on the floor before 1307
sat on the floor behind 395
sat on the floor beside 4248
sat on the floor drinking 260
sat on the floor inside 106
sat on the floor instead 101
sat on the floor laughing 47
sat on the floor watching 444
sat on the floor without 59
sat on the folding chairs 94
sat on the front bumper 122
sat on the front fender 103
sat on the front stairs 85
sat on the grass amongst 54
sat on the grass around 76
sat on the grass before 115
sat on the grass behind 75
sat on the grass beside 675
sat on the grass watching 164
sat on the green velvet 113
sat on the local school 71
sat on the muddy ground 45
sat on the porch awhile 52
sat on the porch before 55
sat on the porch beside 145
sat on the porch drinking 296
sat on the porch enjoying 92
sat on the porch glider 109
sat on the porch watching 390
sat on the rocks watching 70
sat on the rocky ground 49
sat on the rough wooden 58
sat on the running boards 46
sat on the sandy bottom 40
sat on the shelf behind 49
sat on the shore watching 105
sat on the small wooden 103
sat on the stage behind 130
sat on the stage itself 162
sat on the steps before 133
sat on the steps beside 209
sat on the steps drinking 91
sat on the steps watching 178
sat on the stone beside 51
sat on the stone stairs 42
sat on the stool across 56
sat on the stool before 134
sat on the stool behind 136
sat on the stool beside 539
sat on the table before 263
sat on the table behind 46
sat on the table beside 740
sat on the throne before 65
sat on the throne beside 82
sat on the throne drinking 45
sat on the throne without 80
sat on the white marble 47
sat on the white wicker 41
sat up the night before 267
sat up the night through 71
saw as the train pulled 44
saw at an upper window 73
saw at the first glance 1999
saw at the jewel office 47
saw in my vision looked 58
saw in the above section 54
saw in the caste system 42
saw in the evening papers 153
saw in the faces around 127
saw in the final section 42
saw in the first glance 225
saw in the first moment 44
saw in the first section 2013
saw in the first volume 168
saw in the grass before 76
saw in the irish revolt 96
saw in the morning papers 189
saw in the negro building 77
saw in the nether regions 121
saw in the night visions 8578
saw in the opening section 107
saw in the roman church 60
saw in the roman empire 64
saw in the slave market 95
saw in the store window 80
saw in the thronging street 54
saw in the whole affair 260
saw in the whole course 494
saw in the whole matter 51
saw in the world around 1242
saw it at still greater 53
saw it in every detail 53
saw it in every object 46
saw it in words before 44
saw it the first moment 48
saw it the night before 154
saw me in brown street 42
saw on the faces around 51
saw on the movie screen 72
saw on the rhine taught 42
saw on the table dorothea 70
say at the first glance 95
say at the right moment 431
say he is getting better 47
say if he could return 59
say in my first letter 60
say in the final choice 48
say in the first person 181
say in the right spirit 48
say in the whole matter 47
