said any 57 said and 48
same that 151 same his 120
same for 107 same and 56
same with 48 same its 61
same that 581 same men 73
same him 67 same them 65
same you 109 same men 53
same with 125 same and 45
seen and 77 self that 41
single him 109 single his 42
some him 44 some him 160
some and 104 some him 70
some and 79 some and 45
some them 73 some you 58
some that 92 some that 125
some had 69 some her 104
some that 271 some not 49
some them 100 soon and 102
soul and 40 such all 40
such and 42 such for 46
such its 56 such any 95
such and 81 such for 91
such that 88 such all 63
