sable band from his forehead 46
safer here during our absence 50
saint said unto that certain 444
sales have more than doubled 412
sales have more than tripled 137
sales will fall off rapidly 50
sales will fall off sharply 48
sally into gold and crimson 65
sandy hair from his forehead 52
sauce over fish and garnish 88
sauce will keep for several 202
saved among those that escaped 54
saved much time and expense 74
saved much time and trouble 226
saves much time and expense 100
saves much time and trouble 313
scale ranging from one extreme 50
scene more fair and sparkling 52
sealed cans were being painted 44
seeking among asian and pacific 116
seems clear from this account 76
seems clear from this example 45
seems clear from this passage 167
seems clear from this research 44
seems great room for question 50
seems rapt away and floated 262
seems their fears had dressed 90
seems very hard and extreme 53
seems very pale and ghostly 88
sending forth clear and crystal 55
sending gold from one country 41
sending their name and address 49
sending your name and address 495
sending your sick and baggage 120
sense from what they signify 79
serve other gods and worship 916
serve your gods nor worship 93
setting forth their long service 40
seven feet high and fifteen 52
seven feet tall and covered 44
seven feet tall and weighed 216
seven other years are expired 52
seven years from his college 88
seven years have now elapsed 137
seven years have they carried 63
seven years when her husband 59
shake their heads and chuckle 48
shake their heads and declare 286
shake their heads and express 61
shake their heads and predict 91
shake their heads and whisper 189
shake your hand and welcome 40
shaking their heads and chuckling 41
shaking their heads and grumbling 113
shaking their heads and murmuring 121
shaking their heads and muttering 411
shaking their heads and shrugging 291
shaking their heads and wondering 273
shall also have his private 74
shall also take for granted 113
shall among other things provide 57
shall break down and destroy 89
shall call upon all persons 138
shall call upon our heavenly 57
shall cast forth her burdens 43
shall cease upon its failure 72
shall cite just one example 65
shall cite only one example 266
shall come down and receive 44
shall come soon and perform 45
shall draw cream and fatness 42
shall duly make and execute 60
shall ever know for certain 135
shall ever reach and disturb 75
shall ever think with pleasure 54
shall fall down and worship 1348
shall find even his seemingly 40
shall find health and leisure 42
shall find more real content 212
shall find some way whereby 50
shall flow from his buckets 166
shall flow unto thee forever 119
shall give form and quality 42
shall give just one example 198
shall give only one example 532
shall give their own account 47
shall give unto him occasion 42
shall give your own sanction 44
shall grow less and dwindle 69
shall have been had against 129
shall have done its perfect 40
shall have food and shelter 57
shall have full and perfect 74
shall have full and plenary 43
shall have gone far towards 150
shall have left this country 96
shall have made our journey 87
shall have nothing but pleasure 42
shall have paid his passage 63
shall have these fat fellows 69
shall have these our letters 184
shall have time and leisure 78
shall have time and occasion 54
shall have time for science 50
shall have told you everything 54
shall have what you require 90
shall have your ten thousand 45
shall have your two hundred 57
shall have your two thousand 51
shall here find his friends 49
shall here take for granted 137
shall just give you letters 153
shall keep full and correct 333
shall keep true and correct 80
shall learn much and content 57
shall live well and happily 61
shall look back with pleasure 103
shall look into this question 57
shall love truth and justice 188
shall make good all damages 76
shall make good and faithful 40
shall make some few remarks 103
shall make such long voyages 41
shall make true and faithful 73
shall make upon this subject 84
shall make your cry perfect 68
shall move from its present 45
shall once more see harmony 75
shall only cite one example 47
shall only give one example 179
shall only make two remarks 43
shall pass upon all matters 43
shall rule over his brethren 72
shall seek those who contend 52
shall soon cast with himself 50
shall soon have that pleasure 44
shall soon make our chinese 87
shall speak unto thee receive 154
shall take among them exactly 83
shall take away his dominion 1335
shall take care and provide 58
shall take care that justice 63
