safe and warm inside a 84
said how much better i 43
said she just needed a 42
said she just wanted a 54
said she only wanted a 59
said that five francs a 43
said that there exists a 820
said they were building a 104
said they were planning a 101
said they were starting a 59
said with what seemed a 50
sake you will become a 46
sale was made through a 68
same being runs through a 52
same way there exists a 59
save her from becoming a 164
save her from marrying a 51
save him from becoming a 388
save them from becoming a 46
save you from becoming a 111
saving him from becoming a 55
saying has been thought a 41
saying that there exists a 519
saying with what seemed a 56
says that there exists a 478
seeing that there exists a 48
seeing top stop before a 41
seeing you here before i 46
seem that there exists a 109
seen and heard through a 61
seen each other through a 54
seen him even through a 50
seen that there exists a 987
seen them gaze through a 88
sees that there exists a 40
sees thee wave without a 47
sees with glad relief a 62
send her away without a 65
send him away without a 100
send them away without a 82
send with such notice a 61
send you away without a 60
send you some verses i 131
sent for trial before a 172
sent him away without a 80
sent him back without a 52
sent him home without a 46
sent its rays through a 67
sent out from england a 108
sent them away without a 73
sent them home without a 58
shed had been thought a 74
ship had been carrying a 71
shoes off when entering a 53
shot dead from behind a 47
shot him from behind a 111
shot out from behind a 586
show how much better a 257
show that there exists a 9584
slid out from behind a 210
soil one hour before i 41
some act will awaken a 64
some bad boys pushed a 74
some day have become a 44
some few days before i 116
some few years before i 55
some men were building a 110
some one will invent a 61
some ten years before i 116
some two years before i 119
songs that have become a 47
soon see what chance a 57
soon you will become a 68
soon you will notice a 48
south and west across a 89
south and west through a 41
speak for what seemed a 48
spring and early summer a 274
spring and early summer i 186
spring out from behind a 202
step out from behind a 1316
stew you ever licked a 40
stop and fool around a 45
stop and look around a 46
stop and think before i 786
stop and think whether i 221
stop her from becoming a 145
stop him from becoming a 336
stop him from building a 43
stop him from pursuing a 42
stop them from building a 115
stop you from becoming a 295
stop you from enjoying a 43
such that even without a 45
such that there exists a 4185
suns and fading worlds i 84
sure that only through a 69
sure that there exists a 183
sure they were snakes i 44
sure you have chosen a 96
sure you have created a 125
sure you have thought a 95
sure you know whether a 45
sure you will answer a 43
sure you will become a 60
swung out from behind a 49
