say they 48 see not 44
set are 50 set then 53
set each 62 set his 44
set are 84 set can 44
set each 129 she her 106
she she 65 she head 50
she not 42 she day 40
she she 50 she death 58
she things 64 she say 59
she see 55 she death 111
she her 51 she get 132
she hear 107 she read 55
she see 202 she she 46
she ask 82 she get 486
she hear 94 she let 93
she say 83 she see 357
she use 52 she had 46
she was 100 she was 63
she for 52 she her 103
she him 43 she death 4354
she own 43 she death 100
she had 54 she was 655
she had 47 she was 2378
she had 148 she death 255
she this 44 she head 135
she head 45 she head 54
she and 110 she her 134
she with 48 she with 70
she bear 84 she that 83
she she 54 she had 81
she was 69 she her 73
she she 248 she head 76
she her 148 she head 70
she her 40 she own 121
she and 50 she she 47
she she 83 she how 44
she had 185 she was 413
she had 74 six any 262
six with 84 six and 49
