safe next morning before they 56
said debt shall become due 84
said from close behind her 68
said from right behind her 90
said line shall become and 71
said many times already that 89
said many times before and 206
said many times before that 390
said nothing after offering his 88
said nothing could induce her 83
said nothing would induce her 112
said nothing would induce him 167
said some really stupid things 41
said unto peter before them 519
said when asked whether she 52
said young women should not 45
salt four times greater than 66
same eyes falling before you 42
same fate might befall him 55
same fate might befall them 69
same fate would befall any 44
same fate would befall her 72
same fate would befall him 103
same fate would befall them 98
same from which oliver had 53
same great state without them 92
same lady whose charms and 46
same laws which govern all 99
same lord jesus christ who 70
same sign which serves for 52
same time calling loudly for 90
same time carry mobile and 53
same time doubt whether they 47
same time every effort has 51
same time every effort was 331
same time never doubting that 294
same time never forget that 43
same time often violating all 88
same time raising doubts and 44
save those which memory can 82
says nothing about whether that 79
says nothing about whether they 72
says nothing about whether this 81
seeing their quiet fields thus 78
seek some camping ground for 92
seen blue water before this 52
seen many times before and 148
seen many times before but 64
seen over which winter had 42
seen salt water before this 68
seen these roads before they 597
seen were large enough for 68
seen young girls suffer and 94
sees taking place around him 96
sell more goods abroad and 46
sell more goods abroad than 86
sell their goods abroad and 68
sell their goods cheaper than 89
send forth sweet waters and 86
send more money abroad than 162
send your cover letter and 106
sent into orbit around earth 50
sent their whole income for 43
sets into motion events that 59
sets into motion forces that 43
shed their blood freely for 41
shed their flaming petals and 43
shed their light abroad and 55
show more sound reasons for 109
show some worthy object for 51
shut down again denser than 54
shut their doors behind them 68
shut their mouths before him 89
shut your doors behind you 150
side door which opened out 87
side from which attack was 43
side just large enough for 72
side room which looked out 75
single life which nature has 78
single life would afford you 52
single thread running through all 83
slow grin crept across his 48
slow grin spread across her 92
slow grin spread across his 622
snow peaks stand solemn and 123
soap into small pieces and 46
sold more goods abroad than 44
some arts which employ all 93
some beings exist without any 85
some deer which passed near 57
some dogs dance better than 191
some evil might befall her 50
some evil might befall him 129
some evil might befall them 55
some evil would befall him 137
some fine morning insult you 57
some five months before his 81
some five times faster than 46
some five times greater than 266
some five times higher than 143
some five times larger than 98
some five weeks before his 44
some four months before his 126
some four months earlier than 78
some four times greater than 229
some four times higher than 126
some four times larger than 139
some good people always put 51
some good reason exists for 75
some good while before with 62
some good would befall her 111
some great brain beyond our 41
some harm might befall her 57
some harm might befall him 95
some harm would befall him 54
some have fared better than 41
some ideas about something that 72
some line which should not 135
some lone miser visiting his 47
some means which should add 51
some mild weather before that 50
some more flies toward his 88
some more vital matter than 50
some nine months before his 50
some nine months before you 49
some other cause beyond his 250
some other event should lay 139
some other godly learned man 103
some other paper before you 41
some other people before her 124
some other petty reasons that 243
some other power violating that 303
some other reason should not 55
some other small states are 43
some sixth sense warned her 84
some sixth sense warned him 114
some three hours earlier than 47
some three months before her 51
some three months before his 247
some three times faster than 42
some three times greater than 316
some three times higher than 227
some three times larger than 187
some three times report you 48
some three weeks before her 77
some three weeks before his 114
some three weeks earlier than 74
some time after christ had 84
some time after created earl 45
some time later before she 45
some time later before they 66
some time longer without any 68
some time looking around and 55
some time looking through them 42
some time playing around with 70
some time since anyone had 118
some time since anyone has 50
some time since passed its 50
some time would enable him 86
some very rough ground and 48
some very sharp knives and 41
some very sound reasons for 74
some very strong feelings for 47
some very strong motive for 45
some very strong reasons and 96
some very strong reasons for 150
some very strong reasons why 58
some very valid reasons for 68
some word would escape him 53
some years later showed that 126
sons were slain before his 221
soon came under attack for 69
soon made ample amends for 42
soon were bowling across that 62
soul very nearly forgot her 50
soul will never starve for 58
speak their minds before they 59
speak their minds freely and 348
speak their minds openly and 72
speak their minds without being 46
speak their minds without fear 451
spear went right through him 56
spot will appear darker than 135
spring from human nature and 95
stop their mouths before they 53
such case every person who 51
such case might desert him 82
such deep learning little had 53
such good strong coffee with 46
such high boiling points that 41
such high melting points that 100
such laws seeking relief that 95
such loan first became due 73
such other funds needed for 48
such other party through any 56
such rule takes effect each 46
suit some people better than 138
suit their needs better than 41
suit your needs better than 157
suit your taste better than 43
sums many times greater than 40
sure these green fields are 45
sure what would happen with 55
sure your mother taught you 40
sure your phone number and 43
swung into place behind him 65
