sea smollett 145 sea nautical 42
sing scarcely 76 so undergoing 42
so critical 100 so disorder 62
so military 50 so divisions 51
so critical 43 so attention 349
so corporeal 41 so curiosity 69
so converse 93 so maintain 145
so preserve 64 so quantity 59
so consider 90 so negotiate 43
so curiosity 45 so induction 41
so sufferer 42 so humanity 42
so odysseus 42 so christian 155
so evidence 53 so comforts 96
so personal 133 so surplice 92
so combined 42 so progress 48
so supplies 90 so proceeding 44
so execution 131 so christian 142
so attention 65 so attention 48
so cupidity 72 so curiosity 64
so visionary 85 so comforts 51
so christian 45 so christian 150
so confusion 86 so believed 41
so overturn 48 so continue 173
so original 43 so velocity 85
so questions 139 so achieved 146
so obtained 187 so restored 133
so payments 192 so original 162
so surprise 60 so achieved 94
so exposure 41 so suppress 225
so original 120 so movement 164
so produced 84 so possible 156
so spaniards 66 so minority 119
so answered 46 so majority 92
so treatment 53 so obtained 95
so possible 179 so provided 46
so continue 96 so organize 48
so postpone 53 so separate 74
so children 75 so property 111
