safe convoy off the coast 94
safe course was to avoid 43
safe ground off the river 44
safe harbor for the fleet 88
safe retreat for the ships 145
safe return out of egypt 49
said already that it would 45
said angrily that he would 104
said annual sum or yearly 369
said before all the people 63
said before going to sleep 106
said before that he could 70
said before that he would 87
said before that it would 91
said before that the chief 103
said before that the first 47
said before them in latin 67
said clearly that he would 52
said coldly that he would 47
said county and the right 43
said earlier that he would 155
said earlier that in order 49
said earlier that it would 107
said earlier that the first 67
said earlier that we could 45
said earlier that we ought 120
said earlier that we would 111
said except that he loses 55
said firmly that he could 65
said firmly that he would 155
said flatly that he could 82
said flatly that he would 339
said flatly that it would 53
said further that he could 65
said further that he would 265
said further that it would 103
said hastings did or could 49
said hastings for the march 42
said indeed that thy house 284
said jokingly that he would 87
said loudly that he would 46
said masses for the souls 122
said merely that he might 40
said merely that he would 112
said merely that it would 54
said notice may be given 66
said openly that he hoped 43
said openly that he would 347
said openly that it would 66
said openly that the rajah 48
said pistol for the first 55
said policy was in force 213
said rights may be fully 48
said seventh day of march 75
said should not be plain 58
said should not be taken 243
said simply that he could 123
said simply that he would 187
said something and the others 78
said something and the woman 51
said something but he could 52
said something out of place 135
said something that he could 135
said something that he would 45
said without fear of error 108
salt desert and the river 63
salt shaker off the table 195
salt should not be added 208
salt should not be given 48
salt should not be taken 42
same actions may be aimed 70
same advice can be given 78
same advice for the sikhs 58
same advice may be given 142
same amount for the first 50
same amount may be given 49
same amount that he would 116
same amount that it would 201
same animal that at first 62
same animal that is found 43
same answer can be found 74
same answer can be given 192
same answer may be given 573
same answer that he would 42
same ballot with the names 54
same belief can be given 49
same changes may be found 53
same charge with the queen 59
same course can be taken 55
same course for the first 45
same course may be taken 124
same course that is taken 352
same covers with the works 43
same custom was in vogue 46
same defect may be found 92
same degree that he loves 75
same degree that it would 137
same degree that the others 50
same dinner that he first 46
same direct way in which 65
same disease that king henry 70
same effect are the cases 249
same effect are the words 444
same effect can be found 290
same effect can be noted 49
same effect can be shown 97
same effect may be cited 83
same effect may be drawn 75
same effect may be found 325
same effect may be given 59
same effect may be noted 88
same effect may be shown 108
same effect that it would 159
same effect that the sight 52
same effect with the voice 72
same errand with the choir 45
same except for the change 83
same except for the color 179
same except for the final 57
same except for the first 155
same except for the method 45
same except for the names 64
same except for the order 95
same except for the small 47
same except that the final 47
same except that the first 134
same except that the upper 86
same except that the words 45
same except that we would 43
same extent and as fully 375
same extent that he could 48
same extent that he would 293
same extent that it could 72
same extent that it would 676
same extent that the state 79
same fabric with the first 42
same fashion that he would 59
same fashion that it would 52
same faults that the penal 66
same feature can be found 48
same feelings with the people 42
same fiscal year in which 268
same flavor that is found 52
same goodly hew of white 76
same goodly hue of white 40
same ground that it would 44
same ground with the right 50
same height and the flags 50
same height with the first 72
same horror that it would 196
same houses with the people 45
same import with the words 55
same issuer that is equal 129
same issues and to focus 74
same issues are at stake 118
same issues can be found 65
same lesson can be drawn 94
same lesson may be drawn 46
same letter that he could 40
same letter that he would 58
same manner and as fully 331
same manner and at about 122
same manner and the whole 43
same manner and to nearly 60
same manner but the first 40
same manner for the latin 204
same manner for the whole 87
same manner may be found 83
same manner that he could 59
same manner that he learns 45
same manner that he might 114
same manner that he would 583
same manner that it could 68
same manner that it might 72
same manner that it treats 53
same manner that it would 563
same manner that the first 123
same manner that the force 40
same manner that the human 70
same manner that the owner 249
same manner that the people 44
same manner that the roman 43
same manner that the royal 76
same manner that the state 338
same manner that the water 57
same manner that the white 80
