sad him 55 sap and 69
sat and 106 sat him 51
sat and 47 saw lying 90
saw that 43 saw men 156
saw lying 78 saw and 68
say with 55 say and 49
see with 81 see and 63
see that 110 see yon 80
see now 49 see they 90
see and 41 see and 59
see thou 40 see does 62
see you 43 see for 55
set and 43 set for 49
set that 94 set and 63
set all 555 set any 798
set her 71 set him 223
set his 148 set its 52
set that 150 set them 252
set this 1309 set war 44
set you 111 set and 99
set and 121 sex them 53
she him 99 she his 55
she and 263 she him 45
she her 70 she that 663
she that 152 she all 158
she not 41 she she 245
she that 1440 she and 73
she was 43 she was 310
she that 106 she was 54
she his 61 she for 51
she her 67 she and 204
she who 59 she him 53
she and 66 she with 47
she being 61 she with 109
she out 46 she him 71
she and 42 she for 47
she for 114 she how 54
she and 63 she with 71
she her 64 she that 188
she that 347 she her 72
she him 183 she you 281
she her 55 she her 119
she all 50 spy and 133
