sailors threw jonah into the 41
sailors were drawn from the 109
sailors were taken from the 84
sailors were thrown into the 44
sailors were washing down the 48
sallied forth again into the 40
saluted from either side by 81
saluted miss janet smith as 42
saluted poor james there in 42
salutes were fired during the 82
salutes were fired from the 598
samples from every part of 53
samples were drawn during the 71
samples were drawn from an 113
samples were drawn from the 2715
samples were drawn prior to 59
samples were taken along the 223
samples were taken back to 53
samples were taken down to 63
samples were taken during the 910
samples were taken early in 48
samples were taken from an 326
samples were taken from it 41
samples were taken from the 12145
samples were taken into the 45
samples were taken only at 66
samples were taken over the 118
samples were taken prior to 265
samples were taken when the 151
satisfy some human need or 43
satisfy some human want or 40
satisfy their hunger only by 44
satisfy their needs from the 65
satisfy these calls upon it 48
scanned page after page of 63
scatter their seeds over the 135
schemes have given rise to 44
schemes were based upon the 46
schemes were forming here at 46
schools from every part of 42
schools from junior high to 89
schools from which many of 48
schools from which most of 79
schools have found ways of 44
schools have found ways to 83
schools have given rise to 48
schools have never been so 47
schools have often been the 46
schools have taken over the 100
schools have taken part in 80
schools took place during the 59
schools were built during the 117
schools were drawn from the 104
schools were drawn into the 56
schools were found only in 72
schools were given over to 51
schools were often held in 71
schools were often seen as 41
schools were taken from the 89
schools were taken over by 1177
schools were thrown open to 219
schools will still have to 51
science have given rise to 141
science have often made an 44
science must enter into it 40
scooped live coals into the 93
scooped some water from the 92
scorned what people call by 53
scuffle took place among the 74
seamless ocean joins over the 49
seconds during which time the 199
secrete these items into the 49
secrets from falling into the 82
secrets were known only to 101
sections have given rise to 45
sections were taken from the 580
sectors were taken over by 45
secured from every kind of 40
secured from falling into the 59
secured only after years of 54
secured their lives from the 145
seedlings were taken from the 59
seekers from every part of 70
selecting those which seem to 41
sensory root arise from the 46
sensory root arising from the 43
sensory root comes from the 54
sermons were taken down by 120
sermons were taken down in 89
servant came running from the 139
servant came running into the 70
servant came rushing into the 66
servant make haste back to 44
service cost arising from the 50
service have given rise to 43
service took place during the 68
service were drawn from the 55
service were taken from the 50
service were thrown open to 94
sessions took place during the 105
sessions were given over to 204
sessions were often held in 59
settled down again into the 206
settled down again over the 146
settled down again upon the 85
settled down again when the 43
settled down later into the 45
settled four miles south of 41
settled four miles west of 44
settled once again into the 113
settled their crown upon the 44
settled three miles north of 58
settled three miles west of 51
seventy years later when he 43
seventy years later when the 90
seventy years shall tyre sing 111
several areas where there is 89
several army corps from the 75
several cell types such as 47
several days after birth to 52
several days after leaving the 164
several days after such an 59
several days after taking the 51
several days later from the 92
several days later when he 312
several days later when it 61
several days later when the 622
several days later when we 74
several days looking over the 55
several days march from the 42
several days since seen the 52
several days until there is 62
several deep breaths trying to 66
several feet above some of 60
several feet lower down the 60
several great lords took the 61
several great poetic ages of 175
several have taken part in 44
several more shots into the 48
several more steps into the 77
several more times during the 765
several more times over the 446
several other girls from the 42
several other items from the 47
