sat with 76 sat than 74
saw for 45 saw for 45
saw hung 46 saw any 62
saw out 225 saw out 91
saw that 107 saw out 102
saw for 135 saw for 96
saw for 42 saw her 112
saw him 248 saw his 69
saw one 137 saw you 104
saw man 62 saw two 40
saw and 111 saw run 58
saw who 352 saw with 456
saw than 69 saw man 101
saw that 52 saw out 57
saw his 54 saw for 151
saw and 79 saw with 104
saw for 52 saw with 80
saw out 40 saw and 88
saw and 117 saw with 51
saw man 46 saw for 112
saw they 55 saw man 90
saw that 117 saw that 233
say than 82 say them 49
say bad 77 say for 72
say than 121 say than 657
say not 67 say was 65
say ago 103 say for 51
say god 64 say her 133
say him 156 say his 88
say them 235 say they 45
say nay 174 say you 72
say you 53 say you 64
say for 152 say you 707
say for 42 say him 54
say you 52 say you 48
say her 40 say got 84
say had 124 say you 54
say not 87 say she 40
say they 96 say was 60
see for 73 see sky 73
see that 90 see for 43
see that 49 see with 41
see for 42 see than 40
see she 88 see they 278
see you 174 see that 109
see you 83 see and 108
see for 185 see for 224
see for 120 see her 58
see him 104 see sir 50
see you 294 see and 51
see who 299 see with 269
see and 53 see than 536
see they 40 see for 152
see that 132 see you 76
see each 45 see they 47
see you 48 see for 122
see and 64 see and 110
see with 66 see you 92
see this 83 see than 66
see you 81 see that 213
see this 129 see and 59
see for 76 see man 45
see its 74 see for 48
see that 126 see this 98
set and 43 set for 67
set ringing 51 set for 55
set for 89 set than 58
set for 97 set for 41
set for 107 set going 96
set than 62 set for 125
set that 89 set with 63
set her 551 set for 51
set for 99 set for 47
set for 49 set for 60
set for 47 set for 44
set and 41 set for 1515
set for 72 she that 217
she for 100 son had 80
