sad faith sought for her 167
sat down amongst them and 171
sat down before her and 89
sat down before him and 209
sat down before him for 57
sat down before him with 54
sat down before them and 41
sat down behind her and 234
sat down behind him and 197
sat down behind his big 45
sat down beside her and 23246
sat down beside her bed 628
sat down beside her but 91
sat down beside her for 274
sat down beside her she 376
sat down beside her son 215
sat down beside her with 1027
sat down beside him and 15556
sat down beside him for 273
sat down beside him with 1030
sat down beside his bed 673
sat down beside his old 41
sat down beside his son 287
sat down beside them and 1196
sat down beside them with 195
sat down beside you and 83
sat down heavily and put 68
sat down heavily with his 107
sat there watching her and 55
sat there watching him with 70
sat there weighing all with 40
saw good reasons for doing 43
saw life around him with 57
saw miss wesley and her 50
saw more clearly each year 49
saw more clearly than all 56
saw more clearly than any 867
saw more clearly than did 328
saw more clearly than had 59
saw more clearly than her 65
saw more clearly than his 495
saw more clearly than she 61
saw more clearly than they 236
saw more clearly than you 42
saw more clearly that his 40
saw more clearly with each 45
saw more deeply than any 63
saw more wounds than one 62
saw most clearly was that 160
saw much further than any 90
saw nothing around her but 97
saw nothing around her for 61
saw nothing around him but 183
saw nothing around them but 58
saw nothing before her but 240
saw nothing before him but 2037
saw nothing before them but 1393
saw nothing beyond his own 53
saw other sights and had 55
saw some horses that had 85
saw their retreat cut off 57
saw there filled him with 81
saw very clearly that his 154
saw very clearly that she 104
saw very clearly that they 113
saw very clearly that this 125
saw very clearly was that 43
saw very little that was 141
saw well enough that his 40
saw well enough that she 77
saw well enough that they 55
saw well enough that this 45
saw well enough this was 52
say here something that was 50
say mass before him and 52
say more unless she led 49
say much except that she 55
say nice stupid things and 49
say nothing better than that 236
say nothing except that his 46
say nothing except that she 85
say nothing except that they 109
say nothing farther than that 48
say nothing further than that 550
say nothing further than this 50
say union amongst them for 49
say what sights you see 53
say when nights are dry 40
seat belt across her lap 84
seat belt across his lap 56
seat belt around her and 54
seat wide enough for two 67
see also lesbian and gay 100
see life clearly and see 269
see more clearly and act 95
see more clearly and with 91
see more clearly his own 68
see more clearly how and 100
see more clearly how each 57
see more clearly how far 236
see more clearly how god 94
see more clearly how his 123
see more clearly how our 128
see more clearly how that 104
see more clearly how they 272
see more clearly how things 59
see more clearly how this 473
see more clearly how you 99
see more clearly now how 103
see more clearly now than 190
see more clearly now that 563
see more clearly now why 149
see more clearly our own 93
see more clearly than any 219
see more clearly than did 66
see more clearly than his 122
see more clearly than one 94
see more clearly than our 59
see more clearly than she 56
see more clearly than they 350
see more clearly than was 83
see more clearly than you 364
see more clearly that all 63
see more clearly that god 67
see more clearly that his 74
see more clearly that one 44
see more clearly that our 91
see more clearly that she 48
see more clearly that they 134
see more clearly that this 239
see more clearly that you 46
see more clearly why they 61
see more clearly why this 205
see more clearly with his 82
see more reasons than one 49
see most clearly that they 48
see much better than you 48
see much farther than that 42
see much further than his 40
see much greater things than 73
see nothing around him but 112
see nothing around them but 87
see nothing around you but 41
see nothing before her but 60
see nothing before him but 629
see nothing before them and 46
see nothing before them but 756
see nothing before you but 120
see nothing better for him 44
see nothing better than that 149
see nothing beyond his own 74
see nothing further that can 85
see only through our own 68
see open fields for far 614
see other places you can 49
see pale cheeks and hear 93
see some reasons for this 50
see some return for its 48
see three reasons for this 87
see very clearly how they 41
see very clearly how this 89
see very clearly now that 169
see very clearly that all 85
see very clearly that god 89
see very clearly that his 65
see very clearly that one 46
see very clearly that our 44
see very clearly that she 68
see very clearly that they 406
see very clearly that this 207
see very clearly that you 171
see very little that was 43
see very little use for 63
see well enough for her 51
see well enough how they 57
see well enough now that 121
