sang and 70 sat his 57
saw how 144 saw that 1115
saw than 64 saw head 67
saw with 59 saw with 42
saw fling 41 saw and 98
saw and 48 say and 46
say you 49 say that 107
say and 50 say who 48
seas fly 92 see they 54
see him 73 see how 40
see that 216 see near 43
see than 43 see and 62
see too 42 see him 97
see for 54 see for 393
see are 44 see for 59
see and 84 see with 44
see and 45 see for 81
see for 52 see and 186
see and 950 see that 89
set for 82 set with 50
set with 41 set and 327
set that 98 set with 45
set and 173 set and 45
set and 41 set that 44
set for 59 set for 145
set for 67 set for 334
set that 147 set and 86
set that 106 set for 52
set that 96 set and 105
set that 144 set that 320
set and 46 set that 129
set how 163 set and 143
set that 52 set that 128
set that 170 set that 220
set that 89 set for 99
set that 49 set for 49
set that 92 set all 109
set that 134 set and 145
set that 355 set and 245
set are 138 set can 129
set that 213 set with 357
set and 101 set that 364
set and 51 set for 262
set for 100 set that 49
set and 195 set for 91
set that 90 set for 92
set and 42 set for 62
set for 111 set for 45
set and 54 set with 45
set for 53 set and 2591
set but 150 set for 1813
set now 59 set that 484
set was 92 set with 1035
set are 40 set for 52
set for 173 set for 47
set and 99 set for 465
set that 81 set for 58
sex and 53 sex for 95
sex and 56 she her 50
she with 51 she with 54
she with 53 she and 100
she than 80 she than 56
she for 93 she than 51
she with 53 she and 46
she and 52 she for 56
she nor 90 she nor 75
she but 139 she him 108
she this 58 sit with 40
son and 88 son and 40
son and 103 son and 178
son was 54 son and 63
son and 60 son and 89
son and 131 son and 100
son and 54 sue for 96
sum for 42 sum was 50
sum and 101 sum and 58
sum and 49 sum with 64
sum and 124 sun than 48
