sack with but one opening 44
safe and does not cause 84
safe and fit for human 73
safe and that she would 103
safe and that they could 58
safe and that they would 130
safe are all things which 46
safe bet that she would 46
safe bet that they would 106
safe bet that you would 59
safe both day and night 42
safe for men and women 54
safe now and she could 42
safe one that may occur 59
safe thus far and grace 157
safe with all his spies 225
said act does not apply 65
said all that she could 150
said all that they could 54
said all that was right 242
said all with one voice 164
said and did all sorts 52
said and did and wrote 67
said and did that evening 44
said and did that night 47
said and did that which 78
said and did things which 327
said and did was right 132
said and his eye raced 56
said and how she acted 46
said and how they acted 121
said and how they lived 41
said and put her hands 75
said and put his hands 97
said and she was right 87
said and then she began 51
said are you all right 131
said both men and women 89
said did not mean anything 89
said does not mean anything 50
said each man was bound 68
said earl and his heirs 156
said earl and his issue 55
said for her ears alone 99
said for him for setting 56
said for his ears alone 48
said god was his father 155
said one day she would 65
said one who had known 67
said one who had often 59
said pro and con about 157
said she and her father 77
said she and her mother 364
said she can not stand 68
said she did not agree 178
said she did not appear 45
said she did not belong 110
said she did not blame 395
said she did not doubt 435
said she did not drink 168
said she did not either 114
said she did not enjoy 106
said she did not fancy 116
said she did not paint 47
said she did not quite 167
said she did not really 1007
said she did not sleep 154
said she did not smoke 185
said she did not trust 387
said she did not worry 47
said she did not write 133
said she does not really 57
said she had not asked 95
said she had not dared 43
said she had not either 54
said she had not found 103
said she had not given 192
said she had not known 560
said she had not liked 74
said she had not quite 58
said she had not really 237
said she had not slept 364
said she had not taken 188
said she had one spare 73
said she had read about 117
said she saw her father 45
said she was all alone 199
said she was all right 2383
said she was being silly 105
said she was going after 52
said she was going right 53
said she was her father 47
said she was her mother 149
said she was his mother 374
said she was not about 396
said she was not alone 54
said she was not aware 307
said she was not bound 44
said she was not crazy 47
said she was not feeling 1167
said she was not fully 58
said she was not getting 148
said she was not gonna 154
said she was not happy 343
said she was not hungry 1184
said she was not looking 125
said she was not quite 306
said she was not raped 44
said she was not really 353
said she was not right 111
said she was not sorry 115
said she was not staying 42
said she was not strong 136
said she was not talking 72
said she was not thinking 69
said she was not tired 120
said she was not upset 52
said she was not willing 122
said she was not within 58
said she was not working 76
said she was not worthy 174
said she was now about 57
said she was too proud 62
said she was too small 92
said she was too tired 2164
said she was too upset 168
said she was with child 137
said son and his heirs 74
said sum and all costs 64
said that all his people 75
said that all his works 110
said that all men ought 116
said that all men shall 50
said that all men would 61
said that all our races 142
said that all our thinking 105
said that all she could 129
said that all that could 107
said that all that would 78
said that all they could 105
said that all things would 92
said that all this could 73
said that all this would 151
said that all too often 155
