said feast of pentecost next 148
said from the whirlwind over 65
said leave an impression upon 69
said nothing to disparage their 43
said over the telephone from 43
sale must be published once 230
same boat as everybody else 66
same bone at different ages 43
same case in different ways 45
same clue of principle leads 50
same data in different ways 520
same data in graphical form 81
same date in different years 64
same duty is incumbent upon 65
same duty of reasonable care 45
same ends by different means 174
same goal by different means 83
same goal by different paths 130
same goal in different ways 43
same hour on different days 71
same ideas in different ways 79
same kind of arguments were 44
same kind of criticism from 40
same kind of equipment used 41
same kind of inference from 40
same kind of influence over 147
same kind of influence upon 95
same kind of opposition from 101
same kind of protection from 74
same kind of transition from 50
same mode of procedure must 64
same month in different years 163
same month of different years 92
same month the plaintiff went 77
same name in different ways 47
same name is sometimes used 74
same nest of mountains from 49
same rope at different ends 66
same sort of advantage over 113
same sort of dissection upon 119
same sort of impression must 51
same sort of influence over 273
same sort of invective from 40
same sort of protection from 50
same task in different ways 168
same term in different ways 145
same term is sometimes used 273
same text in different ways 151
same theme in different ways 80
same time an apartment over 68
same time an enigmatic depth 40
same time an important part 104
same time an important step 73
same time an invitation from 46
same time an irregular army 78
same time an unwritten will 110
same time as everybody else 431
same time be different from 48
same time be prevented from 97
same time be protected from 167
same time be separated from 83
same time he conferred upon 48
same time he displayed great 85
same time he expressed great 62
same time he impressed upon 87
same time he inherited much 41
same time he privately sent 112
same time he refrained from 69
same time in different areas 170
same time in different ways 126
same time in spiritual love 62
same time is different from 123
same time is prevented from 70
same time on different days 83
same time or alternate arms 315
same time so different from 115
same time the abdominal wall 91
same time the americans were 249
same time the christians were 55
same time the colonists were 50
same time the companies were 70
same time the democrats were 54
same time the employers were 68
same time the ministers were 59
same time the political ruin 54
same time the population grew 45
same time the president sent 49
same time the prisoners were 79
same time the provinces were 69
same time the railroads were 102
same time the transition from 144
same time the transition into 45
same time to determine what 58
same time to discharge some 41
same time to diversify their 121
same time to encourage their 42
same time to establish some 41
same time to establish such 44
same time to establish their 50
same time to introduce into 45
same time to introduce some 70
same time to introduce such 48
same time to recognize their 50
same time to safeguard their 51
same truth in different ways 58
same tune in different keys 56
same type of criticism here 57
same type of equipment used 145
same view is expressed more 44
same word in different ways 321
same word is sometimes used 136
same work in different ways 51
same worm at different ends 41
sand having an effective size 130
sank into an obscurity from 174
save unto the uttermost those 42
says what is perfectly true 94
seamy side of political life 61
seed must be separated from 78
seeing there be parliament laws 50
seeing what the scientist sees 60
seek only to foreclose from 131
seem like an interesting lady 63
seen coming on horseback from 49
seen during the preschool years 46
seen from an unfamiliar angle 68
seen from the available data 44
seen from the extensive list 65
seen from the practical side 149
seen from the presented data 86
seen from the quotations from 92
seen from the statement made 103
seen from the surrounding ocean 45
seen from the tabulated data 92
seen such an expression upon 98
seen what an important part 411
seen what an important role 98
seep into the surrounding soil 133
sees what the character sees 48
self into the universal self 115
sell during an important part 81
send along the sanctuary side 93
sent down the telephone line 100
sent over the mountains from 56
sent over the mountains into 53
sent over the telephone line 214
sent over to discharge such 48
sets forth the conditions upon 88
sets forth the effective date 173
sets play an important role 238
shear span to effective depth 313
shed over the approaching ruin 41
shed tears of compassion over 180
shed tears of gratitude over 43
ship from the starboard side 84
show even the slightest hint 59
show even the slightest sign 273
show what an important part 492
show what an important role 200
show what my opponents call 59
show what the conditions were 54
show will be perverted from 44
shut down the production line 257
sick leave or maternity leave 293
side like an attentive bird 42
side made the obscurity more 51
side went on brightening more 98
side will be different from 43
silk made the principal part 72
single dose on alternate days 73
single duty of reasonable care 154
single line of programming code 58
single line of scratches upon 44
single test to determine when 50
single type of connection runs 60
single wasp is sometimes seen 45
single word of complaint from 63
site must be protected from 79
site play an important role 70
sits there so eternally calm 57
sixth month of embryonic life 45
sixth month of postnatal life 71
sixth month of pregnancy when 97
sixth week of embryonic life 665
size play an important role 179
skin from the abdominal wall 83
skin must be protected from 275
skin over the abdominal wall 41
skin over the artificial thigh 43
skin over the operative site 52
skin play an important role 53
slip over the mountains into 40
slow down the absorption rate 45
slow down the metabolic rate 153
slow down the production line 48
slow down the transition from 48
slow rate of absorption from 62
soak into the surrounding soil 46
soil must be protected from 58
soil play an important part 93
soil play an important role 102
some acts of parliament have 50
some areas of community life 70
some cans of condensed milk 44
some care is necessary when 71
some form of agreement among 74
some form of alienation from 51
some form of apparatus must 50
some form of artificial birth 45
some form of artificial drying 85
some form of artificial heating 43
some form of association among 82
some form of automated data 46
some form of automatic data 41
some form of automatic gain 95
some form of commercial union 69
some form of community care 59
some form of community life 119
some form of community rating 49
some form of community work 82
some form of congenital heart 174
some form of consensus among 76
some form of corporate life 48
some form of expression such 58
some form of guarantee from 81
some form of incentive plan 66
some form of incentive wage 103
some form of industrial arts 51
some form of industrial work 122
some form of influence over 98
some form of liberation from 44
some form of maternity leave 110
some form of missionary work 47
some form of objective test 44
some form of permanent union 42
some form of political risk 46
some form of political self 93
some form of political union 1387
some form of practical joke 108
some form of practical work 106
some form of primitive life 52
some form of protection during 45
some form of protection from 636
some form of protection must 79
some form of protection such 40
some form of protection will 43
some form of regulation over 75
some form of regulation will 54
some form of removable media 87
some form of restraint upon 76
some form of retaliation from 63
some form of separation from 146
some form of spiritual life 87
some form of universal health 312
some form of vegetable life 48
some form of voluntary health 155
some form of voluntary work 97
some form of volunteer work 161
some form of withdrawal from 99
some have the happiness even 68
some help in determining what 61
some hope of political good 86
some ideas to stimulate your 63
some kind of advantage over 156
some kind of agreement among 147
some kind of agreement will 50
some kind of amusement park 64
some kind of assurance from 167
some kind of atonement will 54
some kind of character flaw 53
some kind of christians lose 61
some kind of commission from 52
some kind of community life 121
some kind of community work 91
some kind of concession from 74
some kind of connection here 51
some kind of connection there 123
some kind of consensus among 150
some kind of contingency plan 75
some kind of departure from 103
some kind of elaborate hoax 58
some kind of elaborate joke 119
some kind of empirical test 86
some kind of endurance test 42
some kind of fertility cult 46
some kind of guarantee from 76
some kind of hierarchy among 78
some kind of identifying mark 121
some kind of impression upon 59
some kind of industrial work 82
some kind of inference from 90
some kind of influence from 69
some kind of influence over 320
