sad thing for sportsmen to 127
sat an old gentleman in 51
sat in her apartment in 71
sat in her apartment on 41
sat in his apartment in 50
sat in his apartment on 45
sat on her shoulders as 85
sat on his shoulders as 95
sat up and attempted to 103
sat up and perceived he 59
sat up and pretended to 52
sat up and scratched the 40
sat up and struggled to 89
saw an odd expression on 46
saw an old gentleman in 71
saw an old gentleman of 46
saw as being dominated by 49
saw as his inability to 41
saw he had attracted my 45
saw he had discussed the 44
saw he had forgotten me 53
saw he had forgotten to 63
saw in any character in 150
saw in her expedition to 88
saw in his discussion of 66
saw in his expression the 207
saw in our discussion in 89
saw in our discussion of 5481
saw in our discussion on 91
saw in them evidences of 42
saw it and described it 185
saw it was addressed to 324
saw it was expedient to 47
saw it was important to 43
saw it was necessary at 100
saw it was necessary to 1192
saw it was pointless to 47
saw it was supported by 98
saw my own reflection in 165
saw no real advantage in 60
saw or had furnished me 40
saw the dead boatswain in 102
saw the dim reflection of 45
saw the long procession of 180
saw the new president as 40
saw the new testament as 49
saw the old gentleman in 55
saw the old gentleman so 54
saw the old testament as 167
saw the real character of 96
saw the real emergence of 59
saw the red reflection of 48
saw the sad expression on 58
saw the sad spectacle of 62
saw the set expression of 50
saw the sky reflected in 44
saw the two regiments of 50
saw the war approaching to 42
saw the war primarily as 100
saw to his amazement the 100
say he had forgotten to 43
say he was compelled to 47
say he was delighted to 44
say he was incapable of 69
say he was justified in 48
say he was persuaded of 53
say he was surprised to 107
say if this principle is 51
say in all sincerity to 69
say in his discussion of 61
say in our discussion of 60
say in this connection in 49
say in this connection is 472
say is not specified in 49
say it was conceived in 206
say it was destroyed by 88
say it was difficult to 177
say it was important to 142
say it was necessary to 333
say it was occasioned by 60
say it was somewhere in 43
say it was wonderful to 53
say it with reverence to 133
say of his character or 53
say of his knowledge in 53
say of his willingness to 54
say of its supplanting by 46
say so with reference to 57
say the end justifies the 99
say to his colleagues in 60
say to his disciples at 54
say to his disciples in 41
say to that alteration in 52
