search for mutually beneficial solutions 182
serve two entirely different purposes 46
sheet with electric discharge processing 136
social and cultural conditions prevailing 242
social and cultural processes involved 94
social and economic conditions continue 46
social and economic conditions demanded 41
social and economic conditions essential 47
social and economic conditions improved 68
social and economic conditions prevailing 931
social and economic conditions produced 63
social and economic conditions remained 42
social and economic conditions required 62
social and economic conditions underlying 59
social and economic interests involved 75
social and economic processes involved 51
social and economic structure remained 49
social and religious conditions prevailing 60
strong and steadfast character promised 74
study with multiple regression analysis 44
