salaries were raised by only 76
sanctity will attach to those 43
sarcasms loud enough to call 97
scarcely been asleep an hour 59
scarcely bold enough to dream 43
scarcely dare mention to their 122
scarcely ever appears to want 144
scarcely ever failed to find 179
scarcely ever failed to make 62
scarcely ever failed to ruin 57
scarcely ever opened the door 54
scarcely food enough to keep 146
scarcely give credit to their 59
scarcely gone beyond the ideas 56
scarcely have failed to draw 43
scarcely have failed to feel 62
scarcely have failed to find 56
scarcely have failed to gain 118
scarcely have failed to give 116
scarcely have failed to have 425
scarcely have failed to know 139
scarcely have failed to leave 72
scarcely have failed to make 228
scarcely have failed to meet 89
scarcely have failed to note 114
scarcely have failed to reach 72
scarcely have failed to take 121
scarcely have missed to have 43
scarcely have rushed to arms 46
scarcely have thought it worth 168
scarcely help fancying it must 188
scarcely high enough to have 54
scarcely knew whether he were 41
scarcely knew whether to call 50
scarcely knew whether to feel 61
scarcely knew whether to take 43
scarcely knew whether to think 57
scarcely knew whether we were 95
scarcely know whether to call 186
scarcely room enough to turn 103
scarcely tall enough to reach 42
scarcely tell whether it were 132
scarcely time enough to form 104
scarcely walk across the room 194
scarcely wide enough to hold 62
scarcely wind enough to fill 84
scholars down through the ages 60
scholars have agreed to call 66
scholars have coined the term 159
scholars have failed to find 69
scholars have failed to make 49
scholars have failed to note 89
scholars have failed to reach 42
scholars have failed to take 106
scholars have reached the same 78
scholars have sought to find 216
scholars have sought to link 51
scholars have sought to make 87
scholars have sought to show 99
scholars have tended to give 44
scholars have tended to look 80
scholars have tended to take 113
scholars have tended to think 66
scholars have tended to treat 184
scholars have tended to view 271
scholars have turned to other 55
scholars have worked on these 51
scholars into makers of toys 53
scholars were called by rank 45
scholars were forced to leave 54
scholars were likely to pass 44
sciences have become to some 56
scrambling down stairs as pale 44
sculptor soon learned to draw 83
secreted there behind the logs 42
secretly gone through the form 75
secretly sold weapons to iran 153
sectional view through the axis 54
segments have united to form 46
segments must remain the same 49
selected from amongst the best 93
selected from amongst the most 352
selected will depend on what 42
selection must always be made 49
selection will always be very 75
selection will depend on your 64
seminary were taught to make 50
sentence best states the main 287
sentence will always be less 45
sentinel pacing before the gate 50
sentries were posted to keep 47
separate book should be kept 95
separate card should be used 61
separate file should be kept 48
separate form should be used 167
separate line should be used 182
separate peace should be made 62
sequence from simple to more 51
servants have closed up their 50
servants have plenty of food 44
servants have tongues as well 77
servants were afraid to tell 181
servants were asleep in their 61
servants were called by their 41
servants were forced to have 54
servants were forced to leave 83
servants were guilty of such 55
servants were treated as well 40
services best suited to their 76
services have arisen the four 64
services have failed to keep 108
services have failed to meet 47
services were always in great 56
services were bought or sold 62
services were needed at home 156
services were needed at once 46
services were needed to help 86
services were sought by many 76
services were unable to cope 42
services will result in more 44
settlers were forced to flee 73
settlers were forced to leave 152
settlers were forced to live 50
settlers were forced to make 102
settlers were forced to move 77
settlers were forced to rely 98
settlers were forced to take 64
settlers were forced to turn 44
settlers were gentle in their 74
settlers were unable to make 59
settlers were unable to meet 64
settlers will demand the soil 51
