said body politic called the 198
said fact merited neither to 51
said free grammar school of 69
said free schools belonging to 60
said their prayers before the 40
same acid mixture without the 41
same fine article adorns the 48
same good fortune always to 175
same month congress passed the 51
same rule applies whether the 144
same seed becomes female or 52
same size despite changes in 98
same thick horizon around the 49
same time arrived cedric the 119
same time congress passed the 58
same time conquer nations or 43
same time convict myself of 42
same time efforts should be 152
same time elastic enough to 53
same time general enough to 60
same time heartily joined in 66
same time inquiring glance at 45
same time investing heavily in 45
same time measures should be 89
same time muttering something of 90
same time politic enough to 47
same time printed copies of 76
same time providing access to 111
same time reflect clearly the 43
same time relates itself to 55
same time revolving around the 44
same time several pieces of 48
save from oblivion little of 95
save their country amidst the 50
saving five hundred pounds of 44
seats were arranged around the 106
seeing nothing unusual happen to 51
seeing their brethren caught or 67
seek their fortune across the 43
seek their fortune beyond the 61
seem like science fiction to 60
seem more closely allied to 197
seem more closely linked to 88
seem well defined enough as 48
seen from certain points in 43
seen from certain points of 129
seen from outside through the 61
seen from several places in 49
seen from several points of 409
seen good results follow the 150
seen good service before to 48
seen just quickly enough to 42
seen moving rapidly across the 55
seen moving rapidly through the 81
seen moving swiftly across the 44
seen other diseases ravaging the 67
seen some radical changes in 40
seen such supreme virtue in 61
seen their friends embark in 48
sell five hundred copies of 90
sell five hundred shares of 43
sell five thousand copies of 44
sell their produce direct to 119
sell their produce through the 295
sell their product direct to 42
sell their product through the 40
send down private orders to 43
send five thousand troops to 53
send four bullets through the 57
send more current through the 64
send such address through the 56
send such peevish tokens to 57
send their address changes to 112
send their letters through the 43
send your account before the 72
send your parties abroad in 123
send your written answer to 62
sent down several troops of 60
sent five thousand troops to 48
sent from charles island to 62
sent their incense through the 44
sent their shadows across the 88
sent three bullets through the 70
sent three thousand troops to 57
sent young russians abroad to 107
sets down certain papers of 70
shot away rapidly before the 77
shot came whistling through the 59
shot like lightning through the 271
shot went whistling through the 54
show what gravity itself is 43
show your scarlet letter in 230
side what stalked through the 82
side will conduct itself in 42
sign such official papers as 49
single most notable feature of 82
single most reliable source of 80
single most salient aspect of 42
single most salient feature of 184
single tall chimney marked the 43
sink into pleasant visions of 47
sink their factious temper in 91
size from several inches in 57
size from several inches to 112
skin loss involving damage or 376
skin loss involving damage to 143
slow tears dropped through the 63
sofa there appeared before my 42
soft warm climate allows the 61
sold five hundred copies of 51
sold five thousand copies in 144
sold four thousand copies in 42
sold four thousand copies of 64
sold into slavery across the 61
sold into slavery beyond sea 81
sold into slavery beyond the 154
sold many competing brands of 57
sold three thousand copies in 71
some dark crimson stains on 46
some days elapsed before he 112
some days elapsed before the 242
some days elapsed before we 43
some down cushions placed on 64
some five hundred copies of 83
some five hundred pounds of 198
some five minutes before the 148
some five thousand pounds in 48
some four hundred pieces of 41
some four hundred pounds of 78
some great mystery hidden in 52
some great outward symbol of 51
some half century before the 40
some have appeared already in 67
some have doubted whether an 71
some have doubted whether he 64
some have doubted whether it 148
some have doubted whether the 180
some have perhaps thought me 40
some more general issues in 43
some more general issues of 42
some more general measure of 49
some more general points of 48
some more limited portion of 145
some more rational scheme of 66
some other country before the 95
some other country beyond the 47
some other factors should be 75
some other limited number of 83
some other material should be 76
some other matters relating to 148
some other measures should be 50
some other natural feature of 44
some other natural motive or 176
some other obscure prince of 42
some other organic disease of 41
some other outpost instead of 56
some other outside source of 60
some other service before the 45
some other solution should be 67
some other unknown factor is 43
some other vessels belonging to 59
some saving formula should be 46
some soul kindred enough to 69
some such general scheme as 63
some such recording scroll or 47
some such retired course of 78
some three decades before the 149
some three hundred pieces of 82
some three hundred pounds in 42
some three hundred pounds of 140
some three thousand copies of 41
some three thousand pounds of 76
some time doubted whether it 85
some time doubted whether the 72
some time elapsed before he 714
some time elapsed before it 552
some time elapsed before the 1953
some time elapsed before we 214
some time elapses before he 54
some time elapses before it 166
some time elapses before the 673
some time elapses before we 100
some time existed merely in 68
some time however before the 45
some time previous through the 64
some time shortly before the 153
some time strongly engaged the 41
some time together before he 62
some time together before the 143
some time together before we 114
some time together without the 53
some time towards albert of 62
some time traveling around the 46
some time wandering around the 151
some time wandering through the 120
some very central feature of 66
some very complex course of 41
some very drastic changes in 61
some very general notions of 43
some very limited feature if 86
some very limited portion of 46
some very pleasant feelings of 48
some very radical changes in 149
some were dragged before the 47
some were foolish enough to 74
some were sanguine enough to 55
some wide stately street in 40
some wild creature caught in 40
some wild creature scared by 62
some will ascribe actions to 63
some years elapsed before he 278
some years elapsed before it 190
some years elapsed before the 459
soon come pattering through the 48
soon find himself driven to 67
soon find himself engaged in 42
soon find himself unable to 75
soon heard distant shouts of 44
soon lent herself readily to 84
soon made himself expert at 76
soon made himself master of 2808
soon made himself useful to 69
soon make himself master of 147
spring been totally broken by 91
spring from natural causes we 43
spry young fellows painting the 103
steal your runaway nigger to 46
stem cell research should be 315
step along orchard street so 50
string tied tightly around the 94
string will execute double the 42
such great results should be 40
such means persons become of 44
such other company unless the 56
such other country beyond the 64
such other european nations as 141
such other federal courts as 466
such other inferior courts as 405
such other matters relating to 1067
such other official duties as 101
such other persons residing in 127
such other printed matter as 60
such other related duties as 129
such single channel unless the 47
such term becomes vested in 71
such vast numbers engaged in 86
such very surface layers of 141
suit their peculiar habits of 106
sunk into oblivion through the 54
sure will commend itself to 65
sure your operating system is 53
swung their support behind the 82
