said such abandoned effects came 40
sale will generally produce part 67
same time carefully excluding what 51
same time dissociating himself from 40
same time distances himself from 53
same time maintaining control over 121
same time strenuous efforts were 187
same time transform himself into 42
seem less necessary because most 40
seen some irregular service among 55
show good agreement between theory 183
show very different results from 40
single most important decision made 87
single most important problem facing 391
single most important question facing 74
some five wonderful minutes during 42
some most excellent friends among 57
some tree projected rigidly over 166
some very encouraging results have 44
some very important lessons from 81
some very interesting letters from 161
some very interesting remarks upon 61
some very interesting results from 64
some very interesting results have 170
some very interesting results were 124
some very pertinent remarks upon 68
some very shameless writers have 49
south wind gradually settled into 43
speak from conviction founded upon 59
spring into existence because some 98
such dark suspicions against their 67
