sack and apron luck as 49
sack and thrown into the 1698
safe and happy only by 71
safe and rapid means of 108
safe and smooth flow of 47
safe and sound among the 54
safe and sound back at 55
safe and sound back in 108
safe and sound back to 98
safe and sound from my 61
safe and sound from the 1127
safe and sound here in 50
safe and sound into the 259
safe and sound till the 47
safe and sound upon the 122
safe and sound when he 47
safe and sound when the 138
safe and steady pace of 41
safe and taken care of 273
safe and tight just as 46
safe and would soon be 110
safe for human beings to 86
safe than sorry when it 61
safe was built into the 218
sage who lived there in 43
said act shall cease to 45
said act shall have no 46
said and enter into my 46
said and headed back to 123
said and headed down the 103
said and headed into the 49
said and leaned back in 174
said and leaned back on 43
said and leaned down to 78
said and leaned over the 79
said and leaned over to 210
said and moved into the 52
said and moved over to 76
said and really meant it 68
said and would like to 103
said and wrote when on 69
said for sending back the 54
said for which there is 40
said had often been in 44
said has really made the 64
said her decks were as 70
said her father used to 58
said her first word at 51
said her mother from the 103
said her mother used to 108
said his father used to 165
said his father when he 52
said his first mass at 322
said his first mass in 654
said his first mass on 245
said his first mass the 54
said his first word at 69
said his mother ever so 166
said his mother from the 77
said his mother used to 154
said his mother when he 74
said jim might wake up 73
said jim would have to 71
said not knowing what to 54
said one evening when he 163
said one evening when the 106
said one evening when we 84
said one harsh word to 45
said one morning when he 128
said one morning when we 44
said one night when he 176
said one night when the 87
said one night when we 109
said one would have to 239
said she could come in 57
said she could come to 107
said she could come up 45
said she could feel it 94
said she could feel the 231
said she could find no 75
said she could give me 122
said she could give us 72
said she could have it 216
said she could have no 109
said she could have the 205
said she could help me 124
said she could keep it 87
said she could keep the 126
said she could leave the 65
said she could make it 82
said she could make the 72
said she could only be 48
said she could play the 48
said she could stay as 40
said she could stay at 58
said she could stay in 131
said she could take it 85
said she could take the 125
said she could talk to 77
said she could tell by 121
said she could tell me 147
said she could tell the 100
said she could think of 226
said she hoped soon to 42
said she lived over the 53
said she might come to 42
said she might have it 45
said she might have the 87
said she might have to 220
said she might just as 54
said she might like to 89
said she might stop by 54
said she might want to 98
said she never felt so 62
said she never felt the 44
said she never heard of 267
said she never left the 72
said she never meant to 56
said she never went to 65
said she really must go 66
said she spent most of 122
said she would call at 83
said she would call in 178
said she would call me 613
said she would call on 83
said she would call the 483
said she would call to 50
said she would come as 156
said she would come at 89
said she would come by 125
said she would come if 94
said she would come in 602
said she would come on 95
said she would come the 55
said she would come to 1009
said she would come up 113
said she would drop by 66
said she would drop in 103
said she would find it 106
said she would find me 61
said she would find the 86
said she would give it 400
said she would give me 1086
said she would give the 296
said she would give up 160
said she would give us 204
said she would hate to 62
said she would have an 94
said she would have it 231
said she would have me 155
said she would have no 434
said she would have tea 81
said she would have the 547
said she would have to 4322
said she would help me 554
said she would help us 122
said she would hold on 63
said she would join me 70
said she would join the 51
said she would join us 117
said she would just as 191
said she would just go 72
said she would keep an 87
said she would keep in 56
said she would keep it 236
said she would keep me 122
said she would keep on 42
said she would keep the 198
said she would kill me 104
said she would leave as 109
said she would leave it 157
said she would leave me 145
said she would leave the 340
said she would lend it 54
said she would lend me 52
said she would like it 180
said she would like me 223
said she would like the 168
said she would like to 10020
said she would live to 98
said she would look at 219
said she would look in 166
said she would love it 82
said she would love to 1416
said she would make an 102
said she would make it 285
said she would make me 180
said she would make no 83
said she would make the 334
said she would make up 78
said she would make us 49
said she would meet me 459
said she would meet us 137
said she would miss me 99
said she would need to 175
said she would only be 128
said she would only go 45
said she would open the 79
said she would pass it 44
said she would pass on 155
said she would pass the 84
said she would pick me 124
said she would pick up 175
said she would pray to 63
said she would sell it 43
said she would sell the 53
said she would send an 40
said she would send it 113
said she would send me 409
said she would send the 219
said she would send to 51
said she would send us 124
said she would show it 55
said she would show me 549
said she would show us 126
said she would soon be 253
said she would speak to 566
said she would stay at 188
said she would stay in 345
said she would stay on 131
said she would stay the 51
said she would stay up 43
said she would stop at 42
said she would stop by 115
said she would take it 457
said she would take me 629
said she would take my 58
said she would take no 96
said she would take the 926
said she would take us 227
said she would talk it 63
said she would talk to 817
said she would teach me 214
said she would tell me 442
said she would tell my 56
said she would tell no 50
said she would tell the 330
said she would tell us 66
said she would think it 308
said she would think of 150
said she would turn the 40
said she would wait in 145
said she would wait on 63
said she would wait to 73
said she would walk to 47
said she would want to 108
said she would weep no 97
said she would work on 139
said sir henry from the 44
said sum shall come to 46
said sun would turn the 56
said than about what he 76
said that about half of 402
said that about half the 224
said that after hearing me 41
said that after hearing the 126
said that after laying the 93
said that after leaving the 144
said that after making the 48
