saddled on a poor ignorant 67
sampled at a time interval 42
samples of a pure compound 65
savages at a safe distance 41
scapula is a flat triangular 228
schools as i have mentioned 77
schools in a single district 68
schools of a high standard 134
schools of a more advanced 71
seasoned by a good appetite 55
secured by a duly recorded 45
secured by a great equality 72
secured by a home mortgage 90
secured by a prior mortgage 81
secured by a single mortgage 147
secured by a third mortgage 196
secured us a very agreeable 48
seemingly at a great distance 89
seemingly at a less elevation 249
seemingly in a more friendly 41
segment of a huge cylinder 46
sergeant in a line regiment 61
servant of a rich merchant 168
servers on a single computer 72
servers on a single physical 67
service as a radio operator 45
service at a most critical 87
service in a great cathedral 68
service of a high standard 245
service of a more definite 105
service of a more powerful 52
service of a rich merchant 44
service to a high standard 99
service to a single customer 56
settled at a great distance 76
settled by a more accurate 93
shallow to a great distance 87
shelter of a tree stranded 47
shifted to a more balanced 77
shifted to a more critical 41
shifted to a more flexible 73
shifted to a more moderate 75
shifted to a more negative 186
shifted to a more personal 63
shifted to a more positive 224
shifted to a more realistic 42
shifted to a more specific 95
shifted to a more suitable 60
shovels of a single goldsmith 94
sighted at a great distance 55
signals to a form suitable 75
silence of a deep farewell 46
silence of a soul absorbed 42
similar to a cash register 54
similar to a cell membrane 40
similar to a living organism 149
similar to a north american 84
similar to a tape recorder 126
similar to a word processing 141
sisters at a more advanced 159
situate at a great distance 148
skidded to a halt alongside 99
skidded to a halt directly 43
skidded to a stop alongside 109
skidded to a stop directly 76
society as a living organism 614
society as a single organism 105
society in a more positive 52
society is a body consisting 91
society is a living organism 301
society is a mass composed 248
society is a more dangerous 42
society to a living organism 144
society to a more advanced 45
sojourn in a high altitude 40
soldier in a line regiment 51
soldier or a good christian 66
solution in a form suitable 47
solution is a very powerful 99
solution of a base contains 120
solution of a most perplexing 55
solution of a salt containing 168
solution of a single nonlinear 58
solution to a more accurate 43
solution to a very specific 55
sorcery at a single execution 71
species in a single locality 82
species is a single specimen 44
species is a very distinct 42
species on a single resource 69
spoiled by a single execution 43
spouted at a good distance 71
stained to a dull chestnut 48
started in a wrong direction 55
started to a safe distance 41
steadily in a single direction 83
steered in a more southerly 69
stirred up a fine sensation 65
stirred up a great commotion 128
stooped to a base coalition 64
stopped at a safe distance 567
stopped at a side entrance 61
stopped at a soda fountain 56
stopped by a wall composed 45
stories on a high basement 40
stories on a tape recorder 40
stranger at a great distance 42
stranger in a city singularly 47
strayed to a great distance 53
streets by a roving reporter 53
streets in a safe condition 155
streets in a very improper 48
streets to a great distance 154
strongly by a leading financial 42
strongly of a most disloyal 79
student as a very complete 40
studied in a living condition 52
studied in a more detailed 129
studies at a more advanced 56
studies of a more abstract 41
studies of a more advanced 45
