safe on that beautiful shore 61
said at this juncture about 65
said he had formerly acted 50
said he was confused about 53
said he was probably right 74
said he was seriously thinking 43
said he was terribly sorry 151
said he was troubled about 67
said in her cheerful voice 41
said in her commanding voice 47
said in her gentlest voice 102
said in her gravelly voice 125
said in her lightest tones 70
said in her melodious voice 67
said in her ordinary voice 79
said in her sternest voice 103
said in her sweetest tones 72
said in her sweetest voice 785
said in his baritone voice 46
said in his beautiful voice 54
said in his blandest tones 57
said in his cheerful voice 70
said in his gentlest voice 225
said in his gravelly voice 419
said in his guttural voice 92
said in his harshest voice 83
said in his melodious voice 55
said in his ordinary voice 547
said in his resonant voice 108
said in his smoothest voice 99
said in his sonorous voice 79
said in his sternest voice 110
said in his sweetest voice 117
said in his toneless voice 60
said in that gravelly voice 46
said of him recurred again 40
said of that wretched miser 121
said so that everyone could 70
said the old jacobite laird 51
said to that wretched woman 41
said to use criminal force 82
sake of any ornament which 262
sake of his corinthian plate 68
sake of its prurient appeal 57
sake of our squeamish reader 47
sake of ten righteous people 41
sake of that evidence which 85
sake of that openness which 55
sale at each possible price 190
sale in our christian slave 60
sale is not complete until 398
sale of all property which 42
sale of any property shall 45
sale of any property under 148
sale of any property which 120
sale of any property within 41
sale of his interest under 45
sale of his magazine would 60
sale of his property after 48
sale of his property under 109
sale of his property would 54
sale of its valuable block 51
sale of its valuable woods 142
sale of real property after 46
sale of real property gives 53
sale of real property owned 125
sale of real property shall 125
sale of real property under 476
sale of real property where 171
sale of real property which 127
sale of real property within 76
sale of that property under 46
sale of this property would 59
sale or for delivery after 798
same as its expected value 62
same as that employed above 42
same as that mentioned above 660
same as that mentioned under 59
same as that observed after 85
same as that observed under 52
same as that obtained above 222
same as that obtained after 73
same as that obtained under 106
same as that outlined above 1100
same as that outlined under 100
same as that provided under 82
same as that reported above 114
same as that required under 113
same in any christian kingdom 64
same in any premises where 81
same thing for breakfast every 134
same thing had happened after 91
same thing had happened again 542
same thing had happened every 42
same thing had happened twice 54
same thing has happened again 383
same thing has happened every 49
same thing has happened since 45
same thing has happened which 53
sate in that tribunal which 72
save as his personal glory 43
save at this saturday night 41
save in one instance where 51
save in that republic whose 123
saying is not entirely false 48
says in his concluding paper 87
scar on his shoulder where 50
sealing of all benefits thereof 48
sealing of its original shape 64
seed of god sparkled about 46
seed of his servants shall 65
seeing in this wondrous change 50
seem to fit squarely within 48
seem to him specially worthy 72
seem to let politics engage 129
seen as two parallel lines 46
seen in any situation where 42
seen in his comments about 60
seen in its broadest sense 97
seen in its original place 58
seen in its original setting 68
seen in its original state 383
seen in its pristine glory 42
seen in this beautiful woman 337
seen of this province seems 129
seen on this eventful morning 49
seen the dead conveyed within 59
seen the old soldiers climb 88
sees he may possibly doubt 52
sees is that splendid piece 59
sees the old sunburst shine 57
sell at each possible price 94
sell it for whatever price 276
send the fat chaplain packing 170
send us any comments about 59
send us one original proof 689
sent in for discount shall 57
sent to any threatened point 42
sent to his maternal uncle 71
sets in that assigned order 42
sets of two parallel lines 135
sets up for despotic power 54
ship of this squadron begin 48
shop on that saturday evening 71
show me that happiest place 47
show us any isolated basic 54
shut up and confined within 75
side of and slightly above 61
side of and slightly below 71
side of any business which 44
side of each positive plate 40
side of her companion where 53
side of her loosened sarong 46
side of her wretched couch 46
side of his schooner shaking 46
side of its metallic front 108
side of its sheltering hills 56
side of our colloquy began 42
side of this beautiful river 49
side of this beautiful sheet 109
side of this mountain chain 49
