safe from detection while you 41
said lady catherine about this 156
said last mentioned point being 52
said nothing publicly about his 46
said nothing whatever about any 63
said nothing whatever about him 63
said nothing whatever about his 55
said their husbands would not 45
same cost recovery method and 44
same good treatment which they 83
same high interest rates that 93
same loving speeches which her 97
same time elevated above all 94
same time everyone knows that 90
says nothing whatever about any 52
says nothing whatever about his 48
says nothing whatever about this 46
says these indirect harms are 55
seeing what robinson crusoe saw 46
seek their fortunes could not 43
seem very positive about that 53
seen lady montague pleading for 43
seen those treasures which they 59
seen your salvation which you 145
sell their products rather than 44
sell their products where they 66
send their children thither for 51
send their children where they 123
send your comments about this 1499
send your telegram within ten 78
sent back pictures showing that 73
sent into internal exile and 57
sent into internal exile for 86
sent their children thither for 115
sets forth detailed rules for 87
sets forth specific rules for 119
shed more innocent blood than 259
shoes were polished until they 49
show what sonorous metal lay 54
side into segments which are 79
single most compelling reason for 148
single most frequent reason for 134
single most powerful force for 64
sink into suicidal gloom and 62
slow down economic growth and 371
some cold porridge which had 94
some from captured ships and 83
some great calamity which was 62
some hard decisions about how 47
some hard questions about how 77
some hard questions about our 56
some hard questions about this 40
some have splendid fires and 55
some huge mountain whose top 179
some kind squabble about that 67
some less fiendish feeling than 81
some living creatures which are 89
some more definite reason for 41
some more intimate sense than 44
some more questions about her 44
some more questions about his 63
some more questions about that 42
some more salutary feeling than 66
some more suitable place for 52
some more suitable place than 43
some north american human and 50
some other activity rather than 44
some other articles which are 83
some other compelling reason for 234
some other compelling reason why 104
some other condition which may 67
some other consumer worse off 50
some other elements which are 60
some other locality where they 60
some other materials touch its 137
some other materials which are 48
some other military force than 94
some other passages which are 42
some other problems which are 74
some other questions which are 67
some other situation where they 48
some other suitable place and 41
some other suitable place for 97
some rash speeches which are 40
some such doubtful words and 83
some such powerful state was 43
some time doubtful which way 43
some very definite reason for 138
some very powerful reason that 313
some very powerful tools for 70
some very sensible people act 75
some very talented people who 63
soon find yourself looking for 41
speak more modestly about our 52
spot your mountain snows with 89
spring from enthusiasm rather than 49
star from collapsing under its 57
stay here secretly longer than 46
such high interest rates that 230
such high magnifying power that 47
such holy precepts could not 66
such last mentioned proof can 85
such like flattering words they 41
such male citizens shall bear 8794
such other authority would not 223
such other district judge who 79
such other security shall not 56
such poor financial shape that 90
such pure assertion never can 43
suit their personal needs and 152
suit their specific needs and 187
suit your personal needs and 175
suit your personal style and 44
suit your specific needs and 155
sums when compared either with 56
sure bill spitfire never did 55
sure what happened after that 343
sure your lordship would not 136
swinging their hammocks under her 66
