saddest figure i know of 60
samples covering a range of 78
samples showed a range of 40
scanned through a range of 60
schools across a range of 41
schools became a part of 146
schools offering a range of 41
schools played a part in 53
schools played a role in 73
science became a kind of 48
science became a means of 56
science became a part of 78
science played a part in 40
science played a role in 74
scratch through a drop of 343
scripts covering a range of 66
scrolling through a list of 308
searched through a pile of 215
searches through a list of 143
seconds before i heard the 96
sections through a part of 41
secured through a hole in 42
seemingly without a care in 536
servant carrying a tray of 106
service allows a user to 182
service became a part of 105
service became a sort of 44
service before a break in 59
settled before i came on 44
settled without a word of 68
several evenings a week at 156
several evenings a week in 164
several evenings a week to 240
several mornings a week at 40
several mornings a week in 42
several mornings a week to 91
several nights a week as 138
several nights a week at 447
several nights a week he 58
several nights a week in 434
several nights a week on 81
several nights a week or 70
several nights a week to 297
several points i want to 98
several points i wish to 79
several reasons i think it 48
several visits i made to 89
shelter behind a pile of 96
shelter behind a wall of 51
shillings sterling a month if 58
shortly became a dome of 60
shortly before i came to 304
shortly before i left it 47
shortly before i left the 453
shortly before i left to 69
shortly before i went to 376
shuffle through a pile of 100
shuffling through a pile of 180
shuffling through a sheaf of 84
signals through a wire or 57
silence seemed a part of 81
similar across a range of 164
sincere desire i have of 40
sincere desire i have to 60
slavery became a part of 60
slavery played a role in 45
sleeves without a sign of 106
slipped behind a bank of 55
slipped behind a pile of 68
slipped behind a tree to 82
slipped through a break in 51
slipped through a hole in 904
slipped through a slit in 98
slipped through a slot in 58
smoothly across a line of 43
society became a part of 58
society become a part of 59
society become a sort of 174
society played a part in 63
society played a role in 108
society through a range of 61
soldier carrying a pair of 99
solution through a plug of 68
someday become a part of 75
somehow became a part of 76
somehow become a kind of 46
somehow become a part of 356
somehow played a part in 136
somehow played a role in 134
somehow seemed a wrong to 89
soundings showed a depth of 44
sources played a role in 45
southern breeze a gust of 50
species across a range of 88
species attain a length of 274
species reached a length of 67
species reaches a length of 678
species without i have the 52
specify whether a file is 46
squeeze through a hole in 119
squeezing through a hole in 46
started planning a trip to 85
stations behind a bush of 40
statute imposing a duty on 64
steadily devote a part of 46
steadily through a pipe of 55
stepped around a pile of 116
stepped behind a tree to 114
stepped through a break in 52
stepped through a door in 55
stepped through a hole in 104
stepped through a range of 53
stopped before a door at 66
stopped before a door in 135
stopped before a door of 49
stopped before a door on 63
stopped before a pair of 146
stopped before a pile of 70
stopped behind a line of 67
stopped behind a tree to 56
stopped beside a pile of 51
stories became a part of 86
stories become a part of 75
stories before i went to 59
streamed through a hole in 118
streets without a soul to 67
strolling through a park in 81
studied across a range of 53
studied through a pair of 67
studies across a range of 269
studies became a part of 71
studies covering a range of 161
studies report a range of 41
studies showed a lack of 78
stuffed inside a pair of 47
subject before i came to 56
subject without a word of 173
subject without a word on 107
subject without a word or 67
subsist without a body of 94
subsist without a form of 66
success across a range of 69
suffering through a bout of 54
support across a range of 138
support played a role in 58
surface through a hole in 140
symbols become a part of 41
systems across a range of 115
systems covering a range of 46
systems enable a user to 47
systems permit a user to 45
systems played a role in 48
