sea struck thunderously at her 77
so another possibility is that 45
so clearly detrimental to his 58
so clearly distinguished as they 54
so clearly established as that 68
so entire satisfaction as was 45
so firmly established as not 124
so firmly established as that 208
so firmly established as was 72
so firmly established by his 47
so firmly established in all 117
so firmly established in bad 61
so firmly established in her 41
so firmly established in his 248
so firmly established in its 61
so firmly established in our 315
so firmly established in this 200
so greatly contributed to his 108
so greatly contributed to its 93
so greatly contributed to our 48
so greatly contributed to this 78
so greatly distinguished by that 91
so highly distinguished by his 94
so highly recommended by his 48
so highly recommended to him 47
so kindly contributed to this 68
so lately indifferent to our 44
so lately volunteered to him 49
so little apprehension of any 152
so little concurrence of his 92
so little concurrence on his 49
so little consequence as not 45
so little consequence as they 90
so little consequence in her 48
so little consequence to any 67
so little consequence to her 57
so little consequence to him 109
so little consequence to you 56
so little opportunity to hear 43
so little opportunity to see 52
so little opportunity to use 54
so little probability of his 47
so little resemblance to any 147
so little resemblance to each 93
so little resemblance to her 47
so little resemblance to his 88
so little resemblance to its 45
so little resemblance to our 106
so little resemblance to that 73
so little satisfaction in his 42
so little susceptible of that 120
so little understanding of her 57
so little understanding of his 142
so little understanding of how 113
so little understanding of its 106
so little understanding of this 42
so little voluntarily to say 108
so obliging occasionally to put 104
so severe prosecutions as you 54
so wholly inattentive to one 56
so widely distributed in all 59
so widely distributed in this 65
so wisely established by our 43
