sack of rome took place 57
safe to leave your bitch 260
safe to stay there longer 66
said an angel from heaven 57
said as much last night 132
said as much many times 99
said at least five times 45
said at least three times 218
said at their last meeting 180
said at their next meeting 49
said he felt good about 80
said he felt like hitting 84
said he felt very badly 41
said he felt very sorry 77
said he knew just where 72
said he knew more about 256
said he knew nothing about 4505
said he knew some people 115
said he knew there would 63
said he made more money 68
said he must have fresh 66
said he must have horse 43
said he must have taken 60
said in great good humor 46
said in high good humor 70
said in their very words 68
said in these days about 215
said in these very words 78
said in those days about 65
said in very clear terms 66
said it knew nothing about 55
said it made more sense 53
said it must have taken 59
said my wife next morning 40
said of late years about 160
said of many other kinds 61
said of many other parts 137
said of some other cases 47
said or done during equal 221
said so much more about 47
said so these three months 51
said so when your doors 54
said the best plan would 63
said the daring young swiss 58
said the last four words 42
said the last three words 256
said the last word about 889
said the lord took sides 40
said the lord unto isaiah 336
said the lord unto moses 613
said the next step would 65
said the other boys would 47
said the other young woman 48
said the poor young woman 84
said the same deep voice 52
said the slow soft voice 61
said the very same words 222
said the young girl sadly 129
said to come back again 241
said to come from above 109
said to come from basal 43
said to come from china 82
said to come from egypt 46
said to come from ethiopia 45
said to come from heaven 119
said to come from within 73
said to date from about 797
said to date from roman 64
said to fall from heaven 70
said to hate holy water 156
said to have also taken 47
said to have been abbot 447
said to have been about 3762
said to have been above 281
said to have been acted 609
said to have been acute 52
said to have been added 1369
said to have been adept 45
said to have been after 254
said to have been again 210
said to have been aided 322
said to have been aimed 283
said to have been alike 123
said to have been alive 224
said to have been alone 104
said to have been amply 68
said to have been angelo 72
said to have been anything 184
said to have been armed 353
said to have been arthur 53
said to have been asked 729
said to have been author 100
said to have been aware 392
said to have been badly 300
said to have been baked 46
said to have been based 3038
said to have been beaten 589
said to have been begun 2283
said to have been below 60
said to have been biased 42
said to have been binding 141
said to have been black 172
said to have been blind 757
said to have been blown 422
said to have been bored 48
said to have been borne 506
said to have been bound 656
said to have been brave 98
said to have been built 35996
said to have been burning 73
said to have been burnt 2959
said to have been cared 48
said to have been ceded 118
said to have been chief 280
said to have been cited 82
said to have been clerk 54
said to have been close 634
said to have been coeval 231
said to have been comic 71
said to have been count 41
said to have been cruel 140
said to have been cured 1937
said to have been daily 285
said to have been dated 339
said to have been drawing 114
said to have been drawn 4477
said to have been dried 61
said to have been driving 86
said to have been drunk 1020
said to have been duped 47
said to have been earned 321
said to have been easily 72
said to have been eight 779
said to have been either 2078
said to have been empty 45
said to have been ended 107
said to have been equal 636
said to have been every 43
said to have been faced 73
said to have been false 91
said to have been famed 67
said to have been fatal 176
said to have been father 142
said to have been fifty 782
said to have been filed 102
said to have been fined 216
said to have been finer 45
said to have been fired 1111
said to have been first 29826
said to have been fixed 877
said to have been flown 95
said to have been forty 571
said to have been found 33716
said to have been freed 147
said to have been fully 3520
said to have been fused 56
said to have been george 184
said to have been getting 55
said to have been giants 51
said to have been given 19476
said to have been grand 170
said to have been grave 40
said to have been greek 109
said to have been growing 215
said to have been grown 510
said to have been hanged 629
said to have been happy 331
said to have been harsh 83
said to have been hasty 80
said to have been headed 164
said to have been healed 309
said to have been healthy 200
said to have been heaped 58
said to have been heated 55
said to have been henry 104
said to have been hired 243
said to have been holding 103
said to have been homer 52
said to have been human 120
said to have been hunting 46
said to have been irish 78
said to have been jacob 69
said to have been james 105
said to have been known 2890
said to have been lacking 163
said to have been laden 62
said to have been large 398
said to have been later 320
said to have been leader 48
said to have been leased 64
said to have been liable 49
said to have been light 99
said to have been lined 158
said to have been lived 76
said to have been longer 44
said to have been looking 172
said to have been loved 206
said to have been lower 54
said to have been lucky 62
said to have been lured 95
said to have been major 47
said to have been mined 277
said to have been missing 90
said to have been mixed 498
said to have been moses 44
said to have been mother 46
said to have been moved 1202
said to have been named 5834
said to have been nearly 1438
said to have been never 242
said to have been newly 161
said to have been noble 51
said to have been noted 341
said to have been often 702
said to have been older 77
said to have been owned 792
said to have been parts 61
said to have been passing 263
said to have been paved 127
said to have been peering 45
said to have been pending 61
said to have been people 64
said to have been peter 97
said to have been piled 92
said to have been plain 131
said to have been plato 77
said to have been playing 220
said to have been pleasing 249
said to have been privy 120
said to have been proof 43
said to have been prose 57
said to have been proud 194
said to have been queen 208
said to have been quick 67
said to have been quiet 85
said to have been quite 4771
said to have been raped 224
said to have been rapid 61
said to have been rated 73
said to have been rather 1101
said to have been razed 76
said to have been really 779
said to have been reared 531
said to have been right 227
said to have been roman 128
said to have been rough 51
said to have been round 56
said to have been rowed 91
said to have been ruled 538
said to have been running 119
said to have been saved 1653
said to have been sealed 181
said to have been seated 274
said to have been seeking 71
said to have been selling 66
said to have been seven 1295
said to have been short 382
said to have been shown 1000
said to have been simon 57
said to have been since 233
said to have been singled 51
said to have been sired 119
said to have been sitting 176
said to have been sixty 856
said to have been slain 7984
said to have been small 441
said to have been sound 59
said to have been speaking 76
said to have been spent 1339
said to have been split 163
said to have been spread 223
said to have been sprung 58
said to have been staying 99
said to have been stern 52
said to have been still 1947
said to have been strong 222
said to have been sweet 43
said to have been swept 280
said to have been sworn 112
said to have been taken 16277
said to have been talking 52
said to have been tamed 61
said to have been teaching 86
said to have been thinking 63
said to have been thirty 988
said to have been thomas 140
said to have been thrice 45
said to have been thrown 2587
said to have been thrust 83
said to have been total 48
said to have been tried 963
said to have been truly 637
said to have been tutor 165
said to have been twice 860
said to have been under 4210
said to have been uneasy 87
said to have been upset 99
said to have been urged 275
said to have been usual 86
said to have been voted 62
said to have been vowed 64
said to have been waged 103
said to have been waiting 146
said to have been walking 84
said to have been wanting 228
said to have been wealthy 93
said to have been where 148
said to have been white 191
said to have been willing 408
said to have been wiped 198
