sea now 66 sea low 51
sea all 46 sea two 60
sea way 80 sea death 1377
sea death 839 sea its 52
sea ice 148 sea and 118
sea her 62 sea they 52
sea and 46 sea her 113
sea for 48 sea own 41
sea for 40 sea his 54
sea this 95 sing song 133
sing one 86 sing way 113
sing long 53 sing are 64
sing for 43 sing joy 44
sing war 46 sing are 141
sing song 202 sing and 125
sing for 76 sing that 172
sing they 54 sing with 77
sing had 50 sing are 67
sing had 79 sing for 47
so you 43 so for 43
so all 51 so who 51
so its 52 so but 51
so not 166 so are 40
so are 98 so are 40
so can 41 so not 45
so they 72 so you 53
so her 205 so him 76
so his 70 so them 175
so this 84 so you 54
so got 50 so had 72
so was 97 so all 94
so are 107 so got 61
so had 100 so off 115
so can 83 so did 259
so had 393 so was 545
so was 231 so are 196
so can 218 so did 145
so had 307 so say 72
so all 57 so are 87
so can 513 so one 88
so they 77 so all 144
so each 442 so her 982
so his 1799 so its 256
so one 287 so our 436
so that 200 so this 98
so let 65 so not 61
so god 41 so his 41
so that 85 so them 97
so get 47 so all 105
so any 48 so each 59
so they 118 so this 60
so you 1513 so are 195
so are 628 so buy 53
so can 211 so get 296
so read 63 so use 87
so are 62 so one 262
so she 41 so they 47
so act 65 so are 482
so can 177 so had 192
so all 52 so air 340
so earth 65 so are 58
so are 53 so are 280
so can 409 so add 74
so ask 120 so cut 49
so get 161 so let 51
so put 53 so say 54
so try 140 so use 255
so not 45 so head 146
so and 90 so ill 91
so sat 52 so and 211
so with 297 so his 56
so his 92 so own 44
so his 122 so his 125
so way 100 so his 122
so his 54 so all 112
so her 40 so his 157
so one 226 so his 211
so one 61 so two 75
so son 51 so that 100
so all 116 so his 163
so one 40 so head 50
so own 53 so his 319
so not 202 so not 185
so her 44 so him 44
so them 52 so his 86
so and 128 so his 46
so his 183 so eye 167
so head 158 so own 101
so seat 45 so way 156
so how 57 so had 265
so was 1377 so his 231
so she 515 so they 500
so this 106 so was 57
so had 76 so was 60
so head 104 so and 200
so with 86 so and 58
so with 71 so car 52
so job 57 so own 49
so seat 40 so son 42
