sales less sales returns and 133
saved from worse straits than 48
scene took place between him 288
scene took place between them 160
search these eight volumes with 90
seems also quite certain that 41
seize upon every pretext for 42
selling girl scout cookies and 57
sends down septa between its 50
sends home eight reports per 75
setting their faces against all 42
setting their faces against any 47
setting their faces against them 70
seven days either appoint him 62
seven days seven priests with 42
seven when george willard was 49
seven years after receiving his 43
seven years later because one 43
seven years would conquer them 40
shall also reign together with 112
shall draw sword against our 42
shall have ample leisure and 54
shall have equal justice with 202
shall have every comfort and 46
shall have first applied for 132
shall have thirty thousand men 101
shall have twice rounded her 49
shall more fully discuss this 87
shall soon again possess our 57
shall speak again together and 52
shall take place between her 50
shall take place between them 110
share some basic features with 42
share their inner thoughts and 89
sharing your email account with 65
shift from hunting animals and 60
shine like stars forever and 118
ships were badly damaged and 104
ships were badly handled and 62
shook their slack behinds and 68
shore life which strikes one 45
short blue tunic quilted and 41
short time after receiving his 59
short time after receiving this 206
short time taken totally new 44
showing good cause therefor and 179
sides will rebel against this 47
signs take shape between them 43
since adam would outlast one 83
since been growing stranger and 82
since last night adopted any 65
since many people believe that 277
since most people believe that 188
since only small amounts are 72
since some people believe that 103
since their first contact with 368
since their first descent out 86
singers like frank sinatra and 71
sites into which foreign dna 46
sitting very close together and 46
sixty days after service has 151
skies were never stained with 63
sleep into which fatigue and 45
small body which opposed them 87
small open space covered with 61
small spot could furnish men 63
smoke from burning buildings and 138
social unit whose members are 48
soever these first efforts may 68
spend many hours preparing for 60
spend more money because they 42
spend their lives preparing for 56
spend their lives together and 84
spend their money quickly and 48
spend time getting familiar with 58
spent many hours observing and 54
spent many hours preparing for 119
spent many hours reviewing and 73
spent many hours together and 255
spent their lives happily and 163
spent their lives preparing for 54
split into rival factions and 114
split into small parties and 170
split into warring factions and 98
split their votes between two 59
sprung from human weakness and 58
stage upon which tragedy has 95
stair down which wilfred had 41
stand like saint francis and 52
stars like frank sinatra and 53
stars were shining outside and 68
start some white machine that 74
state from civil society and 75
state into which affairs had 57
state laws which provide for 170
state laws which require that 116
steel their hearts against all 136
stems from george herbert mead 41
steps were taken against him 372
steps were taken against them 586
steps were taken towards his 65
steps were taken towards its 163
steps were taken towards that 62
steps were taken towards this 205
still feel pride because they 42
still more rapid decrease was 68
still three times stronger than 63
stock from which discord has 88
stood firm round halifax and 175
stood four hours together for 48
stood there quite upright and 41
stood very close together and 42
store what could advancing age 314
story none could surpass him 43
stream over which congress has 44
strong hold which religion has 68
strong will bound together his 57
stuff from which legends are 181
stuff from which martyrs are 117
suits were filed against him 84
sweet wine shall contain not 63
swell came rolling forward and 40
