sac formed by the dilation 67
sad damper to my romance 50
sad gathering at the hawkins 60
sad moment in the history 58
sad plight of the country 52
sad plight of the muslims 42
sad reality of the present 45
sad relics of the ancient 71
sat around in the kitchen 330
sat around on the benches 66
sat beside me in silence 89
sat drinking in the kitchen 75
sat floating on the surface 41
sat knitting in the chimney 45
sat knitting in the warmest 202
sat watching by the bedside 60
saw another of the objects 45
saw around me the features 41
saw before me an immense 89
saw before me the formula 140
saw before me the shadows 49
saw before on the shelves 52
saw before us the forests 70
saw browsing on the stunted 85
saw charms in the gallant 74
saw clearly to be unsound 72
saw clouds on the horizon 79
saw combat in the pacific 195
saw dwelling by the northern 44
saw earlier in the chapter 3032
saw earlier in the example 80
saw enough of the country 75
saw floating on the surface 55
saw framed in the doorway 78
saw itself as the champion 120
saw itself as the guardian 251
saw itself as the natural 155
saw itself as the nucleus 45
saw itself as the vanguard 138
saw lights in the cottage 75
saw lights in the windows 249
saw little of the captain 118
saw little of the country 266
saw little of the horizon 48
saw little of the outside 40
saw little of the scenery 133
saw little of the society 58
saw little or no company 62
saw myself in the bathroom 42
saw myself in the position 74
saw placed at the windows 149
saw preaching in the squares 49
saw someone in the doorway 43
saw someone in the shadows 43
saw something in the shadows 77
saw something of the country 171
saw something of the wandering 41
saw something on the horizon 166
saw something on the surface 63
saw standing in the doorway 291
saw struck me as perhaps 58
saw timber in the country 43
say enough on the subject 44
say further on the subject 375
say little on the subject 677
say little to the purpose 79
say misery is the closest 128
say something at the beginning 43
say something at the funeral 89
say something in my defense 129
say something in the following 197
say something in the language 58
say something of my answers 51
say something of my roguish 46
say something of the ability 130
say something of the country 57
say something of the effects 112
say something of the following 149
say something of the general 214
say something of the greatest 43
say something of the history 249
say something of the language 57
say something of the manners 88
say something of the motives 40
say something of the origins 54
say something of the position 69
say something of the present 92
say something of the relation 73
say something of the several 95
say something on the general 78
say something on the occasion 143
say something on the question 236
say something on the relation 46
say something on the subject 4385
say something to my husband 45
say something to my parents 44
say something to the captain 92
say something to the following 169
say something to the general 60
say something to the increasing 40
say something to the parents 47
say something to the patient 95
say something to the purpose 344
say whether he is referring 46
say whether it be risible 42
say whether it is because 54
say whether it is correct 143
say whether it is genuine 71
say whether it is present 40
seat belonging to the marquis 46
see anyone in the hallway 46
see anyone on the horizon 47
