seeking a necklace like the 55
seeking a reprieve from the 123
seeking a response from the 104
seeking a specific type of 73
seeks a response from the 61
seems a confused mass of 47
seems a harmless sort of 48
seems a hopeless task to 431
seems a paradise when we 58
seems a sensible part of 83
seems a sensible sort of 42
seems a splendid time to 78
seems a suitable time to 68
seems a thankless task to 83
selling a complete line of 127
selling a specific good or 158
sells a complete line of 331
sells a complete range of 41
sending a constant flow of 46
sending a messenger ahead to 57
sending a messenger back to 66
sending a powerful army to 64
sending a powerful body of 46
sending a response back to 81
sending a squadron into the 135
sending a telegram from the 45
sends a complete copy of 69
sends a response back to 424
serve a critical role in 468
serve a positive role in 141
serve a specific role in 44
serve a specific type of 50
serve a valuable role as 62
serve a valuable role in 317
setting a definite term to 42
shaking a clenched fist at 93
shaking a clenched fist in 49
shall i describe what we 75
share a critical view of 147
share a negative view of 46
share a positive view of 44
shewn a kindness more to 67
shine a penlight into the 56
shining a penlight into the 55
shone a flickering gleam of 42
shook a clenched fist at 122
shook a clenched fist in 71
short a distance from it 83
short a distance from the 2147
short a distance from us 86
short a distance into the 60
showing a cellular theory of 55
showing a complete lack of 350
showing a complete line of 88
showing a complete list of 111
showing a constant rate of 70
showing a detailed view of 54
showing a distinct lack of 130
showing a sectional view of 90
showing a surprising lack of 44
showing a surprising turn of 40
shown a complete lack of 348
shown a complete list of 41
shown a decreased rate of 53
shown a decreased risk of 67
shown a definite lack of 45
shown a distinct lack of 146
shown a dramatic rise in 76
shown a kindness more to 43
shown a response rate of 78
shown a sectional view of 389
shown a surprising lack of 161
shown a telegram from the 58
shows a beautiful play of 77
shows a circular loop of 62
shows a complete lack of 3095
shows a complete list of 923
shows a complete loss of 225
shows a complete range of 49
shows a complete view of 59
shows a complete want of 56
shows a computer plot of 63
shows a constant rate of 358
shows a definite lack of 320
shows a definite line of 42
shows a detailed list of 86
shows a detailed plot of 41
shows a detailed view of 1056
shows a distinct drop in 58
shows a distinct lack of 547
shows a distinct line of 63
shows a distinct loss of 47
shows a distinct rise in 47
shows a disturbing lack of 61
shows a dramatic drop in 114
shows a dramatic fall in 45
shows a dramatic rise in 302
shows a fragment from the 63
shows a gradation from the 56
shows a modified form of 290
shows a movement from the 60
shows a narrower range of 57
shows a pictorial view of 259
shows a possible form of 113
shows a possible road by 56
shows a posterior view of 76
shows a profound lack of 206
shows a reduction from the 56
shows a relative lack of 117
shows a sectional plan of 74
shows a sectional view of 4029
shows a selected list of 68
shows a selection from the 77
shows a shameful lack of 45
shows a skeleton view of 41
shows a snapshot from the 52
shows a specimen from the 131
shows a standard form of 111
shows a standard type of 105
shows a straight line in 46
shows a straight line of 52
shows a suitable form of 327
shows a suitable type of 55
shows a surprising lack of 266
shows a terrible lack of 46
shows a thumbnail view of 62
shows a vertical line of 48
shows a vertical view of 81
since a criminal trial is 61
since a military coup in 74
since a numerous body of 119
since a sentence such as 40
since a straight line is 188
since i honestly think it 58
since i resigned from the 55
since i returned from my 300
since i returned from the 602
since i returned home to 42
small a distance from the 342
small g proteins such as 55
smoke a moderate pipe on 71
solve a specific type of 166
solving a specific type of 109
sound a sufferer made by 83
spend a lifetime living in 41
spend a lifetime trying to 1582
spent a laborious life in 70
spent a lifetime among the 95
spent a lifetime trying to 2394
spoke a cheerful word to 48
spoke a friendly word to 89
sprang a surprise upon the 78
stage a military coup in 54
staging a military coup in 46
stamp a contract made in 43
start a business from the 56
start a rebellion among the 47
state a dominant role in 51
state a monopoly over the 44
state a specific date of 176
state i remained till the 171
stick a toothpick into the 70
still a bachelor when he 111
still a blundering kind of 159
still a challenging task to 43
still a complete lack of 75
still a confused mass of 41
still a critical part of 143
still a distance from the 176
still a distinct lack of 56
still a dominant form of 58
still a dominant part of 63
still a dominant theme in 68
still a favorite among the 119
still a favorite form of 46
still a favorite theme of 48
still a frontier town in 48
still a fugitive from the 92
still a functioning part of 53
still a helpless baby at 43
still a minority among the 163
still a potential threat to 145
still a powerful means of 50
still a powerful tool in 55
still a practice among the 42
still a prisoner when he 64
still a relative dearth of 65
still a relative lack of 87
still a standard part of 55
still a standard text in 47
still a standard work in 71
still a standard work of 129
still a standard work on 321
still a sufferer from the 55
still a surprising lack of 86
still a teenager when he 300
still a teenager when the 44
still a tradition among the 53
still a valuable means of 71
still a valuable part of 118
still a valuable tool in 89
still a valuable work of 54
still i conclude there is 40
stock a complete line of 426
stock a complete range of 49
stole a sideways look at 124
stole a sidewise look at 87
stood a distance from the 75
store a complete copy of 165
strong a tendency even to 105
stuck a toothpick into the 43
study a specific type of 88
style a standard must be 84
sweet a prospect into the 487
