sad as night only for 301
sad at parting from her 63
sad at parting from its 56
sad at parting from you 55
sad the hearer well may 44
sang in heaven when she 45
sang the hours when she 43
sang the title role and 92
sang the title role with 73
sang the words over and 73
sang the world into being 49
sap of trees when they 47
sat in state upon his 67
sat on either side and 83
sat so easily upon him 58
sat so neatly upon her 65
sat the glass down and 66
sat the whole time with 135
sat up talking till two 65
sat up until late that 44
saw an apple fall and 96
saw at every step that 56
saw at first hand and 44
saw at first hand how 320
saw at first hand that 200
saw at first nothing but 60
saw in later life that 80
saw in which there was 54
saw it again just now 51
saw it every time she 70
saw it fifty years ago 354
saw it forty years ago 137
saw it growing more and 53
saw it quite like that 47
saw it right away and 57
saw it thirty years ago 169
saw it would know that 99
saw king david leaping and 706
saw me right away and 89
saw me sitting there and 166
saw me sitting there with 110
saw me would think ill 53
saw my father come out 104
saw my father coming out 45
saw my father lose his 41
saw my mother crying and 41
saw my mother look old 112
saw my mother stop her 52
saw my mother when she 99
saw my trunk come out 41
saw no lover among them 40
saw no motion among them 193
saw no option other than 76
saw the awful face and 46
saw the birds trip out 83
saw the black fist swing 106
saw the black hulk lying 110
saw the blood come out 163
saw the blood coming out 156
saw the blood from his 40
saw the blood oozing out 118
saw the blood upon his 59
saw the bonny city lie 48
saw the brave youth lying 43
saw the burning bush and 125
saw the change coming and 54
saw the child when she 40
saw the clerk coming out 93
saw the color come and 67
saw the color leave her 88
saw the color leave his 58
saw the crowd give way 54
saw the danger ahead and 56
saw the devil leave him 84
saw the doors open and 118
saw the empty tomb and 100
saw the enemy come out 147
saw the enemy coming out 93
saw the enemy give way 53
saw the evening star set 111
saw the filthy mass that 182
saw the first door with 107
saw the first sign for 52
saw the first sign that 94
saw the first time one 69
saw the first time you 83
saw the flash from his 47
saw the front door was 121
saw the funny side and 178
saw the gates open and 48
saw the gleaming eyes and 49
saw the growing need for 54
saw the human race led 52
saw the large drop that 52
saw the light during his 72
saw the light from her 44
saw the light from his 103
saw the light grow dim 43
saw the light till all 48
saw the linen cloth lying 58
saw the morning star and 60
saw the nurse coming out 41
saw the people come out 125
saw the people coming and 55
saw the people coming out 376
saw the pilot bail out 127
saw the pilot bale out 104
saw the place afar off 2643
saw the plain truth and 51
saw the plane take off 109
saw the punch coming and 61
saw the queen give her 131
saw the quick rise and 92
saw the ranks open and 48
saw the rapid rise and 89
saw the risen lord and 44
saw the ruddy moon lean 255
saw the smile leave his 43
saw the smoke coming out 566
saw the smoke from her 86
saw the smoke from his 127
saw the smoke from our 51
saw the smoke rising and 57
saw the stars come out 203
saw the steady rise and 55
saw the storm coming and 189
saw the table laid for 118
saw the train coming and 47
saw the train move off 175
saw the train pull out 126
saw the truck coming and 58
saw the vital need for 47
saw the water spring out 54
saw the wench wringing her 53
saw the white face and 89
saw the white flag and 69
saw the white hair and 53
saw the whole length and 40
saw the woman come out 266
saw the woman turn her 49
saw the words come out 50
saw the world from his 49
saw us sitting there and 50
say at first there was 83
say at times like that 40
