sat singing by a sycamore 232
saw but at a distance 41
saw death of a salesman 99
saw her as a beautiful 156
saw her as a challenge 85
saw her as a dangerous 43
saw her as a possible 51
saw her as a potential 148
saw her at a distance 1324
saw her in a handsome 49
saw her in a luminous 42
saw her on a saturday 42
saw him as a brilliant 78
saw him as a challenge 81
saw him as a criminal 41
saw him as a dangerous 324
saw him as a defender 67
saw him as a dictator 48
saw him as a handsome 75
saw him as a liability 55
saw him as a moderate 51
saw him as a nuisance 47
saw him as a possible 285
saw him as a potential 676
saw him as a powerful 84
saw him as a prisoner 40
saw him as a romantic 92
saw him as a valuable 103
saw him as a visionary 50
saw him at a distance 3587
saw him at a reception 61
saw him in a condition 42
saw him in a corridor 41
saw him in a hospital 48
saw him in a madhouse 51
saw him in a somewhat 45
saw may be a daughter 64
saw one at a distance 90
saw one at a fountain 54
saw one in a cemetery 41
saw one of a somewhat 72
saw that as a challenge 47
saw that as a positive 58
saw that at a distance 45
saw them as a challenge 107
saw them as a dangerous 44
saw them as a nuisance 49
saw them as a possible 83
saw them as a potential 189
saw them as a valuable 83
saw them at a distance 898
saw them in a christian 44
saw them on a saturday 65
saw things at a distance 46
saw this as a betrayal 627
saw this as a challenge 1008
saw this as a conflict 73
saw this as a critical 98
saw this as a dangerous 169
saw this as a decisive 48
saw this as a definite 49
saw this as a distinct 45
saw this as a negative 92
saw this as a personal 180
saw this as a positive 1039
saw this as a possible 293
saw this as a potential 538
saw this as a powerful 49
saw this as a rejection 82
saw this as a response 48
saw this as a situation 40
saw this as a strategy 67
saw this as a suitable 41
saw this as a symbolic 40
saw this as a terrible 46
saw this as a valuable 43
saw you at a distance 194
saw you on a beautiful 45
say now on a saturday 79
say she is a beautiful 53
say that as a christian 220
say that as a litigant 73
say that at a distance 68
say that if a christian 120
say that if a majority 91
say that in a hospital 59
say that in a majority 169
say that in a negative 49
say that in a positive 43
say that in a sentence 85
say that in a situation 225
say that in a socialist 43
say that in a specific 41
say that on a specific 60
say this as a minister 381
say this as a reproach 135
say this in a boastful 48
say this in a critical 53
say this is a beautiful 45
say this is a business 52
say this is a dangerous 50
say this is a surprise 90
say this is a terrible 50
say this is a terribly 43
say yes to a proposal 65
say you be a countess 84
see death of a salesman 282
see her as a beautiful 102
see her as a challenge 47
see her as a daughter 59
see her as a feminist 58
see her as a murderer 40
see her as a possible 67
see her as a potential 149
see her as a princess 64
see her as a separate 132
see her as a straight 51
see her at a distance 396
see her in a hospital 45
see her in a separate 96
see her in a situation 144
see her on a saturday 106
see him as a brilliant 83
see him as a christian 150
see him as a complete 53
see him as a criminal 145
see him as a curiosity 54
see him as a dangerous 94
see him as a defender 59
see him as a follower 40
see him as a handsome 75
see him as a liability 44
see him as a murderer 179
see him as a positive 47
see him as a possible 147
see him as a potential 645
see him as a powerful 73
see him as a prisoner 95
see him as a religious 68
see him as a romantic 81
see him as a separate 108
see him as a somewhat 55
see him as a valuable 47
see him as a visionary 50
see him at a distance 553
see him in a business 74
see him in a condition 80
see him in a hospital 92
see him in a positive 57
see him in a romantic 41
see him in a situation 140
see him on a business 55
see him on a friendly 43
see him on a personal 84
see him on a saturday 80
see men of a contrary 125
see that as a betrayal 47
see that as a challenge 116
see that as a negative 265
see that as a positive 149
see that as a possible 61
see that as a potential 104
see that as n increases 193
see that as x increases 42
see that at a distance 84
see that if a minister 49
see that in a majority 42
see that in a situation 64
see them as a challenge 174
see them as a coherent 49
see them as a complete 43
see them as a distinct 60
see them as a nuisance 77
see them as a positive 63
see them as a possible 54
see them as a potential 445
see them as a resource 54
see them as a response 53
see them as a separate 98
