sad lydia 47 sad door 71
saw coming 115 saw life 75
saw from 47 saw till 42
say been 115 say been 50
say three 41 say kind 80
say these 46 say work 70
say make 87 see such 209
see from 95 see give 297
see from 63 see were 49
set other 69 set other 407
set other 823 set other 61
set done 49 sex love 96
she tears 45 she tears 434
she wept 43 she time 42
she well 75 she your 40
she from 49 she more 88
she these 53 she tears 92
she been 46 she been 105
she more 84 she view 94
she nothing 43 she into 87
she tears 136 she back 89
she into 50 she been 1135
she come 482 she done 260
she felt 146 she gone 269
she heard 55 she left 419
she lost 55 she made 68
she said 101 she seen 92
she sent 47 she told 89
she used 52 she worn 40
she crying 57 she what 70
she good 46 she food 74
she been 112 she been 81
she time 57 she time 291
she time 184 she been 161
she four 75 she tears 43
she from 45 she been 286
she died 60 she done 101
she else 105 she like 53
she love 76 she else 47
she days 42 she been 61
she told 40 she been 454
she been 203 she good 51
she when 55 she more 110
six were 42 six been 68
six rise 67 sky poor 72
