said as he straightened himself 42
said in an unconsciously caressing 75
said in my introductory chapter 50
said in my introductory remarks 289
said in the international language 118
said in the introductory chapter 593
said in the introductory remarks 203
said it is sufficiently evident 70
said of the relationships between 58
said of the subordination conducing 46
said so in unmistakable language 47
said to be conservative because 80
said to be considerably reduced 51
said to be diametrically opposed 100
said to be discriminating against 58
said to be electrically charged 147
said to be electrically excited 87
said to be electrically neutral 223
said to be geometrically similar 95
said to be harmonically related 87
said to be magnetically coupled 67
said to be objectionable because 50
said to be operationally defined 42
said to be particularly adapted 84
said to be particularly helpful 73
said to be particularly popular 55
said to be projectively related 43
said to be specifically lighter 41
said to be temperaments endowed 48
said to the disconsolate candide 46
sake of the intellectual element 90
sale of an agricultural product 48
sale of the agricultural produce 154
sale of the manufactured article 237
sale of the manufactured product 166
same as or substantially similar 257
same as the experimental results 43
same as the relationships between 86
same to be sufficiently lighted 79
says in the introductory chapter 67
seats in the parliamentary election 131
seem to be considerable support 45
seem to be considerable variation 47
seem to be considerably smaller 45
seem to be consistently present 93
seem to be consistently related 136
seem to be diametrically opposed 1718
seem to be economically feasible 52
seem to be insufficient grounds 60
seem to be particularly adapted 229
seem to be particularly alarmed 55
seem to be particularly bothered 91
seem to be particularly closely 87
seem to be particularly evident 64
seem to be particularly exposed 41
seem to be particularly favored 160
seem to be particularly harmful 46
seem to be particularly helpful 360
seem to be particularly popular 262
seem to be particularly promising 251
seem to be particularly related 113
seem to be particularly salient 91
seem to be particularly subject 122
seem to be particularly worried 106
seem to be similarities between 137
seem to be specifically related 111
seem to be structurally related 40
seem to be structurally similar 50
seem to be substantially correct 97
seem to be sufficiently evident 46
seem to be sufficiently general 52
seem to be sufficiently precise 43
seem to be sufficiently realized 51
seem to be sufficiently reliable 68
seem to be sufficiently similar 61
seen as an international problem 45
seen as an unsuccessful attempt 84
seen by the kaleidoscope inheres 52
seen in an international context 205
seen in the confrontation between 64
seen in the contradiction between 40
seen in the experimental animals 73
seen in the experimental results 274
seen in the histological sections 63
seen in the international context 61
seen in the introductory chapter 288
seen in the relationships between 237
seen in the similarities between 95
seen to be considerably reduced 40
seen to be considerably smaller 110
seen to be diametrically opposed 105
seen to be surmountable sharpen 46
seen to be transversely striated 41
sent to an agricultural college 114
sent to the agricultural society 178
sent to the confederation congress 61
sent to the international congress 79
sets of the parametrized overall 255
sets up an inflammatory process 68
ship to the disreputable captain 50
shot in an assassination attempt 541
side in the revolutionary contest 47
side of the communication channel 52
side of the communication equation 56
side of the communication process 137
side of the consolidated balance 252
side of the international balance 146
side of the international division 197
side of the international economy 41
side of the productivity equation 66
side of the revolutionary workers 68
sign of an inaccessibly superior 42
sign of an inflammatory process 62
singly or in considerable numbers 131
site of an inflammatory process 84
site of an international airport 91
site of the confrontation between 47
site of the inflammatory process 168
site of the international airport 136
site of the international society 73
sixth of the agricultural produce 48
size of the agricultural surplus 352
size of the amplification product 85
size of the communication between 136
size of the computational problem 95
size of the differentials between 55
size of the interference pattern 56
size of the international capital 65
size of the photographic emulsion 71
size of the relationships between 53
size of the tuberculosis problem 63
size of the unemployment problem 147
sold in the international markets 81
sold on the international markets 84
some of my conservative friends 54
some of the agricultural produce 71
some of the agricultural surplus 53
some of the agricultural workers 53
some of the alternatives offered 66
some of the apprehensions excited 80
some of the coincidences alleged 62
some of the coincidences between 41
some of the communicable diseases 353
some of the communication between 48
some of the complexities related 40
some of the computational aspects 107
some of the concentrated solution 47
some of the consequences resulting 117
some of the conservative critics 49
some of the conservative members 210
some of the consideration usually 47
