sales and profits will increase 97
salts are brought into solution 67
salts are usually more soluble 43
saved his country from invasion 82
scene for several musing minutes 50
scene that appeared more natural 154
scene was enacted only because 41
seamen and marines were wounded 44
search and seizure were illegal 68
search for general laws governing 93
seize and fortify these heights 89
selling her desires buys herself 88
sending and receiving data between 229
sending and receiving data packets 66
sending and receiving radio signals 169
serving and indulging their passions 43
seven new members were elected 93
shall all thoughts else survive 122
shall both rejoice there together 84
shall each receive five dollars 57
shall each receive four dollars 66
shall each receive three dollars 56
shall not absolve from loyalty 112
shall not discuss these matters 95
shall not gratify their lustful 131
shall not question those writers 132
shall not trouble your majesty 90
shall now discuss some aspects 47
shall now examine more closely 432
shall now examine what happens 46
shall now publish some letters 79
shall see marvels upon marvels 77
shall then himself most incline 43
shaping his private life according 103
share and discuss their answers 187
share and discuss your answers 198
sheep was crowned miss america 57
shift this payment from himself 110
ships and galleys bearing towards 66
ships had brought home letters 59
shown that besides many closely 95
shown that equally good results 48
siege was pressed more closely 82
sight that heavenly face restore 273
signs and wonders upon pharaoh 93
signs and wonders were wrought 675
signs can express only objects 83
since his removal from command 53
since its members were elected 46
since they started living together 50
skiff and kindled their nightly 54
skill and average good fortune 51
skill and courage even against 103
sliding his whisper from between 59
social and medical risk factors 66
soils are derived from granite 44
soils are usually more fertile 51
soils are usually very fertile 52
soils are usually well drained 71
solving and decision making because 85
solving and decision making process 119
solving and decision making require 62
sorry for douglas when lincoln 42
space can express only objects 49
space they subdued their southern 44
spake this parable unto certain 765
sparing his majesty much trouble 53
speaking and saluted clay gravely 47
speed and freedom from trouble 177
spend any quality time together 41
spend one thousand five hundred 60
spend two thousand five hundred 48
spent any quality time together 61
spine being divided into portions 66
spoke for perhaps five minutes 43
spoke for several more minutes 63
spoke her comment very gravely 57
springs and sources were unsealed 42
stage was divided into several 45
stars and stripes were flaunting 58
stars and stripes were hoisted 397
stars and stripes were lowered 56
stars and stripes were planted 56
stars and systems roll forward 42
stars are divided into classes 120
stars are millions upon millions 48
state and discuss their opinions 44
state and federal laws affecting 345
state and federal laws against 403
state and federal laws enacted 168
state and federal laws governing 987
state and federal laws mandating 81
state and federal laws protect 231
state and federal laws provide 95
state and federal laws regarding 771
state and federal laws related 159
state and federal laws require 231
state and federal laws requiring 221
state and federal trial process 72
state and national park systems 63
state law permits such service 45
state that results from executing 56
state was divided into factions 124
state was divided into several 62
still for several more minutes 41
stood for perhaps five minutes 95
store and process vast amounts 162
store and several other buildings 41
strong and assured step forward 51
strong and intense just because 63
strong ass crouching down between 234
study may provide some insight 129
study this question more closely 42
study this subject more closely 46
study was stopped early because 151
sugar and tobacco from america 134
suits and dresses from wrinkling 44
suits for damages were brought 89
sward that trembling into fulness 50
