safe and pleasant seas which 65
said and charged you withal 209
said and clapped her hands 91
said and clapped his hands 104
said and drained his glass 42
said and lowered his voice 61
said and snapped her fingers 67
said and snapped his fingers 89
said her husband had beaten 41
said her husband had given 40
said her husband had never 55
said her husband had taken 66
said her husband was still 55
said her prayers that night 129
said his decision was based 62
said his decision was final 40
said his prayers that morning 55
said his prayers that night 114
said one hundred and fifty 863
said one hundred and forty 93
said one hundred and sixty 214
said one hundred and thirty 211
said she guessed she could 114
said she guessed she would 155
said six hundred and forty 50
said that although his father 43
said that although its value 93
said that although she could 103
said that although she would 74
said that although they could 92
said that although they might 76
said that although they would 75
said that anybody who could 63
said that anybody who would 42
said that everything that could 81
said that everything was quiet 74
said that everything was under 49
said that germany and italy 51
said that germany was rearming 408
said that language was given 126
said that perhaps she could 56
said that perhaps she might 53
said that perhaps she would 93
said that perhaps they could 93
said that perhaps they would 112
said that perhaps you could 45
said that perhaps you might 58
said that perhaps you would 71
said that slavery may begin 81
said that someday she would 68
said that sounded all right 48
said they guessed they would 47
said this because they feared 99
said two hundred and fifty 901
sail was patched with flour 70
same bed wherein she loved 65
same day charles fox moved 55
same for females and males 210
same for himself and others 77
same law applies with equal 52
same old routine day after 77
same one hundred and fifty 227
same was covered with slate 54
same with kennedy and nixon 50
same year appeared his first 67
sand was covered with small 66
save both himself and others 52
save one hundred and fifty 179
save that natural one above 46
save them because they trust 45
save two hundred and fifty 57
saws and hammers and nails 95
saying and prompting was really 68
saying that language was given 47
saying that rousseau was right 42
saying that sherman had taken 40
saying you believe things which 79
says one hundred and fifty 166
seating one hundred and fifty 102
seating two hundred and fifty 201
seats are covered with people 44
seed was planted that would 133
seeing him covered with blood 179
seeing old friends and meeting 69
seeing our passions are often 52
seeing that everything was right 111
seeing with pleasure his guide 44
seek his fortune and finds 55
seek his fortune and found 51
seek new friends and begin 97
seek out pleasure and avoid 53
seek thee outside and never 66
seek this counsel one would 75
seem all sailors and rough 40
seen any account that would 47
seen her beloved and known 182
seen his loosely hung frame 397
seen one hundred and fifty 272
seen one hundred and sixty 45
seen ten thousand men running 44
seen that incense was burnt 41
seen two hundred and fifty 55
seen you together can doubt 106
sees and handles that which 320
sees his medical man writhe 76
self and concern for others 274
self and respect for others 325
self that touches all edges 117
sell and deliver his horse 83
sell his product for marks 43
sell his religion for lucre 108
sell one hundred and fifty 68
sell two hundred and fifty 123
send her flowers and candy 41
send one hundred and fifty 558
send them dinners and fresh 59
send them scurrying for cover 79
send two hundred and fifty 221
sent her flowers and candy 68
sent her flowers and fruit 43
sent him against all reason 43
sent him bruised and limping 47
sent him scurrying for cover 56
sent one hundred and fifty 1151
sent one hundred and forty 146
sent one hundred and sixty 208
sent one hundred and thirty 348
sent ten thousand men under 76
sent them scurrying for cover 137
sent two hundred and fifty 669
sent two hundred and forty 48
ship and freight for wages 58
ship lying passive and still 53
ship one hundred and fifty 119
ship ran aground and broke 55
ship that brought them thither 155
ship that carries our human 47
ship was covered with waves 197
