sad and hardens one in 43
sang and grinned with the 52
sang and laughed all the 50
sat and chatted for an 60
sat and chatted with me 89
sat and chatted with the 210
sat and chatted with us 84
sat and watched all the 64
sat and watched for the 96
sat and watched her as 155
sat and watched her at 42
sat and watched her go 52
sat and watched her in 102
sat and watched him as 312
sat and watched him at 60
sat and watched him eat 67
sat and watched him go 156
sat and watched him in 126
sat and watched how the 55
sat and watched one of 48
sat and watched them as 81
sat and watched them eat 69
sat and watched them go 56
sat and watched them in 72
sat due eastward for the 47
sat him bravely all the 52
saw and pointed out the 481
saw and pointed out to 70
saw and realized that the 53
saw and touched all the 51
saw for herself that he 44
saw for herself that the 98
saw for himself how the 155
saw for himself that he 66
saw for himself that it 107
saw for himself that the 576
saw her husband and the 119
saw her husband for the 237
saw her husband led to 156
saw her husband lying in 45
saw her husband lying on 138
saw her husband off to 83
saw her husband with the 43
saw him adorned with the 122
saw him returning with the 91
saw him strolling out of 41
saw his captain for the 58
saw his cavalry cut to 53
saw his fitness for the 60
saw its justice now in 62
saw that cruelty was at 57
saw that everything that he 57
saw that everything was as 346
saw that everything was at 45
saw that everything was in 640
saw that everything was on 46
saw that slavery was the 63
saw that treasure ere it 42
saw them suffering out of 53
saw them together for the 95
saw this passage with my 85
saw this patient for the 113
saw this picture for the 55
saw too plainly that it 40
saw too plainly that the 142
saw two vessels lying at 49
saw with anxiety that the 79
saw with chagrin that the 130
saw with concern that he 49
saw with concern that the 174
saw with delight how the 42
saw with delight that he 127
saw with delight that it 73
saw with delight that the 394
saw with delight that we 41
saw with despair that the 84
saw with disgust that the 77
saw with pleasure that he 449
saw with pleasure that it 210
saw with pleasure that my 167
saw with pleasure that the 1131
say all classes are to 55
say and believe that he 43
say and believe that it 169
say and believe that the 226
say and believe that we 44
say and everything they do 92
say and everything you do 143
say and protest that he 41
say for certain how he 41
say for certain how it 82
say for certain how the 194
say for certain that an 44
say for certain that he 891
say for certain that if 82
say for certain that in 81
say for certain that it 999
say for certain that my 62
say for certain that no 81
say for certain that the 3648
say for certain that we 196
say for certain who the 83
say for certain why he 59
say for certain why the 185
say for example that it 45
say for example that of 41
say for example that the 636
say for example that we 63
say for himself than the 79
say for himself that he 218
say for himself why the 67
say her prayers and go 52
say his ambition was to 57
say his prayers and go 100
say his prayers and he 42
say his prayers and to 140
say his prayers with the 86
say his purpose was to 53
say our prayers and go 115
say our prayers and to 41
say our prayers for the 41
say that abraham was the 42
say that although all the 41
say that although god is 58
say that although she is 44
say that although they do 63
say that although this is 154
say that america and the 83
say that america had as 45
say that america has no 109
say that america was the 107
say that anybody can be 44
say that anybody who is 97
say that because all the 69
say that because god is 127
say that because one is 43
say that because one of 61
say that because she is 101
say that because that is 83
say that because they do 156
say that because this is 186
say that because you do 757
say that beginning with the 92
say that britain and the 58
say that britain has no 57
say that certain things in 123
say that complex idea is 71
say that concern for the 76
say that congress and the 292
say that congress had no 111
say that congress had the 47
say that congress has no 180
say that congress has the 129
say that contact with the 123
say that counsel for the 41
say that despite all the 204
say that erasmus was the 41
say that everything can be 207
say that everything has to 89
say that everything that is 768
say that everything that the 62
say that everything that we 117
say that everything was in 114
say that everything you do 42
say that germany had no 42
say that germany was the 43
say that history has no 59
say that impulse was the 51
say that johnson was an 71
say that jupiter was the 50
say that language and the 58
